start_time,stop_time,packet_loss
2023-06-23 16:51:00+00:00,2023-06-23 16:52:00+00:00,0.1
2023-06-23 16:52:00+00:00,2023-06-23 16:53:00+00:00,0.1
2023-06-23 16:53:00+00:00,2023-06-23 16:54:00+00:00,0.1
2023-06-23 16:54:00+00:00,2023-06-23 16:55:00+00:00,0.1
2023-06-23 16:55:00+00:00,2023-06-23 16:56:00+00:00,0.1
2023-06-23 16:56:00+00:00,2023-06-23 16:57:00+00:00,0.1
2023-06-23 16:57:00+00:00,2023-06-23 16:58:00+00:00,0.1
2023-06-23 16:58:00+00:00,2023-06-23 16:59:00+00:00,0.1
2023-06-23 16:59:00+00:00,2023-06-23 17:00:00+00:00,0.1
2023-06-23 17:00:00+00:00,2023-06-23 17:01:00+00:00,0.1
2023-06-23 17:01:00+00:00,2023-06-23 17:02:00+00:00,0.1
2023-06-23 17:02:00+00:00,2023-06-23 17:03:00+00:00,0.35
2023-06-23 17:03:00+00:00,2023-06-23 17:04:00+00:00,0.6
2023-06-23 17:04:00+00:00,2023-06-23 17:05:00+00:00,0.85
2023-06-23 17:05:00+00:00,2023-06-23 17:06:00+00:00,1.1
2023-06-23 17:06:00+00:00,2023-06-23 17:07:00+00:00,1.35
2023-06-23 17:07:00+00:00,2023-06-23 17:08:00+00:00,1.6
2023-06-23 17:08:00+00:00,2023-06-23 17:09:00+00:00,1.85
2023-06-23 17:09:00+00:00,2023-06-23 17:10:00+00:00,2.1
2023-06-23 17:10:00+00:00,2023-06-23 17:11:00+00:00,2.35
2023-06-23 17:11:00+00:00,2023-06-23 17:12:00+00:00,2.6
2023-06-23 17:12:00+00:00,2023-06-23 17:13:00+00:00,2.85
2023-06-23 17:13:00+00:00,2023-06-23 17:14:00+00:00,3.1
2023-06-23 17:14:00+00:00,2023-06-23 17:15:00+00:00,3.35
2023-06-23 17:15:00+00:00,2023-06-23 17:16:00+00:00,3.6
2023-06-23 17:16:00+00:00,2023-06-23 17:17:00+00:00,3.85
2023-06-23 17:17:00+00:00,2023-06-23 17:18:00+00:00,4.1
2023-06-23 17:18:00+00:00,2023-06-23 17:19:00+00:00,4.35
2023-06-23 17:19:00+00:00,2023-06-23 17:20:00+00:00,4.6
2023-06-23 17:20:00+00:00,2023-06-23 17:21:00+00:00,4.85
2023-06-23 17:21:00+00:00,2023-06-23 17:22:00+00:00,8.82
2023-06-23 17:22:00+00:00,2023-06-23 17:23:00+00:00,8.62
2023-06-23 17:23:00+00:00,2023-06-23 17:24:00+00:00,9.28
2023-06-23 17:24:00+00:00,2023-06-23 17:25:00+00:00,5.66
2023-06-23 17:25:00+00:00,2023-06-23 17:26:00+00:00,7.76
2023-06-23 17:26:00+00:00,2023-06-23 17:27:00+00:00,6.61
2023-06-23 17:27:00+00:00,2023-06-23 17:28:00+00:00,7.33
2023-06-23 17:28:00+00:00,2023-06-23 17:29:00+00:00,6.41
2023-06-23 17:29:00+00:00,2023-06-23 17:30:00+00:00,7.49
2023-06-23 17:30:00+00:00,2023-06-23 17:31:00+00:00,6.95
2023-06-23 17:31:00+00:00,2023-06-23 17:32:00+00:00,5.26
2023-06-23 17:32:00+00:00,2023-06-23 17:33:00+00:00,9.0
2023-06-23 17:33:00+00:00,2023-06-23 17:34:00+00:00,6.52
2023-06-23 17:34:00+00:00,2023-06-23 17:35:00+00:00,7.69
2023-06-23 17:35:00+00:00,2023-06-23 17:36:00+00:00,9.33
2023-06-23 17:36:00+00:00,2023-06-23 17:37:00+00:00,10.0
2023-06-23 17:37:00+00:00,2023-06-23 17:38:00+00:00,9.6
2023-06-23 17:38:00+00:00,2023-06-23 17:39:00+00:00,9.2
2023-06-23 17:39:00+00:00,2023-06-23 17:40:00+00:00,8.8
2023-06-23 17:40:00+00:00,2023-06-23 17:41:00+00:00,8.4
2023-06-23 17:41:00+00:00,2023-06-23 17:42:00+00:00,8.0
2023-06-23 17:42:00+00:00,2023-06-23 17:43:00+00:00,7.6
2023-06-23 17:43:00+00:00,2023-06-23 17:44:00+00:00,7.2
2023-06-23 17:44:00+00:00,2023-06-23 17:45:00+00:00,6.8
2023-06-23 17:45:00+00:00,2023-06-23 17:46:00+00:00,6.4
2023-06-23 17:46:00+00:00,2023-06-23 17:47:00+00:00,6.0
2023-06-23 17:47:00+00:00,2023-06-23 17:48:00+00:00,5.6
2023-06-23 17:48:00+00:00,2023-06-23 17:49:00+00:00,5.2
2023-06-23 17:49:00+00:00,2023-06-23 17:50:00+00:00,4.8
2023-06-23 17:50:00+00:00,2023-06-23 17:51:00+00:00,4.4
2023-06-23 17:51:00+00:00,2023-06-23 17:52:00+00:00,4.0
2023-06-23 17:52:00+00:00,2023-06-23 17:53:00+00:00,3.6
2023-06-23 17:53:00+00:00,2023-06-23 17:54:00+00:00,3.2
2023-06-23 17:54:00+00:00,2023-06-23 17:55:00+00:00,2.8
2023-06-23 17:55:00+00:00,2023-06-23 17:56:00+00:00,2.4
2023-06-23 17:56:00+00:00,2023-06-23 17:57:00+00:00,2.0
2023-06-23 17:57:00+00:00,2023-06-23 17:58:00+00:00,1.6
2023-06-23 17:58:00+00:00,2023-06-23 17:59:00+00:00,1.2
2023-06-23 17:59:00+00:00,2023-06-23 18:00:00+00:00,0.8
