start_time,stop_time,delay,jitter
2023-06-23 20:01:00+00:00,2023-06-23 20:02:00+00:00,2652217.223946790,1606091.928251120
2023-06-23 20:02:00+00:00,2023-06-23 20:03:00+00:00,2575748.747252750,1716840.1766004400
2023-06-23 20:03:00+00:00,2023-06-23 20:04:00+00:00,2566178.09030837,1733949.7777777800
2023-06-23 20:04:00+00:00,2023-06-23 20:05:00+00:00,2557010.953947370,1718538.6666666700
2023-06-23 20:05:00+00:00,2023-06-23 20:06:00+00:00,2549911.6283185800,1718577.7528089900
2023-06-23 20:06:00+00:00,2023-06-23 20:07:00+00:00,2536703.507658640,1714819.3832599100
2023-06-23 20:07:00+00:00,2023-06-23 20:08:00+00:00,2517666.4103139000,1717821.0884353700
2023-06-23 20:08:00+00:00,2023-06-23 20:09:00+00:00,2501873.088095240,1686659.5693779900
2023-06-23 20:09:00+00:00,2023-06-23 20:10:00+00:00,1512187.061674010,816648.6547085200
2023-06-23 20:10:00+00:00,2023-06-23 20:11:00+00:00,1506950.055309730,818149.6629213480
2023-06-23 20:11:00+00:00,2023-06-23 20:12:00+00:00,1484033.112831860,820545.2914798210
2023-06-23 20:12:00+00:00,2023-06-23 20:13:00+00:00,1490121.068432670,838036.9127516780
2023-06-23 20:13:00+00:00,2023-06-23 20:14:00+00:00,1460656.957589290,814757.8828828830
2023-06-23 20:14:00+00:00,2023-06-23 20:15:00+00:00,1480815.031746030,881818.3486238530
2023-06-23 20:15:00+00:00,2023-06-23 20:16:00+00:00,1608755.138392860,1052031.151241540
2023-06-23 20:16:00+00:00,2023-06-23 20:17:00+00:00,1599796.421633550,1118311.2831858400
2023-06-23 20:17:00+00:00,2023-06-23 20:18:00+00:00,1069568.618942730,465261.2472160360
2023-06-23 20:18:00+00:00,2023-06-23 20:19:00+00:00,1100837.358744400,408144.2696629210
2023-06-23 20:19:00+00:00,2023-06-23 20:20:00+00:00,1100097.090507730,386794.22222222200
2023-06-23 20:20:00+00:00,2023-06-23 20:21:00+00:00,1095522.848351650,406588.96247240600
2023-06-23 20:21:00+00:00,2023-06-23 20:22:00+00:00,1190904.195604400,590297.1302428260
2023-06-23 20:22:00+00:00,2023-06-23 20:23:00+00:00,1586979.287946430,1079796.6367713000
2023-06-23 20:23:00+00:00,2023-06-23 20:24:00+00:00,1980932.748344370,1586158.7583148600
2023-06-23 20:24:00+00:00,2023-06-23 20:25:00+00:00,1418930.002257340,903612.0181405900
2023-06-23 20:25:00+00:00,2023-06-23 20:26:00+00:00,992216.137554590,388263.73626373600
2023-06-23 20:26:00+00:00,2023-06-23 20:27:00+00:00,981365.154185020,391502.4498886410
2023-06-23 20:27:00+00:00,2023-06-23 20:28:00+00:00,1004174.845474610,441486.8888888890
2023-06-23 20:28:00+00:00,2023-06-23 20:29:00+00:00,1261891.794247790,822271.0467706010
2023-06-23 20:29:00+00:00,2023-06-23 20:30:00+00:00,1661657.245495500,1294886.0730593600
2023-06-23 20:30:00+00:00,2023-06-23 20:31:00+00:00,2047322.846491230,1744756.8281938300
2023-06-23 20:31:00+00:00,2023-06-23 20:32:00+00:00,2135782.145089290,1848363.9821029100
2023-06-23 20:32:00+00:00,2023-06-23 20:33:00+00:00,1144606.461538460,703759.866962306
2023-06-23 20:33:00+00:00,2023-06-23 20:34:00+00:00,906954.485651210,427302.0134228190
2023-06-23 20:34:00+00:00,2023-06-23 20:35:00+00:00,1103963.514348790,723668.1514476620
2023-06-23 20:35:00+00:00,2023-06-23 20:36:00+00:00,1489447.075723830,1167288.48758465
2023-06-23 20:36:00+00:00,2023-06-23 20:37:00+00:00,1933883.105145410,1717034.6846846800
2023-06-23 20:37:00+00:00,2023-06-23 20:38:00+00:00,2039475.116331100,1848539.6396396400
2023-06-23 20:38:00+00:00,2023-06-23 20:39:00+00:00,2035498.45515695,1843027.9279279300
2023-06-23 20:39:00+00:00,2023-06-23 20:40:00+00:00,1610643.65625,1359573.5891647900
2023-06-23 20:40:00+00:00,2023-06-23 20:41:00+00:00,882885.022371370,506144.0449438200
2023-06-23 20:41:00+00:00,2023-06-23 20:42:00+00:00,1150387.373068430,849339.1982182630
2023-06-23 20:42:00+00:00,2023-06-23 20:43:00+00:00,1637142.804395600,1440645.4945054900
2023-06-23 20:43:00+00:00,2023-06-23 20:44:00+00:00,1947750.53539823,1787422.6666666700
2023-06-23 20:44:00+00:00,2023-06-23 20:45:00+00:00,1986582.629796840,1841704.347826090
2023-06-23 20:45:00+00:00,2023-06-23 20:46:00+00:00,1988192.984444440,1847207.6404494400
2023-06-23 20:46:00+00:00,2023-06-23 20:47:00+00:00,1964284.225663720,1789463.8580931300
2023-06-23 20:47:00+00:00,2023-06-23 20:48:00+00:00,1116529.687361420,584570.9821428570
2023-06-23 20:48:00+00:00,2023-06-23 20:49:00+00:00,1819703.046563190,568835.9375
2023-06-23 20:49:00+00:00,2023-06-23 20:50:00+00:00,2446183.354120270,478782.774049217
2023-06-23 20:50:00+00:00,2023-06-23 20:51:00+00:00,2663600.908482140,356645.82392776500
2023-06-23 20:51:00+00:00,2023-06-23 20:52:00+00:00,2666371.422727270,335779.04328018200
2023-06-23 20:52:00+00:00,2023-06-23 20:53:00+00:00,2647711.369469030,339568.6800894860
2023-06-23 20:53:00+00:00,2023-06-23 20:54:00+00:00,2634019.49122807,341345.9161147900
2023-06-23 20:54:00+00:00,2023-06-23 20:55:00+00:00,2556173.813186810,464157.30088495600
2023-06-23 20:55:00+00:00,2023-06-23 20:56:00+00:00,2347876.592427620,840746.0674157300
2023-06-23 20:56:00+00:00,2023-06-23 20:57:00+00:00,2334057.827433630,839683.5585585590
2023-06-23 20:57:00+00:00,2023-06-23 20:58:00+00:00,2325727.351769910,832711.0864745010
2023-06-23 20:58:00+00:00,2023-06-23 20:59:00+00:00,2319065.462389380,828668.0709534370
2023-06-23 20:59:00+00:00,2023-06-23 21:00:00+00:00,2311462.645374450,826636.6890380310
2023-06-23 21:00:00+00:00,2023-06-23 21:01:00+00:00,2301959.407982260,850401.1185682330
2023-06-23 21:01:00+00:00,2023-06-23 21:02:00+00:00,2290042.119101120,847306.3636363640
2023-06-23 21:02:00+00:00,2023-06-23 21:03:00+00:00,2184224.776785720,1037327.8651685400
2023-06-23 21:03:00+00:00,2023-06-23 21:04:00+00:00,2006562.92920354,1355820.0892857100
2023-06-23 21:04:00+00:00,2023-06-23 21:05:00+00:00,1991509.006637170,1342659.9552572700
2023-06-23 21:05:00+00:00,2023-06-23 21:06:00+00:00,1988948.002262440,1334654.6697038700
2023-06-23 21:06:00+00:00,2023-06-23 21:07:00+00:00,1978300.675,1337743.119266060
2023-06-23 21:07:00+00:00,2023-06-23 21:08:00+00:00,1958547.2105263200,1334292.9670329700
2023-06-23 21:08:00+00:00,2023-06-23 21:09:00+00:00,1934148.21460177,1334752.3489932900
2023-06-23 21:09:00+00:00,2023-06-23 21:10:00+00:00,1920626.048951050,1332626.2910798100
