Attaching to:  10.11.32.219:4242
Server started! Waiting for streams from client...
session created:  10.11.66.177:35657
stream created:  3
Start forwarding? [write any letter]
Connected to mquic, connecting to Websocket.
2025-03-25 18:36:17,010 - INFO - SEQ - 1
2025-03-25 18:36:17,039 - INFO - SEQ - 2
2025-03-25 18:36:17,070 - INFO - SEQ - 3
2025-03-25 18:36:17,101 - INFO - SEQ - 4
2025-03-25 18:36:17,131 - INFO - SEQ - 5
2025-03-25 18:36:17,161 - INFO - SEQ - 6
2025-03-25 18:36:17,191 - INFO - SEQ - 7
2025-03-25 18:36:17,221 - INFO - SEQ - 8
2025-03-25 18:36:17,252 - INFO - SEQ - 9
2025-03-25 18:36:17,282 - INFO - SEQ - 10
2025-03-25 18:36:17,312 - INFO - SEQ - 11
2025-03-25 18:36:17,342 - INFO - SEQ - 12
2025-03-25 18:36:17,372 - INFO - SEQ - 13
2025-03-25 18:36:17,402 - INFO - SEQ - 14
2025-03-25 18:36:17,433 - INFO - SEQ - 15
2025-03-25 18:36:17,462 - INFO - SEQ - 16
2025-03-25 18:36:17,493 - INFO - SEQ - 17
2025-03-25 18:36:17,523 - INFO - SEQ - 18
2025-03-25 18:36:17,554 - INFO - SEQ - 19
2025-03-25 18:36:17,584 - INFO - SEQ - 20
2025-03-25 18:36:17,614 - INFO - SEQ - 21
2025-03-25 18:36:17,644 - INFO - SEQ - 22
2025-03-25 18:36:17,674 - INFO - SEQ - 23
2025-03-25 18:36:17,704 - INFO - SEQ - 24
2025-03-25 18:36:17,735 - INFO - SEQ - 25
2025-03-25 18:36:17,765 - INFO - SEQ - 26
2025-03-25 18:36:17,795 - INFO - SEQ - 27
2025-03-25 18:36:17,825 - INFO - SEQ - 28
2025-03-25 18:36:17,855 - INFO - SEQ - 29
2025-03-25 18:36:17,886 - INFO - SEQ - 30
2025-03-25 18:36:17,916 - INFO - SEQ - 31
2025-03-25 18:36:17,946 - INFO - SEQ - 32
2025-03-25 18:36:17,976 - INFO - SEQ - 33
2025-03-25 18:36:18,006 - INFO - SEQ - 34
2025-03-25 18:36:18,036 - INFO - SEQ - 35
2025-03-25 18:36:18,067 - INFO - SEQ - 36
