Attaching to:  10.11.32.219:4242
Server started! Waiting for streams from client...
session created:  10.11.66.177:37553
stream created:  3
Start forwarding? [write any letter]
Connected to mquic, connecting to Websocket.
2025-06-10 18:14:05,889 - INFO - SEQ - 1
2025-06-10 18:14:05,934 - INFO - SEQ - 2
2025-06-10 18:14:05,950 - INFO - SEQ - 3
2025-06-10 18:14:05,981 - INFO - SEQ - 4
2025-06-10 18:14:06,011 - INFO - SEQ - 5
2025-06-10 18:14:06,042 - INFO - SEQ - 6
2025-06-10 18:14:06,072 - INFO - SEQ - 7
2025-06-10 18:14:06,103 - INFO - SEQ - 8
2025-06-10 18:14:06,133 - INFO - SEQ - 9
2025-06-10 18:14:06,163 - INFO - SEQ - 10
2025-06-10 18:14:06,192 - INFO - SEQ - 11
2025-06-10 18:14:06,222 - INFO - SEQ - 12
2025-06-10 18:14:06,254 - INFO - SEQ - 13
2025-06-10 18:14:06,284 - INFO - SEQ - 14
2025-06-10 18:14:06,314 - INFO - SEQ - 15
2025-06-10 18:14:06,344 - INFO - SEQ - 16
2025-06-10 18:14:06,374 - INFO - SEQ - 17
2025-06-10 18:14:06,405 - INFO - SEQ - 18
2025-06-10 18:14:06,435 - INFO - SEQ - 19
2025-06-10 18:14:06,466 - INFO - SEQ - 20
2025-06-10 18:14:06,495 - INFO - SEQ - 21
2025-06-10 18:14:06,525 - INFO - SEQ - 22
2025-06-10 18:14:06,556 - INFO - SEQ - 23
2025-06-10 18:14:06,586 - INFO - SEQ - 24
2025-06-10 18:14:06,616 - INFO - SEQ - 25
2025-06-10 18:14:06,647 - INFO - SEQ - 26
2025-06-10 18:14:06,677 - INFO - SEQ - 27
2025-06-10 18:14:06,707 - INFO - SEQ - 28
2025-06-10 18:14:06,738 - INFO - SEQ - 29
2025-06-10 18:14:06,768 - INFO - SEQ - 30
2025-06-10 18:14:06,798 - INFO - SEQ - 31
2025-06-10 18:14:06,828 - INFO - SEQ - 32
2025-06-10 18:14:06,859 - INFO - SEQ - 33
2025-06-10 18:14:06,889 - INFO - SEQ - 34
2025-06-10 18:14:06,918 - INFO - SEQ - 35
2025-06-10 18:14:06,949 - INFO - SEQ - 36
2025-06-10 18:14:06,979 - INFO - SEQ - 37
2025-06-10 18:14:07,010 - INFO - SEQ - 38
2025-06-10 18:14:07,040 - INFO - SEQ - 39
2025-06-10 18:14:07,070 - INFO - SEQ - 40
2025-06-10 18:14:07,100 - INFO - SEQ - 41
