Attaching to:  10.11.32.219:4242
Server started! Waiting for streams from client...
session created:  10.51.0.77:51609
stream created:  3
Start forwarding? [write any letter]
Connected to mquic, connecting to Websocket.
2024-11-06 14:21:21,117 - INFO - SEQ - 1
2024-11-06 14:21:21,140 - INFO - SEQ - 2
2024-11-06 14:21:21,170 - INFO - SEQ - 3
2024-11-06 14:21:21,200 - INFO - SEQ - 4
2024-11-06 14:21:21,230 - INFO - SEQ - 5
2024-11-06 14:21:21,260 - INFO - SEQ - 6
2024-11-06 14:21:21,291 - INFO - SEQ - 7
2024-11-06 14:21:21,321 - INFO - SEQ - 8
2024-11-06 14:21:21,351 - INFO - SEQ - 9
2024-11-06 14:21:21,381 - INFO - SEQ - 10
2024-11-06 14:21:21,411 - INFO - SEQ - 11
2024-11-06 14:21:21,442 - INFO - SEQ - 12
2024-11-06 14:21:21,472 - INFO - SEQ - 13
2024-11-06 14:21:21,501 - INFO - SEQ - 14
2024-11-06 14:21:21,531 - INFO - SEQ - 15
2024-11-06 14:21:21,562 - INFO - SEQ - 16
2024-11-06 14:21:21,592 - INFO - SEQ - 17
2024-11-06 14:21:21,622 - INFO - SEQ - 18
2024-11-06 14:21:21,652 - INFO - SEQ - 19
2024-11-06 14:21:21,682 - INFO - SEQ - 20
2024-11-06 14:21:21,712 - INFO - SEQ - 21
2024-11-06 14:21:21,718 - INFO - SEQ - 22
2024-11-06 14:21:21,742 - INFO - SEQ - 23
2024-11-06 14:21:21,772 - INFO - SEQ - 24
2024-11-06 14:21:21,802 - INFO - SEQ - 25
2024-11-06 14:21:21,832 - INFO - SEQ - 26
2024-11-06 14:21:21,862 - INFO - SEQ - 27
2024-11-06 14:21:21,893 - INFO - SEQ - 28
2024-11-06 14:21:21,923 - INFO - SEQ - 29
2024-11-06 14:21:21,953 - INFO - SEQ - 30
2024-11-06 14:21:21,983 - INFO - SEQ - 31
2024-11-06 14:21:22,013 - INFO - SEQ - 32
2024-11-06 14:21:22,044 - INFO - SEQ - 33
2024-11-06 14:21:22,074 - INFO - SEQ - 34
2024-11-06 14:21:22,104 - INFO - SEQ - 35
2024-11-06 14:21:22,134 - INFO - SEQ - 36
2024-11-06 14:21:22,164 - INFO - SEQ - 37
2024-11-06 14:21:22,194 - INFO - SEQ - 38
2024-11-06 14:21:22,224 - INFO - SEQ - 39
