Attaching to:  10.11.32.219:4242
Server started! Waiting for streams from client...
session created:  10.51.0.77:46252
stream created:  3
Start forwarding? [write any letter]
Connected to mquic, connecting to Websocket.
2024-10-30 15:44:48,508 - INFO - SEQ - 1
2024-10-30 15:44:48,538 - INFO - SEQ - 2
2024-10-30 15:44:48,568 - INFO - SEQ - 3
2024-10-30 15:44:48,598 - INFO - SEQ - 4
2024-10-30 15:44:48,628 - INFO - SEQ - 5
2024-10-30 15:44:48,659 - INFO - SEQ - 6
2024-10-30 15:44:48,689 - INFO - SEQ - 7
2024-10-30 15:44:48,719 - INFO - SEQ - 8
2024-10-30 15:44:48,749 - INFO - SEQ - 9
2024-10-30 15:44:48,779 - INFO - SEQ - 10
2024-10-30 15:44:48,809 - INFO - SEQ - 11
2024-10-30 15:44:48,839 - INFO - SEQ - 12
2024-10-30 15:44:48,869 - INFO - SEQ - 13
2024-10-30 15:44:48,899 - INFO - SEQ - 14
2024-10-30 15:44:48,930 - INFO - SEQ - 15
2024-10-30 15:44:48,960 - INFO - SEQ - 16
2024-10-30 15:44:48,990 - INFO - SEQ - 17
2024-10-30 15:44:49,020 - INFO - SEQ - 18
2024-10-30 15:44:49,050 - INFO - SEQ - 19
2024-10-30 15:44:49,069 - INFO - SEQ - 20
2024-10-30 15:44:49,080 - INFO - SEQ - 21
2024-10-30 15:44:49,110 - INFO - SEQ - 22
2024-10-30 15:44:49,140 - INFO - SEQ - 23
2024-10-30 15:44:49,170 - INFO - SEQ - 24
2024-10-30 15:44:49,201 - INFO - SEQ - 25
2024-10-30 15:44:49,231 - INFO - SEQ - 26
2024-10-30 15:44:49,261 - INFO - SEQ - 27
2024-10-30 15:44:49,291 - INFO - SEQ - 28
2024-10-30 15:44:49,321 - INFO - SEQ - 29
2024-10-30 15:44:49,351 - INFO - SEQ - 30
2024-10-30 15:44:49,381 - INFO - SEQ - 31
2024-10-30 15:44:49,411 - INFO - SEQ - 32
2024-10-30 15:44:49,441 - INFO - SEQ - 33
2024-10-30 15:44:49,472 - INFO - SEQ - 34
2024-10-30 15:44:49,502 - INFO - SEQ - 35
2024-10-30 15:44:49,532 - INFO - SEQ - 36
2024-10-30 15:44:49,562 - INFO - SEQ - 37
2024-10-30 15:44:49,592 - INFO - SEQ - 38
2024-10-30 15:44:49,622 - INFO - SEQ - 39
2024-10-30 15:44:49,652 - INFO - SEQ - 40
2024-10-30 15:44:49,683 - INFO - SEQ - 41
2024-10-30 15:44:49,713 - INFO - SEQ - 42
2024-10-30 15:44:49,743 - INFO - SEQ - 43
2024-10-30 15:44:49,773 - INFO - SEQ - 44
2024-10-30 15:44:49,803 - INFO - SEQ - 45
2024-10-30 15:44:49,833 - INFO - SEQ - 46
2024-10-30 15:44:49,863 - INFO - SEQ - 47
2024-10-30 15:44:49,893 - INFO - SEQ - 48
2024-10-30 15:44:49,923 - INFO - SEQ - 49
2024-10-30 15:44:49,953 - INFO - SEQ - 50
2024-10-30 15:44:49,984 - INFO - SEQ - 51
2024-10-30 15:44:50,014 - INFO - SEQ - 52
2024-10-30 15:44:50,044 - INFO - SEQ - 53
2024-10-30 15:44:50,074 - INFO - SEQ - 54
2024-10-30 15:44:50,087 - INFO - SEQ - 55
2024-10-30 15:44:50,104 - INFO - SEQ - 56
2024-10-30 15:44:50,134 - INFO - SEQ - 57
2024-10-30 15:44:50,164 - INFO - SEQ - 58
2024-10-30 15:44:50,194 - INFO - SEQ - 59
2024-10-30 15:44:50,224 - INFO - SEQ - 60
2024-10-30 15:44:50,254 - INFO - SEQ - 61
2024-10-30 15:44:50,284 - INFO - SEQ - 62
2024-10-30 15:44:50,314 - INFO - SEQ - 63
2024-10-30 15:44:50,345 - INFO - SEQ - 64
2024-10-30 15:44:50,375 - INFO - SEQ - 65
2024-10-30 15:44:50,405 - INFO - SEQ - 66
2024-10-30 15:44:50,435 - INFO - SEQ - 67
2024-10-30 15:44:50,465 - INFO - SEQ - 68
2024-10-30 15:44:50,495 - INFO - SEQ - 69
2024-10-30 15:44:50,525 - INFO - SEQ - 70
2024-10-30 15:44:50,555 - INFO - SEQ - 71
2024-10-30 15:44:50,586 - INFO - SEQ - 72
2024-10-30 15:44:50,616 - INFO - SEQ - 73
2024-10-30 15:44:50,646 - INFO - SEQ - 74
2024-10-30 15:44:50,676 - INFO - SEQ - 75
2024-10-30 15:44:50,706 - INFO - SEQ - 76
2024-10-30 15:44:50,736 - INFO - SEQ - 77
2024-10-30 15:44:50,766 - INFO - SEQ - 78
2024-10-30 15:44:50,796 - INFO - SEQ - 79
2024-10-30 15:44:50,826 - INFO - SEQ - 80
2024-10-30 15:44:50,856 - INFO - SEQ - 81
2024-10-30 15:44:50,887 - INFO - SEQ - 82
2024-10-30 15:44:50,917 - INFO - SEQ - 83
2024-10-30 15:44:50,947 - INFO - SEQ - 84
2024-10-30 15:44:50,977 - INFO - SEQ - 85
2024-10-30 15:44:51,007 - INFO - SEQ - 86
2024-10-30 15:44:51,037 - INFO - SEQ - 87
2024-10-30 15:44:51,067 - INFO - SEQ - 88
2024-10-30 15:44:51,087 - INFO - SEQ - 89
2024-10-30 15:44:51,097 - INFO - SEQ - 90
2024-10-30 15:44:51,127 - INFO - SEQ - 91
2024-10-30 15:44:51,157 - INFO - SEQ - 92
2024-10-30 15:44:51,188 - INFO - SEQ - 93
2024-10-30 15:44:51,218 - INFO - SEQ - 94
2024-10-30 15:44:51,248 - INFO - SEQ - 95
2024-10-30 15:44:51,278 - INFO - SEQ - 96
2024-10-30 15:44:51,308 - INFO - SEQ - 97
2024-10-30 15:44:51,338 - INFO - SEQ - 98
2024-10-30 15:44:51,368 - INFO - SEQ - 99
2024-10-30 15:44:51,398 - INFO - SEQ - 100
2024-10-30 15:44:51,429 - INFO - SEQ - 101
2024-10-30 15:44:51,459 - INFO - SEQ - 102
2024-10-30 15:44:51,489 - INFO - SEQ - 103
2024-10-30 15:44:51,519 - INFO - SEQ - 104
2024-10-30 15:44:51,549 - INFO - SEQ - 105
2024-10-30 15:44:51,579 - INFO - SEQ - 106
2024-10-30 15:44:51,609 - INFO - SEQ - 107
2024-10-30 15:44:51,639 - INFO - SEQ - 108
2024-10-30 15:44:51,670 - INFO - SEQ - 109
