seq,timestamp_server,timestamp_robot,latency_ms,status
1,2025-03-25 18:02:55.972,2025-03-25 18:02:55.978,6.0,received
2,2025-03-25 18:02:56.002,2025-03-25 18:02:56.008,6.0,received
3,2025-03-25 18:02:56.032,2025-03-25 18:02:56.042,10.0,received
4,2025-03-25 18:02:56.062,2025-03-25 18:02:56.068,6.0,received
5,2025-03-25 18:02:56.092,2025-03-25 18:02:56.097,5.0,received
6,2025-03-25 18:02:56.122,2025-03-25 18:02:56.128,6.0,received
7,2025-03-25 18:02:56.153,2025-03-25 18:02:56.164,11.0,received
8,2025-03-25 18:02:56.183,2025-03-25 18:02:56.190,7.0,received
9,2025-03-25 18:02:56.214,2025-03-25 18:02:56.221,7.0,received
10,2025-03-25 18:02:56.244,2025-03-25 18:02:56.250,6.0,received
11,2025-03-25 18:02:56.274,2025-03-25 18:02:56.281,7.0,received
12,2025-03-25 18:02:56.304,2025-03-25 18:02:56.312,8.0,received
13,2025-03-25 18:02:56.334,2025-03-25 18:02:56.341,7.0,received
14,2025-03-25 18:02:56.364,2025-03-25 18:02:56.369,5.0,received
15,2025-03-25 18:02:56.394,2025-03-25 18:02:56.401,7.0,received
16,2025-03-25 18:02:56.425,2025-03-25 18:02:56.434,9.0,received
17,2025-03-25 18:02:56.455,2025-03-25 18:02:56.461,6.0,received
18,2025-03-25 18:02:56.485,2025-03-25 18:02:56.491,6.0,received
19,2025-03-25 18:02:56.516,2025-03-25 18:02:56.523,7.0,received
20,2025-03-25 18:02:56.546,2025-03-25 18:02:56.554,8.0,received
21,2025-03-25 18:02:56.576,2025-03-25 18:02:56.584,8.0,received
22,2025-03-25 18:02:56.606,2025-03-25 18:02:56.615,9.0,received
23,2025-03-25 18:02:56.636,2025-03-25 18:02:56.643,7.0,received
24,2025-03-25 18:02:56.666,2025-03-25 18:02:56.672,6.0,received
25,2025-03-25 18:02:56.696,2025-03-25 18:02:56.703,7.0,received
26,2025-03-25 18:02:56.726,2025-03-25 18:02:56.733,7.0,received
27,2025-03-25 18:02:56.757,2025-03-25 18:02:56.763,6.0,received
28,2025-03-25 18:02:56.787,2025-03-25 18:02:56.795,8.0,received
29,2025-03-25 18:02:56.817,2025-03-25 18:02:56.825,8.0,received
30,2025-03-25 18:02:56.847,2025-03-25 18:02:56.856,9.0,received
31,2025-03-25 18:02:56.877,2025-03-25 18:02:56.885,8.0,received
