seq,timestamp_server,timestamp_robot,latency_ms,status
1,2025-06-10 18:09:04.321,2025-06-10 18:09:04.327,6.0,received
2,2025-06-10 18:09:04.366,2025-06-10 18:09:04.370,4.0,received
3,2025-06-10 18:09:04.389,2025-06-10 18:09:04.394,5.0,received
4,2025-06-10 18:09:04.415,2025-06-10 18:09:04.422,7.0,received
5,2025-06-10 18:09:04.446,2025-06-10 18:09:04.452,6.0,received
6,2025-06-10 18:09:04.478,2025-06-10 18:09:04.486,8.0,received
7,2025-06-10 18:09:04.507,2025-06-10 18:09:04.514,7.0,received
8,2025-06-10 18:09:04.536,2025-06-10 18:09:04.560,24.0,received
9,2025-06-10 18:09:04.568,2025-06-10 18:09:04.573,5.0,received
10,2025-06-10 18:09:04.598,2025-06-10 18:09:04.604,6.0,received
11,2025-06-10 18:09:04.628,2025-06-10 18:09:04.640,12.0,received
12,2025-06-10 18:09:04.658,2025-06-10 18:09:04.663,5.0,received
13,2025-06-10 18:09:04.688,2025-06-10 18:09:04.692,4.0,received
14,2025-06-10 18:09:04.719,2025-06-10 18:09:04.724,5.0,received
15,2025-06-10 18:09:04.749,2025-06-10 18:09:04.760,11.0,received
16,2025-06-10 18:09:04.779,2025-06-10 18:09:04.786,7.0,received
17,2025-06-10 18:09:04.809,2025-06-10 18:09:04.815,6.0,received
18,2025-06-10 18:09:04.839,2025-06-10 18:09:04.847,8.0,received
19,2025-06-10 18:09:04.870,2025-06-10 18:09:04.877,7.0,received
20,2025-06-10 18:09:04.900,2025-06-10 18:09:04.920,20.0,received
21,2025-06-10 18:09:04.929,2025-06-10 18:09:04.934,5.0,received
22,2025-06-10 18:09:04.959,2025-06-10 18:09:04.964,5.0,received
23,2025-06-10 18:09:04.990,2025-06-10 18:09:04.995,5.0,received
24,2025-06-10 18:09:05.020,2025-06-10 18:09:05.025,5.0,received
25,2025-06-10 18:09:05.050,2025-06-10 18:09:05.056,6.0,received
26,2025-06-10 18:09:05.080,2025-06-10 18:09:05.086,6.0,received
27,2025-06-10 18:09:05.111,2025-06-10 18:09:05.117,6.0,received
28,2025-06-10 18:09:05.141,2025-06-10 18:09:05.147,6.0,received
29,2025-06-10 18:09:05.172,2025-06-10 18:09:05.177,5.0,received
30,2025-06-10 18:09:05.202,2025-06-10 18:09:05.207,5.0,received
31,2025-06-10 18:09:05.232,2025-06-10 18:09:05.238,6.0,received
32,2025-06-10 18:09:05.262,2025-06-10 18:09:05.267,5.0,received
33,2025-06-10 18:09:05.292,2025-06-10 18:09:05.320,28.0,received
34,2025-06-10 18:09:05.322,2025-06-10 18:09:05.330,8.0,received
35,2025-06-10 18:09:05.352,2025-06-10 18:09:05.360,8.0,received
36,2025-06-10 18:09:05.383,2025-06-10 18:09:05.389,6.0,received
37,2025-06-10 18:09:05.413,2025-06-10 18:09:05.419,6.0,received
38,2025-06-10 18:09:05.443,2025-06-10 18:09:05.449,6.0,received
