seq,timestamp_server,timestamp_robot,latency_ms,status
1,2024-10-31 10:39:07.857,2024-10-31 10:39:07.863,6.0,received
2,2024-10-31 10:39:07.887,2024-10-31 10:39:07.892,5.0,received
3,2024-10-31 10:39:07.917,2024-10-31 10:39:07.925,8.0,received
4,2024-10-31 10:39:07.947,2024-10-31 10:39:07.952,5.0,received
5,2024-10-31 10:39:07.977,2024-10-31 10:39:07.982,5.0,received
6,2024-10-31 10:39:08.007,2024-10-31 10:39:08.015,8.0,received
7,2024-10-31 10:39:08.038,2024-10-31 10:39:08.042,4.0,received
8,2024-10-31 10:39:08.068,2024-10-31 10:39:08.072,4.0,received
9,2024-10-31 10:39:08.098,2024-10-31 10:39:08.103,5.0,received
10,2024-10-31 10:39:08.128,2024-10-31 10:39:08.135,7.0,received
11,2024-10-31 10:39:08.158,2024-10-31 10:39:08.167,9.0,received
12,2024-10-31 10:39:08.188,2024-10-31 10:39:08.193,5.0,received
13,2024-10-31 10:39:08.218,2024-10-31 10:39:08.223,5.0,received
14,2024-10-31 10:39:08.248,2024-10-31 10:39:08.253,5.0,received
15,2024-10-31 10:39:08.279,2024-10-31 10:39:08.285,6.0,received
16,2024-10-31 10:39:08.309,2024-10-31 10:39:08.313,4.0,received
17,2024-10-31 10:39:08.339,2024-10-31 10:39:08.345,6.0,received
18,2024-10-31 10:39:08.369,2024-10-31 10:39:08.377,8.0,received
19,2024-10-31 10:39:08.399,2024-10-31 10:39:08.404,5.0,received
20,2024-10-31 10:39:08.429,2024-10-31 10:39:08.434,5.0,received
21,2024-10-31 10:39:08.459,2024-10-31 10:39:08.464,5.0,received
22,2024-10-31 10:39:08.489,2024-10-31 10:39:08.495,6.0,received
23,2024-10-31 10:39:08.519,2024-10-31 10:39:08.525,6.0,received
24,2024-10-31 10:39:08.550,2024-10-31 10:39:08.554,4.0,received
25,2024-10-31 10:39:08.580,2024-10-31 10:39:08.584,4.0,received
26,2024-10-31 10:39:08.610,2024-10-31 10:39:08.615,5.0,received
27,2024-10-31 10:39:08.640,2024-10-31 10:39:08.647,7.0,received
28,2024-10-31 10:39:08.656,2024-10-31 10:39:08.660,4.0,received
29,2024-10-31 10:39:08.670,2024-10-31 10:39:08.675,5.0,received
30,2024-10-31 10:39:08.700,2024-10-31 10:39:08.707,7.0,received
31,2024-10-31 10:39:08.730,2024-10-31 10:39:08.737,7.0,received
32,2024-10-31 10:39:08.760,2024-10-31 10:39:08.765,5.0,received
33,2024-10-31 10:39:08.791,2024-10-31 10:39:08.795,4.0,received
34,2024-10-31 10:39:08.821,2024-10-31 10:39:08.825,4.0,received
35,2024-10-31 10:39:08.851,2024-10-31 10:39:08.859,8.0,received
36,2024-10-31 10:39:08.881,2024-10-31 10:39:08.891,10.0,received
37,2024-10-31 10:39:08.911,2024-10-31 10:39:08.916,5.0,received
38,2024-10-31 10:39:08.941,2024-10-31 10:39:08.946,5.0,received
39,2024-10-31 10:39:08.971,2024-10-31 10:39:08.976,5.0,received
40,2024-10-31 10:39:09.002,2024-10-31 10:39:09.009,7.0,received
41,2024-10-31 10:39:09.032,2024-10-31 10:39:09.037,5.0,received
42,2024-10-31 10:39:09.062,2024-10-31 10:39:09.066,4.0,received
43,2024-10-31 10:39:09.092,2024-10-31 10:39:09.096,4.0,received
44,2024-10-31 10:39:09.122,2024-10-31 10:39:09.127,5.0,received
45,2024-10-31 10:39:09.153,2024-10-31 10:39:09.159,6.0,received
46,2024-10-31 10:39:09.183,2024-10-31 10:39:09.189,6.0,received
47,2024-10-31 10:39:09.213,2024-10-31 10:39:09.218,5.0,received
48,2024-10-31 10:39:09.243,2024-10-31 10:39:09.248,5.0,received
49,2024-10-31 10:39:09.272,2024-10-31 10:39:09.277,5.0,received
50,2024-10-31 10:39:09.303,2024-10-31 10:39:09.309,6.0,received
51,2024-10-31 10:39:09.333,2024-10-31 10:39:09.341,8.0,received
52,2024-10-31 10:39:09.363,2024-10-31 10:39:09.368,5.0,received
53,2024-10-31 10:39:09.393,2024-10-31 10:39:09.398,5.0,received
54,2024-10-31 10:39:09.423,2024-10-31 10:39:09.428,5.0,received
55,2024-10-31 10:39:09.454,2024-10-31 10:39:09.459,5.0,received
56,2024-10-31 10:39:09.484,2024-10-31 10:39:09.489,5.0,received
57,2024-10-31 10:39:09.514,2024-10-31 10:39:09.519,5.0,received
58,2024-10-31 10:39:09.544,2024-10-31 10:39:09.551,7.0,received
59,2024-10-31 10:39:09.574,2024-10-31 10:39:09.579,5.0,received
