seq,timestamp_server,timestamp_robot,latency_ms,status
1,2024-11-06 14:18:47.081,2024-11-06 14:18:47.086,5.0,received
2,2024-11-06 14:18:47.115,2024-11-06 14:18:47.120,5.0,received
3,2024-11-06 14:18:47.130,2024-11-06 14:18:47.135,5.0,received
4,2024-11-06 14:18:47.145,2024-11-06 14:18:47.152,7.0,received
5,2024-11-06 14:18:47.175,2024-11-06 14:18:47.180,5.0,received
6,2024-11-06 14:18:47.206,2024-11-06 14:18:47.211,5.0,received
7,2024-11-06 14:18:47.236,2024-11-06 14:18:47.240,4.0,received
8,2024-11-06 14:18:47.267,2024-11-06 14:18:47.272,5.0,received
9,2024-11-06 14:18:47.296,2024-11-06 14:18:47.302,6.0,received
10,2024-11-06 14:18:47.327,2024-11-06 14:18:47.332,5.0,received
11,2024-11-06 14:18:47.357,2024-11-06 14:18:47.363,6.0,received
12,2024-11-06 14:18:47.387,2024-11-06 14:18:47.393,6.0,received
13,2024-11-06 14:18:47.417,2024-11-06 14:18:47.425,8.0,received
14,2024-11-06 14:18:47.448,2024-11-06 14:18:47.456,8.0,received
15,2024-11-06 14:18:47.478,2024-11-06 14:18:47.484,6.0,received
16,2024-11-06 14:18:47.508,2024-11-06 14:18:47.517,9.0,received
17,2024-11-06 14:18:47.537,2024-11-06 14:18:47.548,11.0,received
18,2024-11-06 14:18:47.568,2024-11-06 14:18:47.577,9.0,received
19,2024-11-06 14:18:47.598,2024-11-06 14:18:47.607,9.0,received
20,2024-11-06 14:18:47.628,2024-11-06 14:18:47.638,10.0,received
21,2024-11-06 14:18:47.659,2024-11-06 14:18:47.668,9.0,received
22,2024-11-06 14:18:47.689,2024-11-06 14:18:47.699,10.0,received
23,2024-11-06 14:18:47.719,2024-11-06 14:18:47.730,11.0,received
24,2024-11-06 14:18:47.749,2024-11-06 14:18:47.758,9.0,received
25,2024-11-06 14:18:47.779,2024-11-06 14:18:47.785,6.0,received
26,2024-11-06 14:18:47.809,2024-11-06 14:18:47.818,9.0,received
27,2024-11-06 14:18:47.839,2024-11-06 14:18:47.845,6.0,received
28,2024-11-06 14:18:47.870,2024-11-06 14:18:47.878,8.0,received
29,2024-11-06 14:18:47.900,2024-11-06 14:18:47.908,8.0,received
30,2024-11-06 14:18:47.930,2024-11-06 14:18:47.937,7.0,received
31,2024-11-06 14:18:47.960,2024-11-06 14:18:47.968,8.0,received
32,2024-11-06 14:18:47.989,2024-11-06 14:18:47.998,9.0,received
33,2024-11-06 14:18:48.019,2024-11-06 14:18:48.031,12.0,received
34,2024-11-06 14:18:48.049,2024-11-06 14:18:48.056,7.0,received
35,2024-11-06 14:18:48.079,2024-11-06 14:18:48.090,11.0,received
36,2024-11-06 14:18:48.109,2024-11-06 14:18:48.117,8.0,received
37,2024-11-06 14:18:48.127,2024-11-06 14:18:48.132,5.0,received
38,2024-11-06 14:18:48.139,2024-11-06 14:18:48.147,8.0,received
39,2024-11-06 14:18:48.170,2024-11-06 14:18:48.178,8.0,received
40,2024-11-06 14:18:48.200,2024-11-06 14:18:48.207,7.0,received
41,2024-11-06 14:18:48.230,2024-11-06 14:18:48.237,7.0,received
42,2024-11-06 14:18:48.260,2024-11-06 14:18:48.269,9.0,received
43,2024-11-06 14:18:48.290,2024-11-06 14:18:48.299,9.0,received
44,2024-11-06 14:18:48.320,2024-11-06 14:18:48.329,9.0,received
45,2024-11-06 14:18:48.350,2024-11-06 14:18:48.359,9.0,received
46,2024-11-06 14:18:48.380,2024-11-06 14:18:48.387,7.0,received
47,2024-11-06 14:18:48.410,2024-11-06 14:18:48.417,7.0,received
48,2024-11-06 14:18:48.440,2024-11-06 14:18:48.447,7.0,received
49,2024-11-06 14:18:48.471,2024-11-06 14:18:48.479,8.0,received
50,2024-11-06 14:18:48.501,2024-11-06 14:18:48.507,6.0,received
51,2024-11-06 14:18:48.531,2024-11-06 14:18:48.539,8.0,received
52,2024-11-06 14:18:48.561,2024-11-06 14:18:48.569,8.0,received
53,2024-11-06 14:18:48.591,2024-11-06 14:18:48.600,9.0,received
54,2024-11-06 14:18:48.621,2024-11-06 14:18:48.630,9.0,received
55,2024-11-06 14:18:48.651,2024-11-06 14:18:48.660,9.0,received
56,2024-11-06 14:18:48.681,2024-11-06 14:18:48.687,6.0,received
57,2024-11-06 14:18:48.712,2024-11-06 14:18:48.720,8.0,received
58,2024-11-06 14:18:48.741,2024-11-06 14:18:48.750,9.0,received
59,2024-11-06 14:18:48.772,2024-11-06 14:18:48.782,10.0,received
60,2024-11-06 14:18:48.802,2024-11-06 14:18:48.810,8.0,received
61,2024-11-06 14:18:48.832,2024-11-06 14:18:48.840,8.0,received
62,2024-11-06 14:18:48.863,2024-11-06 14:18:48.872,9.0,received
63,2024-11-06 14:18:48.893,2024-11-06 14:18:48.900,7.0,received
64,2024-11-06 14:18:48.923,2024-11-06 14:18:48.930,7.0,received
65,2024-11-06 14:18:48.953,2024-11-06 14:18:48.964,11.0,received
66,2024-11-06 14:18:48.983,2024-11-06 14:18:48.991,8.0,received
67,2024-11-06 14:18:49.013,2024-11-06 14:18:49.019,6.0,received
68,2024-11-06 14:18:49.043,2024-11-06 14:18:49.054,11.0,received
69,2024-11-06 14:18:49.074,2024-11-06 14:18:49.080,6.0,received
70,2024-11-06 14:18:49.103,2024-11-06 14:18:49.110,7.0,received
71,2024-11-06 14:18:49.133,2024-11-06 14:18:49.139,6.0,received
72,2024-11-06 14:18:49.153,2024-11-06 14:18:49.164,11.0,received
73,2024-11-06 14:18:49.163,2024-11-06 14:18:49.170,7.0,received
74,2024-11-06 14:18:49.194,2024-11-06 14:18:49.203,9.0,received
75,2024-11-06 14:18:49.224,2024-11-06 14:18:49.231,7.0,received
76,2024-11-06 14:18:49.254,2024-11-06 14:18:49.260,6.0,received
77,2024-11-06 14:18:49.284,2024-11-06 14:18:49.291,7.0,received
78,2024-11-06 14:18:49.314,2024-11-06 14:18:49.320,6.0,received
79,2024-11-06 14:18:49.344,2024-11-06 14:18:49.352,8.0,received
80,2024-11-06 14:18:49.374,2024-11-06 14:18:49.384,10.0,received
81,2024-11-06 14:18:49.404,2024-11-06 14:18:49.412,8.0,received
82,2024-11-06 14:18:49.434,2024-11-06 14:18:49.442,8.0,received
83,2024-11-06 14:18:49.464,2024-11-06 14:18:49.471,7.0,received
84,2024-11-06 14:18:49.494,2024-11-06 14:18:49.500,6.0,received
85,2024-11-06 14:18:49.525,2024-11-06 14:18:49.532,7.0,received
86,2024-11-06 14:18:49.554,2024-11-06 14:18:49.564,10.0,received
87,2024-11-06 14:18:49.584,2024-11-06 14:18:49.593,9.0,received
88,2024-11-06 14:18:49.615,2024-11-06 14:18:49.623,8.0,received
89,2024-11-06 14:18:49.644,2024-11-06 14:18:49.654,10.0,received
90,2024-11-06 14:18:49.675,2024-11-06 14:18:49.682,7.0,received
91,2024-11-06 14:18:49.705,2024-11-06 14:18:49.714,9.0,received
92,2024-11-06 14:18:49.735,2024-11-06 14:18:49.744,9.0,received
93,2024-11-06 14:18:49.766,2024-11-06 14:18:49.775,9.0,received
94,2024-11-06 14:18:49.796,2024-11-06 14:18:49.802,6.0,received
95,2024-11-06 14:18:49.825,2024-11-06 14:18:49.833,8.0,received
96,2024-11-06 14:18:49.855,2024-11-06 14:18:49.864,9.0,received
97,2024-11-06 14:18:49.886,2024-11-06 14:18:49.891,5.0,received
98,2024-11-06 14:18:49.916,2024-11-06 14:18:49.922,6.0,received
99,2024-11-06 14:18:49.946,2024-11-06 14:18:49.952,6.0,received
100,2024-11-06 14:18:49.976,2024-11-06 14:18:49.983,7.0,received
101,2024-11-06 14:18:50.006,2024-11-06 14:18:50.016,10.0,received
102,2024-11-06 14:18:50.036,2024-11-06 14:18:50.043,7.0,received
103,2024-11-06 14:18:50.067,2024-11-06 14:18:50.075,8.0,received
104,2024-11-06 14:18:50.097,2024-11-06 14:18:50.110,13.0,received
105,2024-11-06 14:18:50.127,2024-11-06 14:18:50.133,6.0,received
106,2024-11-06 14:18:50.154,2024-11-06 14:18:50.164,10.0,received
107,2024-11-06 14:18:50.158,2024-11-06 14:18:50.168,10.0,received
108,2024-11-06 14:18:50.188,2024-11-06 14:18:50.196,8.0,received
109,2024-11-06 14:18:50.217,2024-11-06 14:18:50.223,6.0,received
110,2024-11-06 14:18:50.247,2024-11-06 14:18:50.256,9.0,received
111,2024-11-06 14:18:50.277,2024-11-06 14:18:50.287,10.0,received
112,2024-11-06 14:18:50.307,2024-11-06 14:18:50.317,10.0,received
113,2024-11-06 14:18:50.337,2024-11-06 14:18:50.346,9.0,received
114,2024-11-06 14:18:50.368,2024-11-06 14:18:50.376,8.0,received
115,2024-11-06 14:18:50.398,2024-11-06 14:18:50.404,6.0,received
116,2024-11-06 14:18:50.428,2024-11-06 14:18:50.438,10.0,received
117,2024-11-06 14:18:50.458,2024-11-06 14:18:50.465,7.0,received
118,2024-11-06 14:18:50.489,2024-11-06 14:18:50.497,8.0,received
119,2024-11-06 14:18:50.519,2024-11-06 14:18:50.528,9.0,received
120,2024-11-06 14:18:50.549,2024-11-06 14:18:50.555,6.0,received
121,2024-11-06 14:18:50.579,2024-11-06 14:18:50.587,8.0,received
122,2024-11-06 14:18:50.609,2024-11-06 14:18:50.622,13.0,received
123,2024-11-06 14:18:50.639,2024-11-06 14:18:50.647,8.0,received
124,2024-11-06 14:18:50.669,2024-11-06 14:18:50.677,8.0,received
125,2024-11-06 14:18:50.699,2024-11-06 14:18:50.706,7.0,received
126,2024-11-06 14:18:50.729,2024-11-06 14:18:50.739,10.0,received
127,2024-11-06 14:18:50.760,2024-11-06 14:18:50.766,6.0,received
128,2024-11-06 14:18:50.790,2024-11-06 14:18:50.799,9.0,received
129,2024-11-06 14:18:50.819,2024-11-06 14:18:50.826,7.0,received
130,2024-11-06 14:18:50.850,2024-11-06 14:18:50.857,7.0,received
