seq,timestamp_server,timestamp_robot,latency_ms,status
1,2024-10-30 15:39:10.706,2024-10-30 15:39:10.712,6.0,received
2,2024-10-30 15:39:10.736,2024-10-30 15:39:10.742,6.0,received
3,2024-10-30 15:39:10.767,2024-10-30 15:39:10.774,7.0,received
4,2024-10-30 15:39:10.797,2024-10-30 15:39:10.801,4.0,received
5,2024-10-30 15:39:10.827,2024-10-30 15:39:10.832,5.0,received
6,2024-10-30 15:39:10.857,2024-10-30 15:39:10.862,5.0,received
7,2024-10-30 15:39:10.887,2024-10-30 15:39:10.892,5.0,received
8,2024-10-30 15:39:10.917,2024-10-30 15:39:10.922,5.0,received
9,2024-10-30 15:39:10.947,2024-10-30 15:39:10.952,5.0,received
10,2024-10-30 15:39:10.977,2024-10-30 15:39:10.982,5.0,received
11,2024-10-30 15:39:11.008,2024-10-30 15:39:11.013,5.0,received
12,2024-10-30 15:39:11.038,2024-10-30 15:39:11.042,4.0,received
13,2024-10-30 15:39:11.068,2024-10-30 15:39:11.073,5.0,received
14,2024-10-30 15:39:11.098,2024-10-30 15:39:11.102,4.0,received
15,2024-10-30 15:39:11.128,2024-10-30 15:39:11.133,5.0,received
16,2024-10-30 15:39:11.158,2024-10-30 15:39:11.164,6.0,received
17,2024-10-30 15:39:11.188,2024-10-30 15:39:11.198,10.0,received
18,2024-10-30 15:39:11.219,2024-10-30 15:39:11.224,5.0,received
19,2024-10-30 15:39:11.249,2024-10-30 15:39:11.254,5.0,received
20,2024-10-30 15:39:11.279,2024-10-30 15:39:11.284,5.0,received
21,2024-10-30 15:39:11.309,2024-10-30 15:39:11.318,9.0,received
22,2024-10-30 15:39:11.339,2024-10-30 15:39:11.344,5.0,received
23,2024-10-30 15:39:11.370,2024-10-30 15:39:11.375,5.0,received
24,2024-10-30 15:39:11.400,2024-10-30 15:39:11.404,4.0,received
25,2024-10-30 15:39:11.430,2024-10-30 15:39:11.434,4.0,received
26,2024-10-30 15:39:11.460,2024-10-30 15:39:11.465,5.0,received
27,2024-10-30 15:39:11.490,2024-10-30 15:39:11.498,8.0,received
28,2024-10-30 15:39:11.520,2024-10-30 15:39:11.526,6.0,received
29,2024-10-30 15:39:11.551,2024-10-30 15:39:11.558,7.0,received
30,2024-10-30 15:39:11.581,2024-10-30 15:39:11.587,6.0,received
31,2024-10-30 15:39:11.611,2024-10-30 15:39:11.618,7.0,received
32,2024-10-30 15:39:11.641,2024-10-30 15:39:11.650,9.0,received
33,2024-10-30 15:39:11.671,2024-10-30 15:39:11.677,6.0,received
34,2024-10-30 15:39:11.701,2024-10-30 15:39:11.707,6.0,received
35,2024-10-30 15:39:11.712,2024-10-30 15:39:11.717,5.0,received
36,2024-10-30 15:39:11.731,2024-10-30 15:39:11.735,4.0,received
37,2024-10-30 15:39:11.761,2024-10-30 15:39:11.767,6.0,received
38,2024-10-30 15:39:11.791,2024-10-30 15:39:11.797,6.0,received
39,2024-10-30 15:39:11.821,2024-10-30 15:39:11.828,7.0,received
40,2024-10-30 15:39:11.852,2024-10-30 15:39:11.857,5.0,received
41,2024-10-30 15:39:11.882,2024-10-30 15:39:11.888,6.0,received
42,2024-10-30 15:39:11.912,2024-10-30 15:39:11.920,8.0,received
43,2024-10-30 15:39:11.941,2024-10-30 15:39:11.947,6.0,received
44,2024-10-30 15:39:11.972,2024-10-30 15:39:11.977,5.0,received
45,2024-10-30 15:39:12.001,2024-10-30 15:39:12.007,6.0,received
46,2024-10-30 15:39:12.032,2024-10-30 15:39:12.038,6.0,received
47,2024-10-30 15:39:12.062,2024-10-30 15:39:12.067,5.0,received
48,2024-10-30 15:39:12.092,2024-10-30 15:39:12.097,5.0,received
49,2024-10-30 15:39:12.122,2024-10-30 15:39:12.128,6.0,received
50,2024-10-30 15:39:12.152,2024-10-30 15:39:12.157,5.0,received
51,2024-10-30 15:39:12.183,2024-10-30 15:39:12.188,5.0,received
52,2024-10-30 15:39:12.212,2024-10-30 15:39:12.218,6.0,received
53,2024-10-30 15:39:12.242,2024-10-30 15:39:12.247,5.0,received
54,2024-10-30 15:39:12.272,2024-10-30 15:39:12.277,5.0,received
55,2024-10-30 15:39:12.302,2024-10-30 15:39:12.307,5.0,received
56,2024-10-30 15:39:12.333,2024-10-30 15:39:12.338,5.0,received
57,2024-10-30 15:39:12.363,2024-10-30 15:39:12.367,4.0,received
58,2024-10-30 15:39:12.393,2024-10-30 15:39:12.398,5.0,received
59,2024-10-30 15:39:12.423,2024-10-30 15:39:12.432,9.0,received
60,2024-10-30 15:39:12.453,2024-10-30 15:39:12.457,4.0,received
61,2024-10-30 15:39:12.483,2024-10-30 15:39:12.488,5.0,received
62,2024-10-30 15:39:12.513,2024-10-30 15:39:12.518,5.0,received
63,2024-10-30 15:39:12.543,2024-10-30 15:39:12.550,7.0,received
64,2024-10-30 15:39:12.573,2024-10-30 15:39:12.578,5.0,received
65,2024-10-30 15:39:12.604,2024-10-30 15:39:12.610,6.0,received
66,2024-10-30 15:39:12.634,2024-10-30 15:39:12.640,6.0,received
67,2024-10-30 15:39:12.664,2024-10-30 15:39:12.672,8.0,received
68,2024-10-30 15:39:12.694,2024-10-30 15:39:12.702,8.0,received
69,2024-10-30 15:39:12.712,2024-10-30 15:39:12.717,5.0,received
70,2024-10-30 15:39:12.724,2024-10-30 15:39:12.734,10.0,received
71,2024-10-30 15:39:12.754,2024-10-30 15:39:12.759,5.0,received
72,2024-10-30 15:39:12.785,2024-10-30 15:39:12.792,7.0,received
73,2024-10-30 15:39:12.815,2024-10-30 15:39:12.820,5.0,received
74,2024-10-30 15:39:12.845,2024-10-30 15:39:12.850,5.0,received
75,2024-10-30 15:39:12.875,2024-10-30 15:39:12.882,7.0,received
76,2024-10-30 15:39:12.905,2024-10-30 15:39:12.910,5.0,received
77,2024-10-30 15:39:12.935,2024-10-30 15:39:12.944,9.0,received
78,2024-10-30 15:39:12.966,2024-10-30 15:39:12.976,10.0,received
79,2024-10-30 15:39:12.996,2024-10-30 15:39:13.001,5.0,received
80,2024-10-30 15:39:13.027,2024-10-30 15:39:13.032,5.0,received
81,2024-10-30 15:39:13.056,2024-10-30 15:39:13.061,5.0,received
82,2024-10-30 15:39:13.086,2024-10-30 15:39:13.094,8.0,received
83,2024-10-30 15:39:13.116,2024-10-30 15:39:13.126,10.0,received
84,2024-10-30 15:39:13.147,2024-10-30 15:39:13.152,5.0,received
85,2024-10-30 15:39:13.177,2024-10-30 15:39:13.182,5.0,received
86,2024-10-30 15:39:13.207,2024-10-30 15:39:13.212,5.0,received
87,2024-10-30 15:39:13.237,2024-10-30 15:39:13.246,9.0,received
88,2024-10-30 15:39:13.267,2024-10-30 15:39:13.276,9.0,received
89,2024-10-30 15:39:13.298,2024-10-30 15:39:13.302,4.0,received
90,2024-10-30 15:39:13.328,2024-10-30 15:39:13.332,4.0,received
91,2024-10-30 15:39:13.358,2024-10-30 15:39:13.362,4.0,received
92,2024-10-30 15:39:13.388,2024-10-30 15:39:13.396,8.0,received
93,2024-10-30 15:39:13.418,2024-10-30 15:39:13.426,8.0,received
94,2024-10-30 15:39:13.448,2024-10-30 15:39:13.453,5.0,received
95,2024-10-30 15:39:13.478,2024-10-30 15:39:13.483,5.0,received
96,2024-10-30 15:39:13.509,2024-10-30 15:39:13.518,9.0,received
97,2024-10-30 15:39:13.540,2024-10-30 15:39:13.548,8.0,received
98,2024-10-30 15:39:13.570,2024-10-30 15:39:13.580,10.0,received
99,2024-10-30 15:39:13.599,2024-10-30 15:39:13.605,6.0,received
100,2024-10-30 15:39:13.630,2024-10-30 15:39:13.635,5.0,received
101,2024-10-30 15:39:13.660,2024-10-30 15:39:13.665,5.0,received
102,2024-10-30 15:39:13.690,2024-10-30 15:39:13.695,5.0,received
103,2024-10-30 15:39:13.720,2024-10-30 15:39:13.728,8.0,received
104,2024-10-30 15:39:13.732,2024-10-30 15:39:13.737,5.0,received
105,2024-10-30 15:39:13.750,2024-10-30 15:39:13.755,5.0,received
106,2024-10-30 15:39:13.780,2024-10-30 15:39:13.788,8.0,received
