seq,timestamp_server,timestamp_robot,latency_ms,status
1,2025-03-21 12:40:54.741,2025-03-21 12:40:54.747,6.0,received
2,2025-03-21 12:40:54.771,2025-03-21 12:40:54.778,7.0,received
3,2025-03-21 12:40:54.801,2025-03-21 12:40:54.807,6.0,received
4,2025-03-21 12:40:54.831,2025-03-21 12:40:54.837,6.0,received
5,2025-03-21 12:40:54.862,2025-03-21 12:40:54.867,5.0,received
6,2025-03-21 12:40:54.892,2025-03-21 12:40:54.901,9.0,received
7,2025-03-21 12:40:54.922,2025-03-21 12:40:54.927,5.0,received
8,2025-03-21 12:40:54.952,2025-03-21 12:40:54.958,6.0,received
9,2025-03-21 12:40:54.982,2025-03-21 12:40:54.988,6.0,received
10,2025-03-21 12:40:55.012,2025-03-21 12:40:55.018,6.0,received
11,2025-03-21 12:40:55.043,2025-03-21 12:40:55.048,5.0,received
12,2025-03-21 12:40:55.073,2025-03-21 12:40:55.079,6.0,received
13,2025-03-21 12:40:55.103,2025-03-21 12:40:55.109,6.0,received
14,2025-03-21 12:40:55.133,2025-03-21 12:40:55.140,7.0,received
15,2025-03-21 12:40:55.163,2025-03-21 12:40:55.169,6.0,received
16,2025-03-21 12:40:55.193,2025-03-21 12:40:55.199,6.0,received
17,2025-03-21 12:40:55.224,2025-03-21 12:40:55.229,5.0,received
18,2025-03-21 12:40:55.254,2025-03-21 12:40:55.259,5.0,received
19,2025-03-21 12:40:55.284,2025-03-21 12:40:55.289,5.0,received
20,2025-03-21 12:40:55.314,2025-03-21 12:40:55.321,7.0,received
21,2025-03-21 12:40:55.344,2025-03-21 12:40:55.350,6.0,received
22,2025-03-21 12:40:55.374,2025-03-21 12:40:55.380,6.0,received
23,2025-03-21 12:40:55.404,2025-03-21 12:40:55.411,7.0,received
24,2025-03-21 12:40:55.435,2025-03-21 12:40:55.440,5.0,received
25,2025-03-21 12:40:55.465,2025-03-21 12:40:55.470,5.0,received
26,2025-03-21 12:40:55.494,2025-03-21 12:40:55.500,6.0,received
27,2025-03-21 12:40:55.525,2025-03-21 12:40:55.531,6.0,received
28,2025-03-21 12:40:55.555,2025-03-21 12:40:55.561,6.0,received
29,2025-03-21 12:40:55.585,2025-03-21 12:40:55.591,6.0,received
