seq,timestamp_server,timestamp_robot,latency_ms,status
1,2025-06-10 15:48:18.066,2025-06-10 15:48:18.072,6.0,received
2,2025-06-10 15:48:18.101,2025-06-10 15:48:18.108,7.0,received
3,2025-06-10 15:48:18.125,2025-06-10 15:48:18.131,6.0,received
4,2025-06-10 15:48:18.155,2025-06-10 15:48:18.163,8.0,received
5,2025-06-10 15:48:18.186,2025-06-10 15:48:18.192,6.0,received
6,2025-06-10 15:48:18.217,2025-06-10 15:48:18.223,6.0,received
7,2025-06-10 15:48:18.247,2025-06-10 15:48:18.253,6.0,received
8,2025-06-10 15:48:18.278,2025-06-10 15:48:18.283,5.0,received
9,2025-06-10 15:48:18.308,2025-06-10 15:48:18.315,7.0,received
10,2025-06-10 15:48:18.339,2025-06-10 15:48:18.345,6.0,received
11,2025-06-10 15:48:18.369,2025-06-10 15:48:18.375,6.0,received
12,2025-06-10 15:48:18.399,2025-06-10 15:48:18.404,5.0,received
13,2025-06-10 15:48:18.428,2025-06-10 15:48:18.434,6.0,received
14,2025-06-10 15:48:18.459,2025-06-10 15:48:18.464,5.0,received
15,2025-06-10 15:48:18.489,2025-06-10 15:48:18.494,5.0,received
16,2025-06-10 15:48:18.520,2025-06-10 15:48:18.525,5.0,received
17,2025-06-10 15:48:18.549,2025-06-10 15:48:18.556,7.0,received
18,2025-06-10 15:48:18.579,2025-06-10 15:48:18.584,5.0,received
19,2025-06-10 15:48:18.610,2025-06-10 15:48:18.615,5.0,received
20,2025-06-10 15:48:18.640,2025-06-10 15:48:18.646,6.0,received
21,2025-06-10 15:48:18.670,2025-06-10 15:48:18.675,5.0,received
22,2025-06-10 15:48:18.701,2025-06-10 15:48:18.707,6.0,received
23,2025-06-10 15:48:18.731,2025-06-10 15:48:18.737,6.0,received
24,2025-06-10 15:48:18.761,2025-06-10 15:48:18.767,6.0,received
25,2025-06-10 15:48:18.792,2025-06-10 15:48:18.797,5.0,received
26,2025-06-10 15:48:18.821,2025-06-10 15:48:18.827,6.0,received
27,2025-06-10 15:48:18.852,2025-06-10 15:48:18.857,5.0,received
28,2025-06-10 15:48:18.882,2025-06-10 15:48:18.888,6.0,received
29,2025-06-10 15:48:18.912,2025-06-10 15:48:18.918,6.0,received
30,2025-06-10 15:48:18.942,2025-06-10 15:48:18.948,6.0,received
31,2025-06-10 15:48:18.973,2025-06-10 15:48:18.978,5.0,received
32,2025-06-10 15:48:19.003,2025-06-10 15:48:19.008,5.0,received
