seq,timestamp_server,timestamp_robot,latency_ms,status
1,2024-10-29 22:49:29.030,2024-10-29 22:49:29.036,6.0,received
2,2024-10-29 22:49:29.060,2024-10-29 22:49:29.070,10.0,received
3,2024-10-29 22:49:29.090,2024-10-29 22:49:29.101,11.0,received
4,2024-10-29 22:49:29.120,2024-10-29 22:49:29.146,26.0,received
5,2024-10-29 22:49:29.150,2024-10-29 22:49:29.166,16.0,received
6,2024-10-29 22:49:29.180,2024-10-29 22:49:29.197,17.0,received
7,2024-10-29 22:49:29.210,2024-10-29 22:49:29.215,5.0,received
8,2024-10-29 22:49:29.241,2024-10-29 22:49:29.246,5.0,received
9,2024-10-29 22:49:29.271,2024-10-29 22:49:29.276,5.0,received
10,2024-10-29 22:49:29.301,2024-10-29 22:49:29.306,5.0,received
11,2024-10-29 22:49:29.331,2024-10-29 22:49:29.336,5.0,received
12,2024-10-29 22:49:29.361,2024-10-29 22:49:29.366,5.0,received
13,2024-10-29 22:49:29.392,2024-10-29 22:49:29.397,5.0,received
14,2024-10-29 22:49:29.422,2024-10-29 22:49:29.427,5.0,received
15,2024-10-29 22:49:29.452,2024-10-29 22:49:29.457,5.0,received
16,2024-10-29 22:49:29.482,2024-10-29 22:49:29.487,5.0,received
17,2024-10-29 22:49:29.512,2024-10-29 22:49:29.517,5.0,received
18,2024-10-29 22:49:29.542,2024-10-29 22:49:29.547,5.0,received
19,2024-10-29 22:49:29.572,2024-10-29 22:49:29.577,5.0,received
20,2024-10-29 22:49:29.602,2024-10-29 22:49:29.607,5.0,received
21,2024-10-29 22:49:29.632,2024-10-29 22:49:29.637,5.0,received
22,2024-10-29 22:49:29.662,2024-10-29 22:49:29.667,5.0,received
23,2024-10-29 22:49:29.693,2024-10-29 22:49:29.697,4.0,received
24,2024-10-29 22:49:29.723,2024-10-29 22:49:29.728,5.0,received
25,2024-10-29 22:49:29.753,2024-10-29 22:49:29.758,5.0,received
26,2024-10-29 22:49:29.783,2024-10-29 22:49:29.788,5.0,received
27,2024-10-29 22:49:29.813,2024-10-29 22:49:29.818,5.0,received
28,2024-10-29 22:49:29.843,2024-10-29 22:49:29.848,5.0,received
29,2024-10-29 22:49:29.873,2024-10-29 22:49:29.878,5.0,received
30,2024-10-29 22:49:29.903,2024-10-29 22:49:29.908,5.0,received
31,2024-10-29 22:49:29.933,2024-10-29 22:49:29.939,6.0,received
32,2024-10-29 22:49:29.954,2024-10-29 22:49:29.960,6.0,received
33,2024-10-29 22:49:29.963,2024-10-29 22:49:29.970,7.0,received
34,2024-10-29 22:49:29.993,2024-10-29 22:49:29.998,5.0,received
35,2024-10-29 22:49:30.023,2024-10-29 22:49:30.028,5.0,received
36,2024-10-29 22:49:30.053,2024-10-29 22:49:30.058,5.0,received
37,2024-10-29 22:49:30.083,2024-10-29 22:49:30.088,5.0,received
38,2024-10-29 22:49:30.113,2024-10-29 22:49:30.118,5.0,received
39,2024-10-29 22:49:30.143,2024-10-29 22:49:30.148,5.0,received
40,2024-10-29 22:49:30.173,2024-10-29 22:49:30.178,5.0,received
41,2024-10-29 22:49:30.203,2024-10-29 22:49:30.212,9.0,received
42,2024-10-29 22:49:30.233,2024-10-29 22:49:30.238,5.0,received
43,2024-10-29 22:49:30.263,2024-10-29 22:49:30.268,5.0,received
44,2024-10-29 22:49:30.294,2024-10-29 22:49:30.300,6.0,received
45,2024-10-29 22:49:30.324,2024-10-29 22:49:30.329,5.0,received
46,2024-10-29 22:49:30.354,2024-10-29 22:49:30.360,6.0,received
47,2024-10-29 22:49:30.385,2024-10-29 22:49:30.390,5.0,received
48,2024-10-29 22:49:30.414,2024-10-29 22:49:30.419,5.0,received
49,2024-10-29 22:49:30.444,2024-10-29 22:49:30.449,5.0,received
50,2024-10-29 22:49:30.474,2024-10-29 22:49:30.479,5.0,received
51,2024-10-29 22:49:30.504,2024-10-29 22:49:30.510,6.0,received
52,2024-10-29 22:49:30.534,2024-10-29 22:49:30.540,6.0,received
53,2024-10-29 22:49:30.564,2024-10-29 22:49:30.570,6.0,received
54,2024-10-29 22:49:30.595,2024-10-29 22:49:30.600,5.0,received
55,2024-10-29 22:49:30.625,2024-10-29 22:49:30.630,5.0,received
56,2024-10-29 22:49:30.655,2024-10-29 22:49:30.660,5.0,received
57,2024-10-29 22:49:30.685,2024-10-29 22:49:30.690,5.0,received
58,2024-10-29 22:49:30.715,2024-10-29 22:49:30.720,5.0,received
59,2024-10-29 22:49:30.745,2024-10-29 22:49:30.750,5.0,received
60,2024-10-29 22:49:30.775,2024-10-29 22:49:30.779,4.0,received
61,2024-10-29 22:49:30.805,2024-10-29 22:49:30.810,5.0,received
62,2024-10-29 22:49:30.835,2024-10-29 22:49:30.840,5.0,received
63,2024-10-29 22:49:30.865,2024-10-29 22:49:30.871,6.0,received
64,2024-10-29 22:49:30.896,2024-10-29 22:49:30.900,4.0,received
65,2024-10-29 22:49:30.926,2024-10-29 22:49:30.931,5.0,received
66,2024-10-29 22:49:30.956,2024-10-29 22:49:30.961,5.0,received
67,2024-10-29 22:49:30.987,2024-10-29 22:49:30.991,4.0,received
68,2024-10-29 22:49:31.001,2024-10-29 22:49:31.006,5.0,received
