seq,timestamp_server,timestamp_robot,latency_ms,status
1,2024-11-06 00:32:25.429,2024-11-06 00:32:25.433,4.0,received
2,2024-11-06 00:32:25.473,2024-11-06 00:32:25.482,9.0,received
3,2024-11-06 00:32:25.491,2024-11-06 00:32:25.496,5.0,received
4,2024-11-06 00:32:25.521,2024-11-06 00:32:25.526,5.0,received
5,2024-11-06 00:32:25.551,2024-11-06 00:32:25.556,5.0,received
6,2024-11-06 00:32:25.582,2024-11-06 00:32:25.587,5.0,received
7,2024-11-06 00:32:25.612,2024-11-06 00:32:25.616,4.0,received
8,2024-11-06 00:32:25.642,2024-11-06 00:32:25.647,5.0,received
9,2024-11-06 00:32:25.672,2024-11-06 00:32:25.677,5.0,received
10,2024-11-06 00:32:25.702,2024-11-06 00:32:25.707,5.0,received
11,2024-11-06 00:32:25.732,2024-11-06 00:32:25.737,5.0,received
12,2024-11-06 00:32:25.763,2024-11-06 00:32:25.768,5.0,received
13,2024-11-06 00:32:25.793,2024-11-06 00:32:25.801,8.0,received
14,2024-11-06 00:32:25.823,2024-11-06 00:32:25.831,8.0,received
15,2024-11-06 00:32:25.853,2024-11-06 00:32:25.861,8.0,received
16,2024-11-06 00:32:25.884,2024-11-06 00:32:25.891,7.0,received
17,2024-11-06 00:32:25.914,2024-11-06 00:32:25.923,9.0,received
18,2024-11-06 00:32:25.944,2024-11-06 00:32:25.950,6.0,received
19,2024-11-06 00:32:25.974,2024-11-06 00:32:25.982,8.0,received
20,2024-11-06 00:32:26.004,2024-11-06 00:32:26.013,9.0,received
21,2024-11-06 00:32:26.034,2024-11-06 00:32:26.041,7.0,received
22,2024-11-06 00:32:26.065,2024-11-06 00:32:26.073,8.0,received
23,2024-11-06 00:32:26.095,2024-11-06 00:32:26.103,8.0,received
24,2024-11-06 00:32:26.111,2024-11-06 00:32:26.117,6.0,received
25,2024-11-06 00:32:26.125,2024-11-06 00:32:26.133,8.0,received
26,2024-11-06 00:32:26.155,2024-11-06 00:32:26.162,7.0,received
27,2024-11-06 00:32:26.185,2024-11-06 00:32:26.192,7.0,received
28,2024-11-06 00:32:26.216,2024-11-06 00:32:26.223,7.0,received
29,2024-11-06 00:32:26.246,2024-11-06 00:32:26.255,9.0,received
30,2024-11-06 00:32:26.276,2024-11-06 00:32:26.284,8.0,received
31,2024-11-06 00:32:26.306,2024-11-06 00:32:26.313,7.0,received
32,2024-11-06 00:32:26.336,2024-11-06 00:32:26.343,7.0,received
33,2024-11-06 00:32:26.366,2024-11-06 00:32:26.375,9.0,received
34,2024-11-06 00:32:26.396,2024-11-06 00:32:26.404,8.0,received
35,2024-11-06 00:32:26.426,2024-11-06 00:32:26.433,7.0,received
36,2024-11-06 00:32:26.456,2024-11-06 00:32:26.462,6.0,received
37,2024-11-06 00:32:26.487,2024-11-06 00:32:26.494,7.0,received
38,2024-11-06 00:32:26.517,2024-11-06 00:32:26.524,7.0,received
39,2024-11-06 00:32:26.547,2024-11-06 00:32:26.555,8.0,received
40,2024-11-06 00:32:26.577,2024-11-06 00:32:26.585,8.0,received
41,2024-11-06 00:32:26.607,2024-11-06 00:32:26.615,8.0,received
42,2024-11-06 00:32:26.637,2024-11-06 00:32:26.645,8.0,received
43,2024-11-06 00:32:26.667,2024-11-06 00:32:26.674,7.0,received
44,2024-11-06 00:32:26.697,2024-11-06 00:32:26.706,9.0,received
45,2024-11-06 00:32:26.727,2024-11-06 00:32:26.735,8.0,received
46,2024-11-06 00:32:26.758,2024-11-06 00:32:26.764,6.0,received
47,2024-11-06 00:32:26.788,2024-11-06 00:32:26.796,8.0,received
48,2024-11-06 00:32:26.818,2024-11-06 00:32:26.825,7.0,received
49,2024-11-06 00:32:26.848,2024-11-06 00:32:26.855,7.0,received
50,2024-11-06 00:32:26.877,2024-11-06 00:32:26.883,6.0,received
51,2024-11-06 00:32:26.908,2024-11-06 00:32:26.916,8.0,received
52,2024-11-06 00:32:26.938,2024-11-06 00:32:26.945,7.0,received
53,2024-11-06 00:32:26.968,2024-11-06 00:32:26.977,9.0,received
54,2024-11-06 00:32:26.998,2024-11-06 00:32:27.005,7.0,received
55,2024-11-06 00:32:27.028,2024-11-06 00:32:27.035,7.0,received
56,2024-11-06 00:32:27.058,2024-11-06 00:32:27.065,7.0,received
57,2024-11-06 00:32:27.088,2024-11-06 00:32:27.096,8.0,received
58,2024-11-06 00:32:27.118,2024-11-06 00:32:27.125,7.0,received
59,2024-11-06 00:32:27.128,2024-11-06 00:32:27.135,7.0,received
60,2024-11-06 00:32:27.149,2024-11-06 00:32:27.157,8.0,received
61,2024-11-06 00:32:27.179,2024-11-06 00:32:27.188,9.0,received
62,2024-11-06 00:32:27.209,2024-11-06 00:32:27.216,7.0,received
63,2024-11-06 00:32:27.239,2024-11-06 00:32:27.247,8.0,received
64,2024-11-06 00:32:27.269,2024-11-06 00:32:27.275,6.0,received
65,2024-11-06 00:32:27.300,2024-11-06 00:32:27.305,5.0,received
66,2024-11-06 00:32:27.330,2024-11-06 00:32:27.335,5.0,received
67,2024-11-06 00:32:27.359,2024-11-06 00:32:27.365,6.0,received
68,2024-11-06 00:32:27.390,2024-11-06 00:32:27.397,7.0,received
69,2024-11-06 00:32:27.419,2024-11-06 00:32:27.426,7.0,received
70,2024-11-06 00:32:27.449,2024-11-06 00:32:27.456,7.0,received
71,2024-11-06 00:32:27.479,2024-11-06 00:32:27.487,8.0,received
72,2024-11-06 00:32:27.509,2024-11-06 00:32:27.518,9.0,received
73,2024-11-06 00:32:27.539,2024-11-06 00:32:27.546,7.0,received
74,2024-11-06 00:32:27.570,2024-11-06 00:32:27.578,8.0,received
75,2024-11-06 00:32:27.600,2024-11-06 00:32:27.608,8.0,received
76,2024-11-06 00:32:27.630,2024-11-06 00:32:27.637,7.0,received
77,2024-11-06 00:32:27.660,2024-11-06 00:32:27.668,8.0,received
78,2024-11-06 00:32:27.690,2024-11-06 00:32:27.698,8.0,received
79,2024-11-06 00:32:27.720,2024-11-06 00:32:27.726,6.0,received
80,2024-11-06 00:32:27.750,2024-11-06 00:32:27.760,10.0,received
81,2024-11-06 00:32:27.781,2024-11-06 00:32:27.788,7.0,received
82,2024-11-06 00:32:27.810,2024-11-06 00:32:27.816,6.0,received
83,2024-11-06 00:32:27.841,2024-11-06 00:32:27.846,5.0,received
