seq,timestamp_server,timestamp_robot,latency_ms,status
1,2025-03-20 16:43:57.004,2025-03-20 16:43:57.010,6.0,received
2,2025-03-20 16:43:57.034,2025-03-20 16:43:57.039,5.0,received
3,2025-03-20 16:43:57.064,2025-03-20 16:43:57.069,5.0,received
4,2025-03-20 16:43:57.094,2025-03-20 16:43:57.099,5.0,received
5,2025-03-20 16:43:57.124,2025-03-20 16:43:57.129,5.0,received
6,2025-03-20 16:43:57.154,2025-03-20 16:43:57.159,5.0,received
7,2025-03-20 16:43:57.184,2025-03-20 16:43:57.189,5.0,received
8,2025-03-20 16:43:57.214,2025-03-20 16:43:57.219,5.0,received
9,2025-03-20 16:43:57.244,2025-03-20 16:43:57.249,5.0,received
10,2025-03-20 16:43:57.275,2025-03-20 16:43:57.279,4.0,received
11,2025-03-20 16:43:57.305,2025-03-20 16:43:57.309,4.0,received
12,2025-03-20 16:43:57.335,2025-03-20 16:43:57.339,4.0,received
13,2025-03-20 16:43:57.365,2025-03-20 16:43:57.369,4.0,received
14,2025-03-20 16:43:57.395,2025-03-20 16:43:57.400,5.0,received
15,2025-03-20 16:43:57.425,2025-03-20 16:43:57.431,6.0,received
16,2025-03-20 16:43:57.455,2025-03-20 16:43:57.461,6.0,received
17,2025-03-20 16:43:57.485,2025-03-20 16:43:57.491,6.0,received
18,2025-03-20 16:43:57.515,2025-03-20 16:43:57.520,5.0,received
19,2025-03-20 16:43:57.545,2025-03-20 16:43:57.551,6.0,received
20,2025-03-20 16:43:57.575,2025-03-20 16:43:57.579,4.0,received
21,2025-03-20 16:43:57.606,2025-03-20 16:43:57.612,6.0,received
22,2025-03-20 16:43:57.635,2025-03-20 16:43:57.640,5.0,received
23,2025-03-20 16:43:57.665,2025-03-20 16:43:57.670,5.0,received
24,2025-03-20 16:43:57.696,2025-03-20 16:43:57.702,6.0,received
25,2025-03-20 16:43:57.726,2025-03-20 16:43:57.732,6.0,received
26,2025-03-20 16:43:57.756,2025-03-20 16:43:57.763,7.0,received
27,2025-03-20 16:43:57.786,2025-03-20 16:43:57.790,4.0,received
28,2025-03-20 16:43:57.816,2025-03-20 16:43:57.822,6.0,received
29,2025-03-20 16:43:57.846,2025-03-20 16:43:57.851,5.0,received
30,2025-03-20 16:43:57.876,2025-03-20 16:43:57.882,6.0,received
31,2025-03-20 16:43:57.907,2025-03-20 16:43:57.913,6.0,received
32,2025-03-20 16:43:57.937,2025-03-20 16:43:57.942,5.0,received
33,2025-03-20 16:43:57.967,2025-03-20 16:43:57.972,5.0,received
34,2025-03-20 16:43:57.997,2025-03-20 16:43:58.003,6.0,received
35,2025-03-20 16:43:58.027,2025-03-20 16:43:58.032,5.0,received
36,2025-03-20 16:43:58.058,2025-03-20 16:43:58.063,5.0,received
37,2025-03-20 16:43:58.088,2025-03-20 16:43:58.093,5.0,received
38,2025-03-20 16:43:58.118,2025-03-20 16:43:58.122,4.0,received
39,2025-03-20 16:43:58.149,2025-03-20 16:43:58.154,5.0,received
40,2025-03-20 16:43:58.178,2025-03-20 16:43:58.183,5.0,received
41,2025-03-20 16:43:58.208,2025-03-20 16:43:58.213,5.0,received
42,2025-03-20 16:43:58.238,2025-03-20 16:43:58.243,5.0,received
43,2025-03-20 16:43:58.268,2025-03-20 16:43:58.275,7.0,received
44,2025-03-20 16:43:58.299,2025-03-20 16:43:58.304,5.0,received
45,2025-03-20 16:43:58.329,2025-03-20 16:43:58.334,5.0,received
46,2025-03-20 16:43:58.359,2025-03-20 16:43:58.364,5.0,received
47,2025-03-20 16:43:58.389,2025-03-20 16:43:58.394,5.0,received
48,2025-03-20 16:43:58.419,2025-03-20 16:43:58.424,5.0,received
49,2025-03-20 16:43:58.450,2025-03-20 16:43:58.454,4.0,received
50,2025-03-20 16:43:58.480,2025-03-20 16:43:58.484,4.0,received
51,2025-03-20 16:43:58.510,2025-03-20 16:43:58.515,5.0,received
52,2025-03-20 16:43:58.540,2025-03-20 16:43:58.545,5.0,received
53,2025-03-20 16:43:58.570,2025-03-20 16:43:58.575,5.0,received
54,2025-03-20 16:43:58.600,2025-03-20 16:43:58.605,5.0,received
55,2025-03-20 16:43:58.631,2025-03-20 16:43:58.635,4.0,received
56,2025-03-20 16:43:58.661,2025-03-20 16:43:58.664,3.0,received
57,2025-03-20 16:43:58.691,2025-03-20 16:43:58.695,4.0,received
58,2025-03-20 16:43:58.721,2025-03-20 16:43:58.727,6.0,received
59,2025-03-20 16:43:58.751,2025-03-20 16:43:58.757,6.0,received
60,2025-03-20 16:43:58.781,2025-03-20 16:43:58.787,6.0,received
61,2025-03-20 16:43:58.811,2025-03-20 16:43:58.817,6.0,received
62,2025-03-20 16:43:58.842,2025-03-20 16:43:58.847,5.0,received
63,2025-03-20 16:43:58.872,2025-03-20 16:43:58.877,5.0,received
64,2025-03-20 16:43:58.902,2025-03-20 16:43:58.907,5.0,received
65,2025-03-20 16:43:58.932,2025-03-20 16:43:58.936,4.0,received
66,2025-03-20 16:43:58.962,2025-03-20 16:43:58.967,5.0,received
67,2025-03-20 16:43:58.993,2025-03-20 16:43:58.998,5.0,received
68,2025-03-20 16:43:59.023,2025-03-20 16:43:59.028,5.0,received
69,2025-03-20 16:43:59.054,2025-03-20 16:43:59.058,4.0,received
70,2025-03-20 16:43:59.084,2025-03-20 16:43:59.088,4.0,received
71,2025-03-20 16:43:59.114,2025-03-20 16:43:59.120,6.0,received
72,2025-03-20 16:43:59.144,2025-03-20 16:43:59.149,5.0,received
73,2025-03-20 16:43:59.174,2025-03-20 16:43:59.178,4.0,received
74,2025-03-20 16:43:59.205,2025-03-20 16:43:59.210,5.0,received
75,2025-03-20 16:43:59.234,2025-03-20 16:43:59.240,6.0,received
76,2025-03-20 16:43:59.265,2025-03-20 16:43:59.271,6.0,received
77,2025-03-20 16:43:59.295,2025-03-20 16:43:59.299,4.0,received
78,2025-03-20 16:43:59.325,2025-03-20 16:43:59.330,5.0,received
79,2025-03-20 16:43:59.355,2025-03-20 16:43:59.360,5.0,received
80,2025-03-20 16:43:59.385,2025-03-20 16:43:59.390,5.0,received
81,2025-03-20 16:43:59.415,2025-03-20 16:43:59.420,5.0,received
82,2025-03-20 16:43:59.445,2025-03-20 16:43:59.450,5.0,received
83,2025-03-20 16:43:59.475,2025-03-20 16:43:59.480,5.0,received
84,2025-03-20 16:43:59.506,2025-03-20 16:43:59.510,4.0,received
85,2025-03-20 16:43:59.535,2025-03-20 16:43:59.541,6.0,received
86,2025-03-20 16:43:59.565,2025-03-20 16:43:59.571,6.0,received
87,2025-03-20 16:43:59.596,2025-03-20 16:43:59.603,7.0,received
88,2025-03-20 16:43:59.626,2025-03-20 16:43:59.632,6.0,received
89,2025-03-20 16:43:59.656,2025-03-20 16:43:59.663,7.0,received
90,2025-03-20 16:43:59.686,2025-03-20 16:43:59.692,6.0,received
91,2025-03-20 16:43:59.716,2025-03-20 16:43:59.722,6.0,received
92,2025-03-20 16:43:59.746,2025-03-20 16:43:59.751,5.0,received
93,2025-03-20 16:43:59.776,2025-03-20 16:43:59.781,5.0,received
94,2025-03-20 16:43:59.807,2025-03-20 16:43:59.811,4.0,received
95,2025-03-20 16:43:59.837,2025-03-20 16:43:59.843,6.0,received
96,2025-03-20 16:43:59.867,2025-03-20 16:43:59.872,5.0,received
97,2025-03-20 16:43:59.897,2025-03-20 16:43:59.902,5.0,received
98,2025-03-20 16:43:59.927,2025-03-20 16:43:59.933,6.0,received
99,2025-03-20 16:43:59.957,2025-03-20 16:43:59.962,5.0,received
100,2025-03-20 16:43:59.987,2025-03-20 16:43:59.992,5.0,received
101,2025-03-20 16:44:00.017,2025-03-20 16:44:00.023,6.0,received
102,2025-03-20 16:44:00.047,2025-03-20 16:44:00.052,5.0,received
103,2025-03-20 16:44:00.077,2025-03-20 16:44:00.083,6.0,received
104,2025-03-20 16:44:00.107,2025-03-20 16:44:00.112,5.0,received
105,2025-03-20 16:44:00.137,2025-03-20 16:44:00.142,5.0,received
106,2025-03-20 16:44:00.167,2025-03-20 16:44:00.172,5.0,received
107,2025-03-20 16:44:00.198,2025-03-20 16:44:00.202,4.0,received
108,2025-03-20 16:44:00.228,2025-03-20 16:44:00.232,4.0,received
109,2025-03-20 16:44:00.257,2025-03-20 16:44:00.262,5.0,received
110,2025-03-20 16:44:00.288,2025-03-20 16:44:00.293,5.0,received
111,2025-03-20 16:44:00.318,2025-03-20 16:44:00.323,5.0,received
112,2025-03-20 16:44:00.347,2025-03-20 16:44:00.353,6.0,received
113,2025-03-20 16:44:00.378,2025-03-20 16:44:00.383,5.0,received
114,2025-03-20 16:44:00.408,2025-03-20 16:44:00.413,5.0,received
115,2025-03-20 16:44:00.438,2025-03-20 16:44:00.443,5.0,received
116,2025-03-20 16:44:00.468,2025-03-20 16:44:00.473,5.0,received
117,2025-03-20 16:44:00.499,2025-03-20 16:44:00.503,4.0,received
118,2025-03-20 16:44:00.529,2025-03-20 16:44:00.533,4.0,received
119,2025-03-20 16:44:00.558,2025-03-20 16:44:00.563,5.0,received
120,2025-03-20 16:44:00.589,2025-03-20 16:44:00.593,4.0,received
121,2025-03-20 16:44:00.619,2025-03-20 16:44:00.623,4.0,received
122,2025-03-20 16:44:00.648,2025-03-20 16:44:00.653,5.0,received
123,2025-03-20 16:44:00.679,2025-03-20 16:44:00.684,5.0,received
124,2025-03-20 16:44:00.709,2025-03-20 16:44:00.715,6.0,received
125,2025-03-20 16:44:00.739,2025-03-20 16:44:00.744,5.0,received
126,2025-03-20 16:44:00.769,2025-03-20 16:44:00.774,5.0,received
127,2025-03-20 16:44:00.800,2025-03-20 16:44:00.804,4.0,received
128,2025-03-20 16:44:00.830,2025-03-20 16:44:00.835,5.0,received
129,2025-03-20 16:44:00.860,2025-03-20 16:44:00.864,4.0,received
130,2025-03-20 16:44:00.890,2025-03-20 16:44:00.895,5.0,received
131,2025-03-20 16:44:00.921,2025-03-20 16:44:00.925,4.0,received
132,2025-03-20 16:44:00.950,2025-03-20 16:44:00.956,6.0,received
133,2025-03-20 16:44:00.981,2025-03-20 16:44:00.985,4.0,received
134,2025-03-20 16:44:01.011,2025-03-20 16:44:01.017,6.0,received
135,2025-03-20 16:44:01.041,2025-03-20 16:44:01.047,6.0,received
136,2025-03-20 16:44:01.071,2025-03-20 16:44:01.077,6.0,received
137,2025-03-20 16:44:01.101,2025-03-20 16:44:01.107,6.0,received
138,2025-03-20 16:44:01.131,2025-03-20 16:44:01.137,6.0,received
139,2025-03-20 16:44:01.161,2025-03-20 16:44:01.167,6.0,received
140,2025-03-20 16:44:01.192,2025-03-20 16:44:01.198,6.0,received
141,2025-03-20 16:44:01.222,2025-03-20 16:44:01.227,5.0,received
142,2025-03-20 16:44:01.252,2025-03-20 16:44:01.256,4.0,received
143,2025-03-20 16:44:01.282,2025-03-20 16:44:01.287,5.0,received
144,2025-03-20 16:44:01.313,2025-03-20 16:44:01.317,4.0,received
145,2025-03-20 16:44:01.342,2025-03-20 16:44:01.347,5.0,received
146,2025-03-20 16:44:01.372,2025-03-20 16:44:01.377,5.0,received
147,2025-03-20 16:44:01.403,2025-03-20 16:44:01.407,4.0,received
148,2025-03-20 16:44:01.433,2025-03-20 16:44:01.437,4.0,received
149,2025-03-20 16:44:01.464,2025-03-20 16:44:01.469,5.0,received
150,2025-03-20 16:44:01.494,2025-03-20 16:44:01.500,6.0,received
151,2025-03-20 16:44:01.524,2025-03-20 16:44:01.530,6.0,received
152,2025-03-20 16:44:01.554,2025-03-20 16:44:01.558,4.0,received
153,2025-03-20 16:44:01.584,2025-03-20 16:44:01.588,4.0,received
154,2025-03-20 16:44:01.614,2025-03-20 16:44:01.619,5.0,received
155,2025-03-20 16:44:01.644,2025-03-20 16:44:01.649,5.0,received
156,2025-03-20 16:44:01.674,2025-03-20 16:44:01.680,6.0,received
157,2025-03-20 16:44:01.704,2025-03-20 16:44:01.710,6.0,received
158,2025-03-20 16:44:01.735,2025-03-20 16:44:01.739,4.0,received
159,2025-03-20 16:44:01.765,2025-03-20 16:44:01.769,4.0,received
160,2025-03-20 16:44:01.795,2025-03-20 16:44:01.799,4.0,received
161,2025-03-20 16:44:01.825,2025-03-20 16:44:01.829,4.0,received
162,2025-03-20 16:44:01.855,2025-03-20 16:44:01.861,6.0,received
163,2025-03-20 16:44:01.885,2025-03-20 16:44:01.891,6.0,received
164,2025-03-20 16:44:01.915,2025-03-20 16:44:01.920,5.0,received
165,2025-03-20 16:44:01.945,2025-03-20 16:44:01.952,7.0,received
166,2025-03-20 16:44:01.975,2025-03-20 16:44:01.980,5.0,received
167,2025-03-20 16:44:02.005,2025-03-20 16:44:02.010,5.0,received
168,2025-03-20 16:44:02.036,2025-03-20 16:44:02.042,6.0,received
169,2025-03-20 16:44:02.066,2025-03-20 16:44:02.072,6.0,received
170,2025-03-20 16:44:02.096,2025-03-20 16:44:02.103,7.0,received
171,2025-03-20 16:44:02.126,2025-03-20 16:44:02.132,6.0,received
172,2025-03-20 16:44:02.156,2025-03-20 16:44:02.163,7.0,received
173,2025-03-20 16:44:02.186,2025-03-20 16:44:02.192,6.0,received
174,2025-03-20 16:44:02.216,2025-03-20 16:44:02.222,6.0,received
175,2025-03-20 16:44:02.247,2025-03-20 16:44:02.252,5.0,received
