seq,timestamp_server,timestamp_robot,latency_ms,status
1,2024-10-31 12:25:04.599,2024-10-31 12:25:04.604,5.0,received
2,2024-10-31 12:25:04.629,2024-10-31 12:25:04.634,5.0,received
3,2024-10-31 12:25:04.659,2024-10-31 12:25:04.665,6.0,received
4,2024-10-31 12:25:04.689,2024-10-31 12:25:04.694,5.0,received
5,2024-10-31 12:25:04.719,2024-10-31 12:25:04.725,6.0,received
6,2024-10-31 12:25:04.749,2024-10-31 12:25:04.755,6.0,received
7,2024-10-31 12:25:04.780,2024-10-31 12:25:04.785,5.0,received
8,2024-10-31 12:25:04.810,2024-10-31 12:25:04.815,5.0,received
9,2024-10-31 12:25:04.840,2024-10-31 12:25:04.845,5.0,received
10,2024-10-31 12:25:04.870,2024-10-31 12:25:04.875,5.0,received
11,2024-10-31 12:25:04.900,2024-10-31 12:25:04.905,5.0,received
12,2024-10-31 12:25:04.930,2024-10-31 12:25:04.935,5.0,received
13,2024-10-31 12:25:04.960,2024-10-31 12:25:04.966,6.0,received
14,2024-10-31 12:25:04.991,2024-10-31 12:25:04.995,4.0,received
15,2024-10-31 12:25:05.021,2024-10-31 12:25:05.025,4.0,received
16,2024-10-31 12:25:05.051,2024-10-31 12:25:05.055,4.0,received
17,2024-10-31 12:25:05.081,2024-10-31 12:25:05.085,4.0,received
18,2024-10-31 12:25:05.111,2024-10-31 12:25:05.115,4.0,received
19,2024-10-31 12:25:05.141,2024-10-31 12:25:05.145,4.0,received
20,2024-10-31 12:25:05.171,2024-10-31 12:25:05.175,4.0,received
21,2024-10-31 12:25:05.181,2024-10-31 12:25:05.186,5.0,received
22,2024-10-31 12:25:05.201,2024-10-31 12:25:05.205,4.0,received
23,2024-10-31 12:25:05.231,2024-10-31 12:25:05.237,6.0,received
24,2024-10-31 12:25:05.262,2024-10-31 12:25:05.267,5.0,received
25,2024-10-31 12:25:05.292,2024-10-31 12:25:05.297,5.0,received
26,2024-10-31 12:25:05.322,2024-10-31 12:25:05.327,5.0,received
27,2024-10-31 12:25:05.352,2024-10-31 12:25:05.357,5.0,received
28,2024-10-31 12:25:05.382,2024-10-31 12:25:05.387,5.0,received
29,2024-10-31 12:25:05.413,2024-10-31 12:25:05.418,5.0,received
30,2024-10-31 12:25:05.443,2024-10-31 12:25:05.449,6.0,received
31,2024-10-31 12:25:05.473,2024-10-31 12:25:05.478,5.0,received
32,2024-10-31 12:25:05.504,2024-10-31 12:25:05.509,5.0,received
33,2024-10-31 12:25:05.534,2024-10-31 12:25:05.538,4.0,received
34,2024-10-31 12:25:05.564,2024-10-31 12:25:05.569,5.0,received
35,2024-10-31 12:25:05.594,2024-10-31 12:25:05.599,5.0,received
36,2024-10-31 12:25:05.624,2024-10-31 12:25:05.630,6.0,received
37,2024-10-31 12:25:05.655,2024-10-31 12:25:05.660,5.0,received
38,2024-10-31 12:25:05.684,2024-10-31 12:25:05.689,5.0,received
39,2024-10-31 12:25:05.714,2024-10-31 12:25:05.720,6.0,received
40,2024-10-31 12:25:05.745,2024-10-31 12:25:05.750,5.0,received
41,2024-10-31 12:25:05.775,2024-10-31 12:25:05.780,5.0,received
42,2024-10-31 12:25:05.805,2024-10-31 12:25:05.810,5.0,received
43,2024-10-31 12:25:05.836,2024-10-31 12:25:05.840,4.0,received
44,2024-10-31 12:25:05.866,2024-10-31 12:25:05.870,4.0,received
45,2024-10-31 12:25:05.896,2024-10-31 12:25:05.900,4.0,received
46,2024-10-31 12:25:05.926,2024-10-31 12:25:05.930,4.0,received
47,2024-10-31 12:25:05.957,2024-10-31 12:25:05.962,5.0,received
48,2024-10-31 12:25:05.987,2024-10-31 12:25:05.992,5.0,received
49,2024-10-31 12:25:06.017,2024-10-31 12:25:06.022,5.0,received
50,2024-10-31 12:25:06.047,2024-10-31 12:25:06.052,5.0,received
51,2024-10-31 12:25:06.077,2024-10-31 12:25:06.082,5.0,received
52,2024-10-31 12:25:06.107,2024-10-31 12:25:06.112,5.0,received
53,2024-10-31 12:25:06.138,2024-10-31 12:25:06.143,5.0,received
54,2024-10-31 12:25:06.168,2024-10-31 12:25:06.173,5.0,received
55,2024-10-31 12:25:06.182,2024-10-31 12:25:06.187,5.0,received
56,2024-10-31 12:25:06.198,2024-10-31 12:25:06.203,5.0,received
57,2024-10-31 12:25:06.228,2024-10-31 12:25:06.233,5.0,received
58,2024-10-31 12:25:06.258,2024-10-31 12:25:06.263,5.0,received
59,2024-10-31 12:25:06.288,2024-10-31 12:25:06.293,5.0,received
60,2024-10-31 12:25:06.318,2024-10-31 12:25:06.323,5.0,received
61,2024-10-31 12:25:06.348,2024-10-31 12:25:06.353,5.0,received
62,2024-10-31 12:25:06.378,2024-10-31 12:25:06.384,6.0,received
63,2024-10-31 12:25:06.409,2024-10-31 12:25:06.414,5.0,received
64,2024-10-31 12:25:06.439,2024-10-31 12:25:06.444,5.0,received
65,2024-10-31 12:25:06.469,2024-10-31 12:25:06.474,5.0,received
