seq,timestamp_server,timestamp_robot,latency_ms,status
1,2025-03-12 13:33:26.500,2025-03-12 13:33:26.505,5.0,received
2,2025-03-12 13:33:26.540,2025-03-12 13:33:26.545,5.0,received
3,2025-03-12 13:33:26.560,2025-03-12 13:33:26.564,4.0,received
4,2025-03-12 13:33:26.589,2025-03-12 13:33:26.594,5.0,received
5,2025-03-12 13:33:26.620,2025-03-12 13:33:26.626,6.0,received
6,2025-03-12 13:33:26.650,2025-03-12 13:33:26.654,4.0,received
7,2025-03-12 13:33:26.680,2025-03-12 13:33:26.685,5.0,received
8,2025-03-12 13:33:26.710,2025-03-12 13:33:26.714,4.0,received
9,2025-03-12 13:33:26.741,2025-03-12 13:33:26.747,6.0,received
10,2025-03-12 13:33:26.771,2025-03-12 13:33:26.776,5.0,received
11,2025-03-12 13:33:26.801,2025-03-12 13:33:26.805,4.0,received
12,2025-03-12 13:33:26.832,2025-03-12 13:33:26.837,5.0,received
13,2025-03-12 13:33:26.861,2025-03-12 13:33:26.866,5.0,received
14,2025-03-12 13:33:26.892,2025-03-12 13:33:26.898,6.0,received
15,2025-03-12 13:33:26.922,2025-03-12 13:33:26.927,5.0,received
16,2025-03-12 13:33:26.953,2025-03-12 13:33:26.957,4.0,received
17,2025-03-12 13:33:26.982,2025-03-12 13:33:26.990,8.0,received
18,2025-03-12 13:33:27.013,2025-03-12 13:33:27.017,4.0,received
19,2025-03-12 13:33:27.043,2025-03-12 13:33:27.047,4.0,received
20,2025-03-12 13:33:27.074,2025-03-12 13:33:27.079,5.0,received
21,2025-03-12 13:33:27.104,2025-03-12 13:33:27.110,6.0,received
22,2025-03-12 13:33:27.133,2025-03-12 13:33:27.137,4.0,received
23,2025-03-12 13:33:27.164,2025-03-12 13:33:27.169,5.0,received
24,2025-03-12 13:33:27.194,2025-03-12 13:33:27.199,5.0,received
25,2025-03-12 13:33:27.224,2025-03-12 13:33:27.231,7.0,received
26,2025-03-12 13:33:27.254,2025-03-12 13:33:27.262,8.0,received
27,2025-03-12 13:33:27.284,2025-03-12 13:33:27.292,8.0,received
28,2025-03-12 13:33:27.314,2025-03-12 13:33:27.320,6.0,received
29,2025-03-12 13:33:27.345,2025-03-12 13:33:27.350,5.0,received
30,2025-03-12 13:33:27.375,2025-03-12 13:33:27.381,6.0,received
31,2025-03-12 13:33:27.406,2025-03-12 13:33:27.411,5.0,received
32,2025-03-12 13:33:27.435,2025-03-12 13:33:27.443,8.0,received
33,2025-03-12 13:33:27.466,2025-03-12 13:33:27.474,8.0,received
34,2025-03-12 13:33:27.496,2025-03-12 13:33:27.501,5.0,received
35,2025-03-12 13:33:27.526,2025-03-12 13:33:27.531,5.0,received
36,2025-03-12 13:33:27.559,2025-03-12 13:33:27.564,5.0,received
37,2025-03-12 13:33:27.587,2025-03-12 13:33:27.592,5.0,received
38,2025-03-12 13:33:27.617,2025-03-12 13:33:27.622,5.0,received
39,2025-03-12 13:33:27.647,2025-03-12 13:33:27.652,5.0,received
40,2025-03-12 13:33:27.677,2025-03-12 13:33:27.682,5.0,received
41,2025-03-12 13:33:27.707,2025-03-12 13:33:27.716,9.0,received
42,2025-03-12 13:33:27.738,2025-03-12 13:33:27.743,5.0,received
43,2025-03-12 13:33:27.768,2025-03-12 13:33:27.773,5.0,received
44,2025-03-12 13:33:27.799,2025-03-12 13:33:27.804,5.0,received
45,2025-03-12 13:33:27.828,2025-03-12 13:33:27.833,5.0,received
46,2025-03-12 13:33:27.858,2025-03-12 13:33:27.865,7.0,received
47,2025-03-12 13:33:27.889,2025-03-12 13:33:27.894,5.0,received
48,2025-03-12 13:33:27.919,2025-03-12 13:33:27.924,5.0,received
49,2025-03-12 13:33:27.949,2025-03-12 13:33:27.955,6.0,received
50,2025-03-12 13:33:27.979,2025-03-12 13:33:27.984,5.0,received
51,2025-03-12 13:33:28.010,2025-03-12 13:33:28.014,4.0,received
52,2025-03-12 13:33:28.039,2025-03-12 13:33:28.044,5.0,received
53,2025-03-12 13:33:28.069,2025-03-12 13:33:28.076,7.0,received
54,2025-03-12 13:33:28.100,2025-03-12 13:33:28.105,5.0,received
55,2025-03-12 13:33:28.131,2025-03-12 13:33:28.135,4.0,received
56,2025-03-12 13:33:28.161,2025-03-12 13:33:28.165,4.0,received
57,2025-03-12 13:33:28.190,2025-03-12 13:33:28.195,5.0,received
58,2025-03-12 13:33:28.220,2025-03-12 13:33:28.227,7.0,received
59,2025-03-12 13:33:28.251,2025-03-12 13:33:28.257,6.0,received
