seq,timestamp_server,timestamp_robot,latency_ms,status
1,2024-10-31 14:18:12.232,2024-10-31 14:18:12.238,6.0,received
2,2024-10-31 14:18:12.263,2024-10-31 14:18:12.267,4.0,received
3,2024-10-31 14:18:12.293,2024-10-31 14:18:12.297,4.0,received
4,2024-10-31 14:18:12.323,2024-10-31 14:18:12.327,4.0,received
5,2024-10-31 14:18:12.353,2024-10-31 14:18:12.358,5.0,received
6,2024-10-31 14:18:12.384,2024-10-31 14:18:12.389,5.0,received
7,2024-10-31 14:18:12.414,2024-10-31 14:18:12.419,5.0,received
8,2024-10-31 14:18:12.444,2024-10-31 14:18:12.449,5.0,received
9,2024-10-31 14:18:12.474,2024-10-31 14:18:12.479,5.0,received
10,2024-10-31 14:18:12.504,2024-10-31 14:18:12.509,5.0,received
11,2024-10-31 14:18:12.534,2024-10-31 14:18:12.539,5.0,received
12,2024-10-31 14:18:12.564,2024-10-31 14:18:12.569,5.0,received
13,2024-10-31 14:18:12.594,2024-10-31 14:18:12.599,5.0,received
14,2024-10-31 14:18:12.625,2024-10-31 14:18:12.629,4.0,received
15,2024-10-31 14:18:12.655,2024-10-31 14:18:12.659,4.0,received
16,2024-10-31 14:18:12.685,2024-10-31 14:18:12.689,4.0,received
17,2024-10-31 14:18:12.715,2024-10-31 14:18:12.720,5.0,received
18,2024-10-31 14:18:12.745,2024-10-31 14:18:12.749,4.0,received
19,2024-10-31 14:18:12.775,2024-10-31 14:18:12.780,5.0,received
20,2024-10-31 14:18:12.805,2024-10-31 14:18:12.809,4.0,received
21,2024-10-31 14:18:12.835,2024-10-31 14:18:12.840,5.0,received
22,2024-10-31 14:18:12.866,2024-10-31 14:18:12.870,4.0,received
23,2024-10-31 14:18:12.890,2024-10-31 14:18:12.894,4.0,received
24,2024-10-31 14:18:12.895,2024-10-31 14:18:12.899,4.0,received
25,2024-10-31 14:18:12.925,2024-10-31 14:18:12.929,4.0,received
26,2024-10-31 14:18:12.955,2024-10-31 14:18:12.960,5.0,received
27,2024-10-31 14:18:12.985,2024-10-31 14:18:12.990,5.0,received
28,2024-10-31 14:18:13.016,2024-10-31 14:18:13.020,4.0,received
29,2024-10-31 14:18:13.047,2024-10-31 14:18:13.051,4.0,received
30,2024-10-31 14:18:13.077,2024-10-31 14:18:13.081,4.0,received
31,2024-10-31 14:18:13.106,2024-10-31 14:18:13.110,4.0,received
32,2024-10-31 14:18:13.136,2024-10-31 14:18:13.141,5.0,received
33,2024-10-31 14:18:13.167,2024-10-31 14:18:13.171,4.0,received
34,2024-10-31 14:18:13.196,2024-10-31 14:18:13.201,5.0,received
