seq,timestamp_server,timestamp_robot,latency_ms,status
1,2025-03-20 20:31:45.794,2025-03-20 20:31:45.800,6.0,received
2,2025-03-20 20:31:45.825,2025-03-20 20:31:45.831,6.0,received
3,2025-03-20 20:31:45.855,2025-03-20 20:31:45.859,4.0,received
4,2025-03-20 20:31:45.885,2025-03-20 20:31:45.889,4.0,received
5,2025-03-20 20:31:45.915,2025-03-20 20:31:45.920,5.0,received
6,2025-03-20 20:31:45.945,2025-03-20 20:31:45.950,5.0,received
7,2025-03-20 20:31:45.975,2025-03-20 20:31:45.979,4.0,received
8,2025-03-20 20:31:46.006,2025-03-20 20:31:46.010,4.0,received
9,2025-03-20 20:31:46.036,2025-03-20 20:31:46.042,6.0,received
10,2025-03-20 20:31:46.066,,,lost
11,2025-03-20 20:31:46.096,2025-03-20 20:31:46.103,7.0,received
12,2025-03-20 20:31:46.126,2025-03-20 20:31:46.133,7.0,received
13,2025-03-20 20:31:46.156,2025-03-20 20:31:46.163,7.0,received
14,2025-03-20 20:31:46.186,2025-03-20 20:31:46.193,7.0,received
15,2025-03-20 20:31:46.217,2025-03-20 20:31:46.223,6.0,received
16,2025-03-20 20:31:46.247,2025-03-20 20:31:46.252,5.0,received
17,2025-03-20 20:31:46.277,2025-03-20 20:31:46.283,6.0,received
18,2025-03-20 20:31:46.308,2025-03-20 20:31:46.313,5.0,received
19,2025-03-20 20:31:46.338,2025-03-20 20:31:46.343,5.0,received
20,2025-03-20 20:31:46.368,2025-03-20 20:31:46.373,5.0,received
21,2025-03-20 20:31:46.398,2025-03-20 20:31:46.403,5.0,received
22,2025-03-20 20:31:46.428,2025-03-20 20:31:46.433,5.0,received
23,2025-03-20 20:31:46.458,2025-03-20 20:31:46.463,5.0,received
24,2025-03-20 20:31:46.489,2025-03-20 20:31:46.495,6.0,received
25,2025-03-20 20:31:46.519,2025-03-20 20:31:46.524,5.0,received
26,2025-03-20 20:31:46.549,2025-03-20 20:31:46.554,5.0,received
27,2025-03-20 20:31:46.579,2025-03-20 20:31:46.584,5.0,received
28,2025-03-20 20:31:46.609,2025-03-20 20:31:46.615,6.0,received
29,2025-03-20 20:31:46.640,2025-03-20 20:31:46.646,6.0,received
30,2025-03-20 20:31:46.670,2025-03-20 20:31:46.675,5.0,received
31,2025-03-20 20:31:46.700,2025-03-20 20:31:46.706,6.0,received
32,2025-03-20 20:31:46.730,2025-03-20 20:31:46.735,5.0,received
33,2025-03-20 20:31:46.760,2025-03-20 20:31:46.766,6.0,received
34,2025-03-20 20:31:46.790,2025-03-20 20:31:46.795,5.0,received
35,2025-03-20 20:31:46.821,2025-03-20 20:31:46.827,6.0,received
36,2025-03-20 20:31:46.851,2025-03-20 20:31:46.857,6.0,received
37,2025-03-20 20:31:46.881,2025-03-20 20:31:46.887,6.0,received
38,2025-03-20 20:31:46.911,2025-03-20 20:31:46.917,6.0,received
39,2025-03-20 20:31:46.942,2025-03-20 20:31:46.947,5.0,received
40,2025-03-20 20:31:46.972,2025-03-20 20:31:46.978,6.0,received
41,2025-03-20 20:31:47.002,2025-03-20 20:31:47.008,6.0,received
42,2025-03-20 20:31:47.032,2025-03-20 20:31:47.038,6.0,received
43,2025-03-20 20:31:47.062,2025-03-20 20:31:47.068,6.0,received
44,2025-03-20 20:31:47.092,2025-03-20 20:31:47.098,6.0,received
45,2025-03-20 20:31:47.123,2025-03-20 20:31:47.128,5.0,received
46,2025-03-20 20:31:47.153,2025-03-20 20:31:47.158,5.0,received
47,2025-03-20 20:31:47.183,2025-03-20 20:31:47.188,5.0,received
48,2025-03-20 20:31:47.213,2025-03-20 20:31:47.218,5.0,received
49,2025-03-20 20:31:47.243,2025-03-20 20:31:47.248,5.0,received
50,2025-03-20 20:31:47.273,2025-03-20 20:31:47.278,5.0,received
51,2025-03-20 20:31:47.304,2025-03-20 20:31:47.310,6.0,received
52,2025-03-20 20:31:47.334,2025-03-20 20:31:47.340,6.0,received
53,2025-03-20 20:31:47.364,2025-03-20 20:31:47.369,5.0,received
54,2025-03-20 20:31:47.395,2025-03-20 20:31:47.400,5.0,received
55,2025-03-20 20:31:47.425,2025-03-20 20:31:47.431,6.0,received
56,2025-03-20 20:31:47.455,2025-03-20 20:31:47.460,5.0,received
57,2025-03-20 20:31:47.485,2025-03-20 20:31:47.491,6.0,received
58,2025-03-20 20:31:47.515,2025-03-20 20:31:47.521,6.0,received
59,2025-03-20 20:31:47.545,2025-03-20 20:31:47.550,5.0,received
60,2025-03-20 20:31:47.575,2025-03-20 20:31:47.582,7.0,received
61,2025-03-20 20:31:47.605,2025-03-20 20:31:47.610,5.0,received
62,2025-03-20 20:31:47.635,2025-03-20 20:31:47.641,6.0,received
63,2025-03-20 20:31:47.666,2025-03-20 20:31:47.672,6.0,received
64,2025-03-20 20:31:47.696,2025-03-20 20:31:47.703,7.0,received
65,2025-03-20 20:31:47.725,2025-03-20 20:31:47.732,7.0,received
66,2025-03-20 20:31:47.756,2025-03-20 20:31:47.763,7.0,received
67,2025-03-20 20:31:47.786,2025-03-20 20:31:47.792,6.0,received
68,2025-03-20 20:31:47.816,2025-03-20 20:31:47.823,7.0,received
69,2025-03-20 20:31:47.847,2025-03-20 20:31:47.853,6.0,received
70,2025-03-20 20:31:47.877,2025-03-20 20:31:47.883,6.0,received
71,2025-03-20 20:31:47.907,2025-03-20 20:31:47.913,6.0,received
72,2025-03-20 20:31:47.937,2025-03-20 20:31:47.943,6.0,received
73,2025-03-20 20:31:47.967,2025-03-20 20:31:47.973,6.0,received
74,2025-03-20 20:31:47.997,2025-03-20 20:31:48.005,8.0,received
75,2025-03-20 20:31:48.027,2025-03-20 20:31:48.033,6.0,received
76,2025-03-20 20:31:48.058,2025-03-20 20:31:48.063,5.0,received
77,2025-03-20 20:31:48.088,2025-03-20 20:31:48.093,5.0,received
78,2025-03-20 20:31:48.118,2025-03-20 20:31:48.123,5.0,received
79,2025-03-20 20:31:48.148,2025-03-20 20:31:48.153,5.0,received
80,2025-03-20 20:31:48.178,2025-03-20 20:31:48.189,11.0,received
81,2025-03-20 20:31:48.208,2025-03-20 20:31:48.214,6.0,received
82,2025-03-20 20:31:48.239,2025-03-20 20:31:48.244,5.0,received
83,2025-03-20 20:31:48.269,2025-03-20 20:31:48.274,5.0,received
84,2025-03-20 20:31:48.299,2025-03-20 20:31:48.304,5.0,received
85,2025-03-20 20:31:48.329,2025-03-20 20:31:48.334,5.0,received
86,2025-03-20 20:31:48.359,2025-03-20 20:31:48.364,5.0,received
87,2025-03-20 20:31:48.389,2025-03-20 20:31:48.396,7.0,received
88,2025-03-20 20:31:48.420,2025-03-20 20:31:48.425,5.0,received
89,2025-03-20 20:31:48.450,2025-03-20 20:31:48.456,6.0,received
90,2025-03-20 20:31:48.481,2025-03-20 20:31:48.487,6.0,received
91,2025-03-20 20:31:48.511,2025-03-20 20:31:48.517,6.0,received
92,2025-03-20 20:31:48.541,2025-03-20 20:31:48.548,7.0,received
93,2025-03-20 20:31:48.571,2025-03-20 20:31:48.578,7.0,received
94,2025-03-20 20:31:48.601,2025-03-20 20:31:48.609,8.0,received
95,2025-03-20 20:31:48.631,2025-03-20 20:31:48.639,8.0,received
96,2025-03-20 20:31:48.661,2025-03-20 20:31:48.667,6.0,received
97,2025-03-20 20:31:48.692,2025-03-20 20:31:48.697,5.0,received
98,2025-03-20 20:31:48.722,2025-03-20 20:31:48.727,5.0,received
99,2025-03-20 20:31:48.752,2025-03-20 20:31:48.758,6.0,received
100,2025-03-20 20:31:48.782,2025-03-20 20:31:48.788,6.0,received
101,2025-03-20 20:31:48.812,2025-03-20 20:31:48.817,5.0,received
102,2025-03-20 20:31:48.843,2025-03-20 20:31:48.848,5.0,received
103,2025-03-20 20:31:48.873,2025-03-20 20:31:48.878,5.0,received
104,2025-03-20 20:31:48.903,2025-03-20 20:31:48.909,6.0,received
105,2025-03-20 20:31:48.933,2025-03-20 20:31:48.938,5.0,received
106,2025-03-20 20:31:48.963,2025-03-20 20:31:48.969,6.0,received
107,2025-03-20 20:31:48.994,2025-03-20 20:31:49.001,7.0,received
108,2025-03-20 20:31:49.024,2025-03-20 20:31:49.029,5.0,received
109,2025-03-20 20:31:49.054,2025-03-20 20:31:49.060,6.0,received
110,2025-03-20 20:31:49.084,2025-03-20 20:31:49.093,9.0,received
111,2025-03-20 20:31:49.114,2025-03-20 20:31:49.119,5.0,received
112,2025-03-20 20:31:49.144,2025-03-20 20:31:49.149,5.0,received
113,2025-03-20 20:31:49.175,2025-03-20 20:31:49.179,4.0,received
114,2025-03-20 20:31:49.205,2025-03-20 20:31:49.210,5.0,received
115,2025-03-20 20:31:49.235,2025-03-20 20:31:49.240,5.0,received
116,2025-03-20 20:31:49.265,2025-03-20 20:31:49.269,4.0,received
117,2025-03-20 20:31:49.295,2025-03-20 20:31:49.300,5.0,received
118,2025-03-20 20:31:49.326,2025-03-20 20:31:49.332,6.0,received
119,2025-03-20 20:31:49.356,2025-03-20 20:31:49.363,7.0,received
120,2025-03-20 20:31:49.386,2025-03-20 20:31:49.391,5.0,received
121,2025-03-20 20:31:49.417,2025-03-20 20:31:49.421,4.0,received
122,2025-03-20 20:31:49.446,2025-03-20 20:31:49.452,6.0,received
123,2025-03-20 20:31:49.477,2025-03-20 20:31:49.482,5.0,received
124,2025-03-20 20:31:49.507,2025-03-20 20:31:49.512,5.0,received
125,2025-03-20 20:31:49.537,2025-03-20 20:31:49.542,5.0,received
126,2025-03-20 20:31:49.567,2025-03-20 20:31:49.572,5.0,received
127,2025-03-20 20:31:49.598,2025-03-20 20:31:49.602,4.0,received
128,2025-03-20 20:31:49.627,2025-03-20 20:31:49.632,5.0,received
129,2025-03-20 20:31:49.657,2025-03-20 20:31:49.662,5.0,received
130,2025-03-20 20:31:49.688,2025-03-20 20:31:49.692,4.0,received
