seq,timestamp_server,timestamp_robot,latency_ms,status
1,2024-10-31 17:44:01.518,2024-10-31 17:44:01.524,6.0,received
2,2024-10-31 17:44:01.548,2024-10-31 17:44:01.553,5.0,received
3,2024-10-31 17:44:01.578,2024-10-31 17:44:01.583,5.0,received
4,2024-10-31 17:44:01.608,2024-10-31 17:44:01.613,5.0,received
5,2024-10-31 17:44:01.638,2024-10-31 17:44:01.644,6.0,received
6,2024-10-31 17:44:01.669,2024-10-31 17:44:01.675,6.0,received
7,2024-10-31 17:44:01.698,2024-10-31 17:44:01.704,6.0,received
8,2024-10-31 17:44:01.729,2024-10-31 17:44:01.735,6.0,received
9,2024-10-31 17:44:01.759,2024-10-31 17:44:01.765,6.0,received
10,2024-10-31 17:44:01.789,2024-10-31 17:44:01.795,6.0,received
11,2024-10-31 17:44:01.819,2024-10-31 17:44:01.825,6.0,received
12,2024-10-31 17:44:01.849,2024-10-31 17:44:01.855,6.0,received
13,2024-10-31 17:44:01.880,2024-10-31 17:44:01.885,5.0,received
14,2024-10-31 17:44:01.910,2024-10-31 17:44:01.916,6.0,received
15,2024-10-31 17:44:01.940,2024-10-31 17:44:01.946,6.0,received
16,2024-10-31 17:44:01.970,2024-10-31 17:44:01.975,5.0,received
17,2024-10-31 17:44:02.001,2024-10-31 17:44:02.006,5.0,received
18,2024-10-31 17:44:02.031,2024-10-31 17:44:02.036,5.0,received
19,2024-10-31 17:44:02.061,2024-10-31 17:44:02.066,5.0,received
20,2024-10-31 17:44:02.091,2024-10-31 17:44:02.096,5.0,received
21,2024-10-31 17:44:02.121,2024-10-31 17:44:02.126,5.0,received
22,2024-10-31 17:44:02.151,2024-10-31 17:44:02.156,5.0,received
23,2024-10-31 17:44:02.182,2024-10-31 17:44:02.187,5.0,received
24,2024-10-31 17:44:02.212,2024-10-31 17:44:02.217,5.0,received
25,2024-10-31 17:44:02.242,2024-10-31 17:44:02.248,6.0,received
26,2024-10-31 17:44:02.272,2024-10-31 17:44:02.278,6.0,received
27,2024-10-31 17:44:02.302,2024-10-31 17:44:02.308,6.0,received
28,2024-10-31 17:44:02.318,2024-10-31 17:44:02.323,5.0,received
29,2024-10-31 17:44:02.332,2024-10-31 17:44:02.338,6.0,received
30,2024-10-31 17:44:02.362,2024-10-31 17:44:02.368,6.0,received
31,2024-10-31 17:44:02.392,2024-10-31 17:44:02.398,6.0,received
32,2024-10-31 17:44:02.422,2024-10-31 17:44:02.428,6.0,received
33,2024-10-31 17:44:02.453,2024-10-31 17:44:02.458,5.0,received
34,2024-10-31 17:44:02.482,2024-10-31 17:44:02.488,6.0,received
35,2024-10-31 17:44:02.512,2024-10-31 17:44:02.517,5.0,received
36,2024-10-31 17:44:02.542,2024-10-31 17:44:02.548,6.0,received
37,2024-10-31 17:44:02.573,2024-10-31 17:44:02.578,5.0,received
38,2024-10-31 17:44:02.603,2024-10-31 17:44:02.608,5.0,received
39,2024-10-31 17:44:02.633,2024-10-31 17:44:02.638,5.0,received
40,2024-10-31 17:44:02.663,2024-10-31 17:44:02.674,11.0,received
41,2024-10-31 17:44:02.693,2024-10-31 17:44:02.699,6.0,received
42,2024-10-31 17:44:02.723,2024-10-31 17:44:02.729,6.0,received
43,2024-10-31 17:44:02.753,2024-10-31 17:44:02.759,6.0,received
44,2024-10-31 17:44:02.783,2024-10-31 17:44:02.789,6.0,received
45,2024-10-31 17:44:02.814,2024-10-31 17:44:02.820,6.0,received
46,2024-10-31 17:44:02.843,2024-10-31 17:44:02.849,6.0,received
47,2024-10-31 17:44:02.873,2024-10-31 17:44:02.879,6.0,received
48,2024-10-31 17:44:02.903,2024-10-31 17:44:02.909,6.0,received
49,2024-10-31 17:44:02.934,2024-10-31 17:44:02.939,5.0,received
50,2024-10-31 17:44:02.964,2024-10-31 17:44:02.969,5.0,received
51,2024-10-31 17:44:02.994,2024-10-31 17:44:02.999,5.0,received
52,2024-10-31 17:44:03.024,2024-10-31 17:44:03.029,5.0,received
53,2024-10-31 17:44:03.054,2024-10-31 17:44:03.059,5.0,received
54,2024-10-31 17:44:03.084,2024-10-31 17:44:03.089,5.0,received
55,2024-10-31 17:44:03.114,2024-10-31 17:44:03.119,5.0,received
56,2024-10-31 17:44:03.144,2024-10-31 17:44:03.149,5.0,received
57,2024-10-31 17:44:03.174,2024-10-31 17:44:03.179,5.0,received
58,2024-10-31 17:44:03.205,2024-10-31 17:44:03.209,4.0,received
59,2024-10-31 17:44:03.235,2024-10-31 17:44:03.240,5.0,received
60,2024-10-31 17:44:03.264,2024-10-31 17:44:03.269,5.0,received
61,2024-10-31 17:44:03.295,2024-10-31 17:44:03.299,4.0,received
62,2024-10-31 17:44:03.325,2024-10-31 17:44:03.330,5.0,received
