seq,timestamp_server,timestamp_robot,latency_ms,status
1,2024-11-08 02:25:16.059,2024-11-08 02:25:16.065,6.0,received
2,2024-11-08 02:25:16.097,2024-11-08 02:25:16.106,9.0,received
3,2024-11-08 02:25:16.119,2024-11-08 02:25:16.124,5.0,received
4,2024-11-08 02:25:16.149,2024-11-08 02:25:16.154,5.0,received
5,2024-11-08 02:25:16.179,2024-11-08 02:25:16.185,6.0,received
6,2024-11-08 02:25:16.210,2024-11-08 02:25:16.215,5.0,received
7,2024-11-08 02:25:16.240,2024-11-08 02:25:16.245,5.0,received
8,2024-11-08 02:25:16.270,2024-11-08 02:25:16.275,5.0,received
9,2024-11-08 02:25:16.300,2024-11-08 02:25:16.307,7.0,received
10,2024-11-08 02:25:16.330,2024-11-08 02:25:16.337,7.0,received
11,2024-11-08 02:25:16.360,2024-11-08 02:25:16.366,6.0,received
12,2024-11-08 02:25:16.390,2024-11-08 02:25:16.398,8.0,received
13,2024-11-08 02:25:16.420,2024-11-08 02:25:16.429,9.0,received
14,2024-11-08 02:25:16.450,2024-11-08 02:25:16.460,10.0,received
15,2024-11-08 02:25:16.481,2024-11-08 02:25:16.488,7.0,received
16,2024-11-08 02:25:16.511,2024-11-08 02:25:16.519,8.0,received
17,2024-11-08 02:25:16.541,2024-11-08 02:25:16.550,9.0,received
18,2024-11-08 02:25:16.571,2024-11-08 02:25:16.579,8.0,received
19,2024-11-08 02:25:16.601,2024-11-08 02:25:16.610,9.0,received
20,2024-11-08 02:25:16.631,2024-11-08 02:25:16.641,10.0,received
21,2024-11-08 02:25:16.661,2024-11-08 02:25:16.670,9.0,received
22,2024-11-08 02:25:16.691,2024-11-08 02:25:16.698,7.0,received
23,2024-11-08 02:25:16.721,2024-11-08 02:25:16.730,9.0,received
24,2024-11-08 02:25:16.751,2024-11-08 02:25:16.760,9.0,received
25,2024-11-08 02:25:16.781,2024-11-08 02:25:16.789,8.0,received
26,2024-11-08 02:25:16.812,2024-11-08 02:25:16.820,8.0,received
27,2024-11-08 02:25:16.842,2024-11-08 02:25:16.850,8.0,received
28,2024-11-08 02:25:16.872,2024-11-08 02:25:16.878,6.0,received
29,2024-11-08 02:25:16.902,2024-11-08 02:25:16.910,8.0,received
30,2024-11-08 02:25:16.932,2024-11-08 02:25:16.940,8.0,received
31,2024-11-08 02:25:16.962,2024-11-08 02:25:16.969,7.0,received
32,2024-11-08 02:25:16.993,2024-11-08 02:25:17.002,9.0,received
33,2024-11-08 02:25:17.023,2024-11-08 02:25:17.032,9.0,received
34,2024-11-08 02:25:17.053,2024-11-08 02:25:17.059,6.0,received
35,2024-11-08 02:25:17.083,2024-11-08 02:25:17.089,6.0,received
36,2024-11-08 02:25:17.113,2024-11-08 02:25:17.120,7.0,received
37,2024-11-08 02:25:17.143,2024-11-08 02:25:17.149,6.0,received
38,2024-11-08 02:25:17.173,2024-11-08 02:25:17.179,6.0,received
39,2024-11-08 02:25:17.203,2024-11-08 02:25:17.210,7.0,received
40,2024-11-08 02:25:17.233,2024-11-08 02:25:17.243,10.0,received
41,2024-11-08 02:25:17.263,2024-11-08 02:25:17.270,7.0,received
42,2024-11-08 02:25:17.293,2024-11-08 02:25:17.302,9.0,received
43,2024-11-08 02:25:17.324,2024-11-08 02:25:17.331,7.0,received
44,2024-11-08 02:25:17.354,2024-11-08 02:25:17.362,8.0,received
45,2024-11-08 02:25:17.383,2024-11-08 02:25:17.392,9.0,received
46,2024-11-08 02:25:17.414,2024-11-08 02:25:17.423,9.0,received
47,2024-11-08 02:25:17.444,2024-11-08 02:25:17.450,6.0,received
48,2024-11-08 02:25:17.475,2024-11-08 02:25:17.482,7.0,received
49,2024-11-08 02:25:17.505,2024-11-08 02:25:17.514,9.0,received
50,2024-11-08 02:25:17.535,2024-11-08 02:25:17.544,9.0,received
51,2024-11-08 02:25:17.566,2024-11-08 02:25:17.575,9.0,received
52,2024-11-08 02:25:17.596,2024-11-08 02:25:17.603,7.0,received
53,2024-11-08 02:25:17.626,2024-11-08 02:25:17.633,7.0,received
54,2024-11-08 02:25:17.656,2024-11-08 02:25:17.662,6.0,received
55,2024-11-08 02:25:17.686,2024-11-08 02:25:17.694,8.0,received
56,2024-11-08 02:25:17.716,2024-11-08 02:25:17.724,8.0,received
