seq,timestamp_server,timestamp_robot,latency_ms,status
1,2024-10-31 18:35:36.271,2024-10-31 18:35:36.277,6.0,received
2,2024-10-31 18:35:36.302,2024-10-31 18:35:36.307,5.0,received
3,2024-10-31 18:35:36.332,2024-10-31 18:35:36.337,5.0,received
4,2024-10-31 18:35:36.362,2024-10-31 18:35:36.367,5.0,received
5,2024-10-31 18:35:36.392,2024-10-31 18:35:36.397,5.0,received
6,2024-10-31 18:35:36.422,2024-10-31 18:35:36.427,5.0,received
7,2024-10-31 18:35:36.452,2024-10-31 18:35:36.458,6.0,received
8,2024-10-31 18:35:36.482,2024-10-31 18:35:36.487,5.0,received
9,2024-10-31 18:35:36.513,2024-10-31 18:35:36.518,5.0,received
10,2024-10-31 18:35:36.543,2024-10-31 18:35:36.548,5.0,received
11,2024-10-31 18:35:36.573,2024-10-31 18:35:36.578,5.0,received
12,2024-10-31 18:35:36.603,2024-10-31 18:35:36.615,12.0,received
13,2024-10-31 18:35:36.633,2024-10-31 18:35:36.638,5.0,received
14,2024-10-31 18:35:36.663,2024-10-31 18:35:36.668,5.0,received
15,2024-10-31 18:35:36.694,2024-10-31 18:35:36.699,5.0,received
16,2024-10-31 18:35:36.724,2024-10-31 18:35:36.729,5.0,received
17,2024-10-31 18:35:36.733,2024-10-31 18:35:36.739,6.0,received
18,2024-10-31 18:35:36.754,2024-10-31 18:35:36.759,5.0,received
19,2024-10-31 18:35:36.784,2024-10-31 18:35:36.789,5.0,received
20,2024-10-31 18:35:36.814,2024-10-31 18:35:36.819,5.0,received
21,2024-10-31 18:35:36.844,2024-10-31 18:35:36.849,5.0,received
22,2024-10-31 18:35:36.874,2024-10-31 18:35:36.879,5.0,received
23,2024-10-31 18:35:36.905,2024-10-31 18:35:36.910,5.0,received
24,2024-10-31 18:35:36.935,2024-10-31 18:35:36.940,5.0,received
25,2024-10-31 18:35:36.965,2024-10-31 18:35:36.972,7.0,received
26,2024-10-31 18:35:36.996,2024-10-31 18:35:37.002,6.0,received
27,2024-10-31 18:35:37.026,2024-10-31 18:35:37.032,6.0,received
28,2024-10-31 18:35:37.055,2024-10-31 18:35:37.067,12.0,received
29,2024-10-31 18:35:37.085,2024-10-31 18:35:37.091,6.0,received
30,2024-10-31 18:35:37.115,2024-10-31 18:35:37.121,6.0,received
31,2024-10-31 18:35:37.145,2024-10-31 18:35:37.151,6.0,received
32,2024-10-31 18:35:37.176,2024-10-31 18:35:37.181,5.0,received
33,2024-10-31 18:35:37.206,2024-10-31 18:35:37.211,5.0,received
34,2024-10-31 18:35:37.236,2024-10-31 18:35:37.241,5.0,received
35,2024-10-31 18:35:37.266,2024-10-31 18:35:37.271,5.0,received
36,2024-10-31 18:35:37.296,2024-10-31 18:35:37.301,5.0,received
37,2024-10-31 18:35:37.326,2024-10-31 18:35:37.331,5.0,received
38,2024-10-31 18:35:37.356,2024-10-31 18:35:37.362,6.0,received
39,2024-10-31 18:35:37.386,2024-10-31 18:35:37.392,6.0,received
40,2024-10-31 18:35:37.416,2024-10-31 18:35:37.422,6.0,received
41,2024-10-31 18:35:37.447,2024-10-31 18:35:37.452,5.0,received
42,2024-10-31 18:35:37.477,2024-10-31 18:35:37.482,5.0,received
43,2024-10-31 18:35:37.507,2024-10-31 18:35:37.512,5.0,received
44,2024-10-31 18:35:37.537,2024-10-31 18:35:37.542,5.0,received
45,2024-10-31 18:35:37.567,2024-10-31 18:35:37.572,5.0,received
46,2024-10-31 18:35:37.597,2024-10-31 18:35:37.602,5.0,received
47,2024-10-31 18:35:37.627,2024-10-31 18:35:37.633,6.0,received
48,2024-10-31 18:35:37.658,2024-10-31 18:35:37.663,5.0,received
49,2024-10-31 18:35:37.688,2024-10-31 18:35:37.693,5.0,received
50,2024-10-31 18:35:37.718,2024-10-31 18:35:37.724,6.0,received
51,2024-10-31 18:35:37.733,2024-10-31 18:35:37.738,5.0,received
52,2024-10-31 18:35:37.748,2024-10-31 18:35:37.753,5.0,received
53,2024-10-31 18:35:37.778,2024-10-31 18:35:37.783,5.0,received
54,2024-10-31 18:35:37.808,2024-10-31 18:35:37.813,5.0,received
55,2024-10-31 18:35:37.838,2024-10-31 18:35:37.844,6.0,received
56,2024-10-31 18:35:37.868,2024-10-31 18:35:37.874,6.0,received
57,2024-10-31 18:35:37.899,2024-10-31 18:35:37.904,5.0,received
58,2024-10-31 18:35:37.928,2024-10-31 18:35:37.939,11.0,received
59,2024-10-31 18:35:37.959,2024-10-31 18:35:37.968,9.0,received
60,2024-10-31 18:35:37.989,2024-10-31 18:35:37.998,9.0,received
61,2024-10-31 18:35:38.019,2024-10-31 18:35:38.025,6.0,received
62,2024-10-31 18:35:38.049,2024-10-31 18:35:38.054,5.0,received
63,2024-10-31 18:35:38.079,2024-10-31 18:35:38.084,5.0,received
64,2024-10-31 18:35:38.109,2024-10-31 18:35:38.114,5.0,received
65,2024-10-31 18:35:38.139,2024-10-31 18:35:38.145,6.0,received
66,2024-10-31 18:35:38.169,2024-10-31 18:35:38.175,6.0,received
67,2024-10-31 18:35:38.199,2024-10-31 18:35:38.205,6.0,received
68,2024-10-31 18:35:38.230,2024-10-31 18:35:38.234,4.0,received
69,2024-10-31 18:35:38.260,2024-10-31 18:35:38.264,4.0,received
70,2024-10-31 18:35:38.290,2024-10-31 18:35:38.295,5.0,received
71,2024-10-31 18:35:38.320,2024-10-31 18:35:38.325,5.0,received
72,2024-10-31 18:35:38.350,2024-10-31 18:35:38.355,5.0,received
73,2024-10-31 18:35:38.380,2024-10-31 18:35:38.385,5.0,received
74,2024-10-31 18:35:38.410,2024-10-31 18:35:38.415,5.0,received
75,2024-10-31 18:35:38.441,2024-10-31 18:35:38.445,4.0,received
76,2024-10-31 18:35:38.471,2024-10-31 18:35:38.475,4.0,received
77,2024-10-31 18:35:38.501,2024-10-31 18:35:38.507,6.0,received
78,2024-10-31 18:35:38.531,2024-10-31 18:35:38.536,5.0,received
79,2024-10-31 18:35:38.561,2024-10-31 18:35:38.567,6.0,received
80,2024-10-31 18:35:38.591,2024-10-31 18:35:38.597,6.0,received
81,2024-10-31 18:35:38.621,2024-10-31 18:35:38.627,6.0,received
82,2024-10-31 18:35:38.651,2024-10-31 18:35:38.657,6.0,received
83,2024-10-31 18:35:38.682,2024-10-31 18:35:38.687,5.0,received
84,2024-10-31 18:35:38.712,2024-10-31 18:35:38.717,5.0,received
85,2024-10-31 18:35:38.733,2024-10-31 18:35:38.743,10.0,received
86,2024-10-31 18:35:38.742,2024-10-31 18:35:38.747,5.0,received
87,2024-10-31 18:35:38.772,2024-10-31 18:35:38.777,5.0,received
