seq,timestamp_server,timestamp_robot,latency_ms,status
1,2025-03-20 16:40:52.315,2025-03-20 16:40:52.320,5.0,received
2,2025-03-20 16:40:52.346,2025-03-20 16:40:52.352,6.0,received
3,2025-03-20 16:40:52.376,2025-03-20 16:40:52.382,6.0,received
4,2025-03-20 16:40:52.406,2025-03-20 16:40:52.412,6.0,received
5,2025-03-20 16:40:52.436,2025-03-20 16:40:52.442,6.0,received
6,2025-03-20 16:40:52.466,2025-03-20 16:40:52.472,6.0,received
7,2025-03-20 16:40:52.497,2025-03-20 16:40:52.502,5.0,received
8,2025-03-20 16:40:52.527,2025-03-20 16:40:52.532,5.0,received
9,2025-03-20 16:40:52.557,2025-03-20 16:40:52.562,5.0,received
10,2025-03-20 16:40:52.587,2025-03-20 16:40:52.592,5.0,received
11,2025-03-20 16:40:52.617,2025-03-20 16:40:52.622,5.0,received
12,2025-03-20 16:40:52.648,2025-03-20 16:40:52.653,5.0,received
13,2025-03-20 16:40:52.678,2025-03-20 16:40:52.682,4.0,received
14,2025-03-20 16:40:52.708,2025-03-20 16:40:52.712,4.0,received
15,2025-03-20 16:40:52.738,2025-03-20 16:40:52.742,4.0,received
16,2025-03-20 16:40:52.768,2025-03-20 16:40:52.772,4.0,received
17,2025-03-20 16:40:52.799,2025-03-20 16:40:52.802,3.0,received
18,2025-03-20 16:40:52.829,2025-03-20 16:40:52.834,5.0,received
19,2025-03-20 16:40:52.859,2025-03-20 16:40:52.865,6.0,received
20,2025-03-20 16:40:52.889,2025-03-20 16:40:52.894,5.0,received
21,2025-03-20 16:40:52.919,2025-03-20 16:40:52.924,5.0,received
22,2025-03-20 16:40:52.950,2025-03-20 16:40:52.959,9.0,received
23,2025-03-20 16:40:52.980,2025-03-20 16:40:52.985,5.0,received
24,2025-03-20 16:40:53.010,2025-03-20 16:40:53.014,4.0,received
25,2025-03-20 16:40:53.040,2025-03-20 16:40:53.045,5.0,received
26,2025-03-20 16:40:53.070,2025-03-20 16:40:53.074,4.0,received
27,2025-03-20 16:40:53.101,2025-03-20 16:40:53.107,6.0,received
28,2025-03-20 16:40:53.130,2025-03-20 16:40:53.135,5.0,received
29,2025-03-20 16:40:53.161,2025-03-20 16:40:53.165,4.0,received
30,2025-03-20 16:40:53.191,2025-03-20 16:40:53.197,6.0,received
31,2025-03-20 16:40:53.221,2025-03-20 16:40:53.227,6.0,received
32,2025-03-20 16:40:53.251,2025-03-20 16:40:53.257,6.0,received
33,2025-03-20 16:40:53.281,2025-03-20 16:40:53.287,6.0,received
34,2025-03-20 16:40:53.312,2025-03-20 16:40:53.318,6.0,received
35,2025-03-20 16:40:53.342,2025-03-20 16:40:53.347,5.0,received
36,2025-03-20 16:40:53.372,2025-03-20 16:40:53.377,5.0,received
37,2025-03-20 16:40:53.402,2025-03-20 16:40:53.407,5.0,received
38,2025-03-20 16:40:53.432,2025-03-20 16:40:53.437,5.0,received
39,2025-03-20 16:40:53.463,2025-03-20 16:40:53.468,5.0,received
40,2025-03-20 16:40:53.493,2025-03-20 16:40:53.498,5.0,received
41,2025-03-20 16:40:53.523,2025-03-20 16:40:53.528,5.0,received
42,2025-03-20 16:40:53.553,2025-03-20 16:40:53.558,5.0,received
43,2025-03-20 16:40:53.583,2025-03-20 16:40:53.587,4.0,received
44,2025-03-20 16:40:53.614,2025-03-20 16:40:53.619,5.0,received
45,2025-03-20 16:40:53.644,2025-03-20 16:40:53.649,5.0,received
46,2025-03-20 16:40:53.674,2025-03-20 16:40:53.679,5.0,received
47,2025-03-20 16:40:53.704,2025-03-20 16:40:53.715,11.0,received
48,2025-03-20 16:40:53.735,2025-03-20 16:40:53.740,5.0,received
49,2025-03-20 16:40:53.765,2025-03-20 16:40:53.771,6.0,received
50,2025-03-20 16:40:53.795,2025-03-20 16:40:53.800,5.0,received
51,2025-03-20 16:40:53.825,2025-03-20 16:40:53.830,5.0,received
52,2025-03-20 16:40:53.855,2025-03-20 16:40:53.860,5.0,received
53,2025-03-20 16:40:53.885,2025-03-20 16:40:53.890,5.0,received
54,2025-03-20 16:40:53.915,2025-03-20 16:40:53.919,4.0,received
55,2025-03-20 16:40:53.946,2025-03-20 16:40:53.952,6.0,received
56,2025-03-20 16:40:53.975,2025-03-20 16:40:53.980,5.0,received
57,2025-03-20 16:40:54.006,2025-03-20 16:40:54.012,6.0,received
58,2025-03-20 16:40:54.036,2025-03-20 16:40:54.042,6.0,received
59,2025-03-20 16:40:54.066,2025-03-20 16:40:54.072,6.0,received
60,2025-03-20 16:40:54.096,2025-03-20 16:40:54.102,6.0,received
61,2025-03-20 16:40:54.126,2025-03-20 16:40:54.132,6.0,received
62,2025-03-20 16:40:54.157,2025-03-20 16:40:54.163,6.0,received
63,2025-03-20 16:40:54.187,2025-03-20 16:40:54.193,6.0,received
64,2025-03-20 16:40:54.217,2025-03-20 16:40:54.223,6.0,received
65,2025-03-20 16:40:54.248,2025-03-20 16:40:54.253,5.0,received
66,2025-03-20 16:40:54.278,2025-03-20 16:40:54.283,5.0,received
67,2025-03-20 16:40:54.308,2025-03-20 16:40:54.312,4.0,received
68,2025-03-20 16:40:54.338,2025-03-20 16:40:54.343,5.0,received
69,2025-03-20 16:40:54.369,2025-03-20 16:40:54.373,4.0,received
70,2025-03-20 16:40:54.399,2025-03-20 16:40:54.404,5.0,received
71,2025-03-20 16:40:54.429,2025-03-20 16:40:54.434,5.0,received
72,2025-03-20 16:40:54.459,2025-03-20 16:40:54.464,5.0,received
73,2025-03-20 16:40:54.490,2025-03-20 16:40:54.494,4.0,received
74,2025-03-20 16:40:54.519,2025-03-20 16:40:54.524,5.0,received
75,2025-03-20 16:40:54.550,2025-03-20 16:40:54.554,4.0,received
76,2025-03-20 16:40:54.580,2025-03-20 16:40:54.584,4.0,received
77,2025-03-20 16:40:54.610,2025-03-20 16:40:54.614,4.0,received
78,2025-03-20 16:40:54.640,2025-03-20 16:40:54.645,5.0,received
79,2025-03-20 16:40:54.670,2025-03-20 16:40:54.675,5.0,received
80,2025-03-20 16:40:54.701,2025-03-20 16:40:54.705,4.0,received
81,2025-03-20 16:40:54.731,2025-03-20 16:40:54.737,6.0,received
82,2025-03-20 16:40:54.760,2025-03-20 16:40:54.765,5.0,received
83,2025-03-20 16:40:54.791,2025-03-20 16:40:54.797,6.0,received
84,2025-03-20 16:40:54.821,2025-03-20 16:40:54.826,5.0,received
85,2025-03-20 16:40:54.852,2025-03-20 16:40:54.857,5.0,received
86,2025-03-20 16:40:54.881,2025-03-20 16:40:54.886,5.0,received
87,2025-03-20 16:40:54.911,2025-03-20 16:40:54.916,5.0,received
88,2025-03-20 16:40:54.942,2025-03-20 16:40:54.947,5.0,received
89,2025-03-20 16:40:54.972,2025-03-20 16:40:54.976,4.0,received
90,2025-03-20 16:40:55.002,2025-03-20 16:40:55.007,5.0,received
91,2025-03-20 16:40:55.032,2025-03-20 16:40:55.036,4.0,received
92,2025-03-20 16:40:55.062,2025-03-20 16:40:55.067,5.0,received
93,2025-03-20 16:40:55.093,2025-03-20 16:40:55.098,5.0,received
94,2025-03-20 16:40:55.123,2025-03-20 16:40:55.128,5.0,received
95,2025-03-20 16:40:55.153,2025-03-20 16:40:55.158,5.0,received
96,2025-03-20 16:40:55.183,2025-03-20 16:40:55.188,5.0,received
97,2025-03-20 16:40:55.214,2025-03-20 16:40:55.218,4.0,received
98,2025-03-20 16:40:55.244,2025-03-20 16:40:55.248,4.0,received
99,2025-03-20 16:40:55.274,2025-03-20 16:40:55.279,5.0,received
100,2025-03-20 16:40:55.304,2025-03-20 16:40:55.309,5.0,received
101,2025-03-20 16:40:55.334,2025-03-20 16:40:55.339,5.0,received
102,2025-03-20 16:40:55.364,2025-03-20 16:40:55.370,6.0,received
103,2025-03-20 16:40:55.394,2025-03-20 16:40:55.399,5.0,received
104,2025-03-20 16:40:55.424,2025-03-20 16:40:55.429,5.0,received
105,2025-03-20 16:40:55.454,2025-03-20 16:40:55.459,5.0,received
106,2025-03-20 16:40:55.484,2025-03-20 16:40:55.489,5.0,received
107,2025-03-20 16:40:55.515,2025-03-20 16:40:55.520,5.0,received
108,2025-03-20 16:40:55.545,2025-03-20 16:40:55.549,4.0,received
