seq,timestamp_server,timestamp_robot,latency_ms,status
1,2025-06-10 20:07:11.358,2025-06-10 20:07:11.372,14.0,received
2,2025-06-10 20:07:11.394,2025-06-10 20:07:11.399,5.0,received
3,2025-06-10 20:07:11.420,2025-06-10 20:07:11.425,5.0,received
4,2025-06-10 20:07:11.450,2025-06-10 20:07:11.456,6.0,received
5,2025-06-10 20:07:11.481,2025-06-10 20:07:11.485,4.0,received
6,2025-06-10 20:07:11.512,2025-06-10 20:07:11.517,5.0,received
7,2025-06-10 20:07:11.542,2025-06-10 20:07:11.549,7.0,received
8,2025-06-10 20:07:11.573,2025-06-10 20:07:11.577,4.0,received
9,2025-06-10 20:07:11.603,2025-06-10 20:07:11.608,5.0,received
10,2025-06-10 20:07:11.633,2025-06-10 20:07:11.638,5.0,received
11,2025-06-10 20:07:11.662,2025-06-10 20:07:11.668,6.0,received
12,2025-06-10 20:07:11.693,2025-06-10 20:07:11.699,6.0,received
13,2025-06-10 20:07:11.724,2025-06-10 20:07:11.731,7.0,received
14,2025-06-10 20:07:11.757,2025-06-10 20:07:11.765,8.0,received
15,2025-06-10 20:07:11.787,2025-06-10 20:07:11.792,5.0,received
16,2025-06-10 20:07:11.818,2025-06-10 20:07:11.824,6.0,received
17,2025-06-10 20:07:11.848,2025-06-10 20:07:11.855,7.0,received
18,2025-06-10 20:07:11.879,2025-06-10 20:07:11.885,6.0,received
19,2025-06-10 20:07:11.908,2025-06-10 20:07:11.915,7.0,received
20,2025-06-10 20:07:11.939,2025-06-10 20:07:11.945,6.0,received
21,2025-06-10 20:07:11.969,2025-06-10 20:07:11.975,6.0,received
22,2025-06-10 20:07:12.000,2025-06-10 20:07:12.007,7.0,received
23,2025-06-10 20:07:12.030,2025-06-10 20:07:12.036,6.0,received
24,2025-06-10 20:07:12.060,2025-06-10 20:07:12.066,6.0,received
25,2025-06-10 20:07:12.090,2025-06-10 20:07:12.095,5.0,received
26,2025-06-10 20:07:12.120,2025-06-10 20:07:12.127,7.0,received
27,2025-06-10 20:07:12.151,2025-06-10 20:07:12.156,5.0,received
28,2025-06-10 20:07:12.181,2025-06-10 20:07:12.187,6.0,received
29,2025-06-10 20:07:12.211,2025-06-10 20:07:12.216,5.0,received
30,2025-06-10 20:07:12.241,2025-06-10 20:07:12.247,6.0,received
31,2025-06-10 20:07:12.271,2025-06-10 20:07:12.277,6.0,received
32,2025-06-10 20:07:12.301,2025-06-10 20:07:12.307,6.0,received
33,2025-06-10 20:07:12.332,2025-06-10 20:07:12.337,5.0,received
34,2025-06-10 20:07:12.363,2025-06-10 20:07:12.369,6.0,received
35,2025-06-10 20:07:12.393,2025-06-10 20:07:12.398,5.0,received
36,2025-06-10 20:07:12.423,2025-06-10 20:07:12.429,6.0,received
37,2025-06-10 20:07:12.453,2025-06-10 20:07:12.459,6.0,received
38,2025-06-10 20:07:12.483,2025-06-10 20:07:12.489,6.0,received
39,2025-06-10 20:07:12.513,2025-06-10 20:07:12.518,5.0,received
40,2025-06-10 20:07:12.544,2025-06-10 20:07:12.549,5.0,received
41,2025-06-10 20:07:12.574,2025-06-10 20:07:12.579,5.0,received
42,2025-06-10 20:07:12.604,2025-06-10 20:07:12.610,6.0,received
43,2025-06-10 20:07:12.634,2025-06-10 20:07:12.641,7.0,received
44,2025-06-10 20:07:12.665,2025-06-10 20:07:12.670,5.0,received
45,2025-06-10 20:07:12.695,2025-06-10 20:07:12.700,5.0,received
46,2025-06-10 20:07:12.726,2025-06-10 20:07:12.732,6.0,received
47,2025-06-10 20:07:12.756,2025-06-10 20:07:12.762,6.0,received
48,2025-06-10 20:07:12.786,2025-06-10 20:07:12.792,6.0,received
49,2025-06-10 20:07:12.817,2025-06-10 20:07:12.822,5.0,received
50,2025-06-10 20:07:12.847,2025-06-10 20:07:12.852,5.0,received
51,2025-06-10 20:07:12.876,2025-06-10 20:07:12.883,7.0,received
52,2025-06-10 20:07:12.907,2025-06-10 20:07:12.912,5.0,received
53,2025-06-10 20:07:12.937,2025-06-10 20:07:12.943,6.0,received
54,2025-06-10 20:07:12.967,2025-06-10 20:07:12.973,6.0,received
55,2025-06-10 20:07:12.998,2025-06-10 20:07:13.002,4.0,received
56,2025-06-10 20:07:13.028,2025-06-10 20:07:13.034,6.0,received
57,2025-06-10 20:07:13.058,2025-06-10 20:07:13.064,6.0,received
58,2025-06-10 20:07:13.089,2025-06-10 20:07:13.095,6.0,received
59,2025-06-10 20:07:13.119,2025-06-10 20:07:13.124,5.0,received
60,2025-06-10 20:07:13.149,2025-06-10 20:07:13.155,6.0,received
61,2025-06-10 20:07:13.179,2025-06-10 20:07:13.185,6.0,received
62,2025-06-10 20:07:13.210,2025-06-10 20:07:13.215,5.0,received
63,2025-06-10 20:07:13.240,2025-06-10 20:07:13.246,6.0,received
64,2025-06-10 20:07:13.271,2025-06-10 20:07:13.277,6.0,received
65,2025-06-10 20:07:13.302,2025-06-10 20:07:13.306,4.0,received
66,2025-06-10 20:07:13.331,2025-06-10 20:07:13.336,5.0,received
67,2025-06-10 20:07:13.361,2025-06-10 20:07:13.367,6.0,received
68,2025-06-10 20:07:13.392,2025-06-10 20:07:13.398,6.0,received
69,2025-06-10 20:07:13.422,2025-06-10 20:07:13.427,5.0,received
70,2025-06-10 20:07:13.452,2025-06-10 20:07:13.457,5.0,received
71,2025-06-10 20:07:13.483,2025-06-10 20:07:13.488,5.0,received
72,2025-06-10 20:07:13.512,2025-06-10 20:07:13.518,6.0,received
73,2025-06-10 20:07:13.543,2025-06-10 20:07:13.549,6.0,received
74,2025-06-10 20:07:13.573,2025-06-10 20:07:13.579,6.0,received
75,2025-06-10 20:07:13.604,2025-06-10 20:07:13.610,6.0,received
76,2025-06-10 20:07:13.634,2025-06-10 20:07:13.640,6.0,received
77,2025-06-10 20:07:13.664,2025-06-10 20:07:13.670,6.0,received
78,2025-06-10 20:07:13.694,2025-06-10 20:07:13.700,6.0,received
79,2025-06-10 20:07:13.724,2025-06-10 20:07:13.729,5.0,received
80,2025-06-10 20:07:13.755,2025-06-10 20:07:13.760,5.0,received
81,2025-06-10 20:07:13.785,2025-06-10 20:07:13.790,5.0,received
82,2025-06-10 20:07:13.816,2025-06-10 20:07:13.822,6.0,received
83,2025-06-10 20:07:13.846,2025-06-10 20:07:13.851,5.0,received
84,2025-06-10 20:07:13.876,2025-06-10 20:07:13.881,5.0,received
85,2025-06-10 20:07:13.906,2025-06-10 20:07:13.911,5.0,received
86,2025-06-10 20:07:13.936,2025-06-10 20:07:13.941,5.0,received
87,2025-06-10 20:07:13.966,2025-06-10 20:07:13.971,5.0,received
88,2025-06-10 20:07:13.997,2025-06-10 20:07:14.003,6.0,received
89,2025-06-10 20:07:14.027,2025-06-10 20:07:14.032,5.0,received
90,2025-06-10 20:07:14.057,2025-06-10 20:07:14.062,5.0,received
91,2025-06-10 20:07:14.087,2025-06-10 20:07:14.092,5.0,received
92,2025-06-10 20:07:14.117,2025-06-10 20:07:14.123,6.0,received
93,2025-06-10 20:07:14.149,2025-06-10 20:07:14.154,5.0,received
94,2025-06-10 20:07:14.179,2025-06-10 20:07:14.184,5.0,received
95,2025-06-10 20:07:14.208,2025-06-10 20:07:14.212,4.0,received
96,2025-06-10 20:07:14.239,2025-06-10 20:07:14.245,6.0,received
97,2025-06-10 20:07:14.270,2025-06-10 20:07:14.275,5.0,received
98,2025-06-10 20:07:14.299,2025-06-10 20:07:14.305,6.0,received
99,2025-06-10 20:07:14.330,2025-06-10 20:07:14.335,5.0,received
100,2025-06-10 20:07:14.359,2025-06-10 20:07:14.364,5.0,received
101,2025-06-10 20:07:14.391,2025-06-10 20:07:14.396,5.0,received
102,2025-06-10 20:07:14.420,2025-06-10 20:07:14.425,5.0,received
103,2025-06-10 20:07:14.451,2025-06-10 20:07:14.457,6.0,received
104,2025-06-10 20:07:14.481,2025-06-10 20:07:14.486,5.0,received
105,2025-06-10 20:07:14.511,2025-06-10 20:07:14.517,6.0,received
106,2025-06-10 20:07:14.542,2025-06-10 20:07:14.547,5.0,received
107,2025-06-10 20:07:14.572,2025-06-10 20:07:14.577,5.0,received
108,2025-06-10 20:07:14.602,2025-06-10 20:07:14.608,6.0,received
109,2025-06-10 20:07:14.632,2025-06-10 20:07:14.638,6.0,received
110,2025-06-10 20:07:14.663,2025-06-10 20:07:14.667,4.0,received
111,2025-06-10 20:07:14.693,2025-06-10 20:07:14.699,6.0,received
112,2025-06-10 20:07:14.723,2025-06-10 20:07:14.728,5.0,received
113,2025-06-10 20:07:14.754,2025-06-10 20:07:14.759,5.0,received
114,2025-06-10 20:07:14.784,2025-06-10 20:07:14.789,5.0,received
115,2025-06-10 20:07:14.814,2025-06-10 20:07:14.819,5.0,received
116,2025-06-10 20:07:14.845,2025-06-10 20:07:14.851,6.0,received
117,2025-06-10 20:07:14.875,2025-06-10 20:07:14.880,5.0,received
118,2025-06-10 20:07:14.906,2025-06-10 20:07:14.912,6.0,received
119,2025-06-10 20:07:14.936,2025-06-10 20:07:14.941,5.0,received
120,2025-06-10 20:07:14.966,2025-06-10 20:07:14.972,6.0,received
121,2025-06-10 20:07:14.996,2025-06-10 20:07:15.002,6.0,received
122,2025-06-10 20:07:15.027,2025-06-10 20:07:15.032,5.0,received
123,2025-06-10 20:07:15.056,2025-06-10 20:07:15.062,6.0,received
124,2025-06-10 20:07:15.087,2025-06-10 20:07:15.092,5.0,received
125,2025-06-10 20:07:15.118,2025-06-10 20:07:15.122,4.0,received
126,2025-06-10 20:07:15.148,2025-06-10 20:07:15.155,7.0,received
127,2025-06-10 20:07:15.178,2025-06-10 20:07:15.183,5.0,received
