seq,timestamp_server,timestamp_robot,latency_ms,status
1,2024-10-31 12:13:57.759,2024-10-31 12:13:57.764,5.0,received
2,2024-10-31 12:13:57.789,2024-10-31 12:13:57.794,5.0,received
3,2024-10-31 12:13:57.814,2024-10-31 12:13:57.818,4.0,received
4,2024-10-31 12:13:57.819,2024-10-31 12:13:57.824,5.0,received
5,2024-10-31 12:13:57.850,2024-10-31 12:13:57.854,4.0,received
6,2024-10-31 12:13:57.879,2024-10-31 12:13:57.884,5.0,received
7,2024-10-31 12:13:57.909,2024-10-31 12:13:57.914,5.0,received
8,2024-10-31 12:13:57.940,2024-10-31 12:13:57.945,5.0,received
9,2024-10-31 12:13:57.969,2024-10-31 12:13:57.975,6.0,received
10,2024-10-31 12:13:58.000,2024-10-31 12:13:58.005,5.0,received
11,2024-10-31 12:13:58.030,2024-10-31 12:13:58.035,5.0,received
12,2024-10-31 12:13:58.060,2024-10-31 12:13:58.065,5.0,received
13,2024-10-31 12:13:58.090,2024-10-31 12:13:58.095,5.0,received
14,2024-10-31 12:13:58.120,2024-10-31 12:13:58.125,5.0,received
15,2024-10-31 12:13:58.150,2024-10-31 12:13:58.155,5.0,received
16,2024-10-31 12:13:58.180,2024-10-31 12:13:58.185,5.0,received
17,2024-10-31 12:13:58.210,2024-10-31 12:13:58.215,5.0,received
18,2024-10-31 12:13:58.241,2024-10-31 12:13:58.246,5.0,received
19,2024-10-31 12:13:58.271,2024-10-31 12:13:58.275,4.0,received
20,2024-10-31 12:13:58.301,2024-10-31 12:13:58.305,4.0,received
21,2024-10-31 12:13:58.331,2024-10-31 12:13:58.336,5.0,received
22,2024-10-31 12:13:58.361,2024-10-31 12:13:58.366,5.0,received
23,2024-10-31 12:13:58.391,2024-10-31 12:13:58.396,5.0,received
24,2024-10-31 12:13:58.421,2024-10-31 12:13:58.426,5.0,received
25,2024-10-31 12:13:58.451,2024-10-31 12:13:58.457,6.0,received
26,2024-10-31 12:13:58.482,2024-10-31 12:13:58.487,5.0,received
27,2024-10-31 12:13:58.512,2024-10-31 12:13:58.517,5.0,received
28,2024-10-31 12:13:58.542,2024-10-31 12:13:58.547,5.0,received
29,2024-10-31 12:13:58.572,2024-10-31 12:13:58.577,5.0,received
30,2024-10-31 12:13:58.602,2024-10-31 12:13:58.607,5.0,received
31,2024-10-31 12:13:58.632,2024-10-31 12:13:58.637,5.0,received
32,2024-10-31 12:13:58.662,2024-10-31 12:13:58.667,5.0,received
33,2024-10-31 12:13:58.692,2024-10-31 12:13:58.697,5.0,received
34,2024-10-31 12:13:58.723,2024-10-31 12:13:58.728,5.0,received
35,2024-10-31 12:13:58.753,2024-10-31 12:13:58.758,5.0,received
36,2024-10-31 12:13:58.783,2024-10-31 12:13:58.788,5.0,received
37,2024-10-31 12:13:58.813,2024-10-31 12:13:58.818,5.0,received
38,2024-10-31 12:13:58.814,2024-10-31 12:13:58.822,8.0,received
39,2024-10-31 12:13:58.843,2024-10-31 12:13:58.848,5.0,received
40,2024-10-31 12:13:58.873,2024-10-31 12:13:58.878,5.0,received
41,2024-10-31 12:13:58.903,2024-10-31 12:13:58.908,5.0,received
42,2024-10-31 12:13:58.933,2024-10-31 12:13:58.939,6.0,received
43,2024-10-31 12:13:58.963,2024-10-31 12:13:58.968,5.0,received
44,2024-10-31 12:13:58.994,2024-10-31 12:13:58.999,5.0,received
45,2024-10-31 12:13:59.024,2024-10-31 12:13:59.029,5.0,received
46,2024-10-31 12:13:59.054,2024-10-31 12:13:59.059,5.0,received
47,2024-10-31 12:13:59.084,2024-10-31 12:13:59.089,5.0,received
48,2024-10-31 12:13:59.114,2024-10-31 12:13:59.119,5.0,received
49,2024-10-31 12:13:59.144,2024-10-31 12:13:59.149,5.0,received
50,2024-10-31 12:13:59.174,2024-10-31 12:13:59.179,5.0,received
51,2024-10-31 12:13:59.204,2024-10-31 12:13:59.209,5.0,received
52,2024-10-31 12:13:59.234,2024-10-31 12:13:59.239,5.0,received
53,2024-10-31 12:13:59.265,2024-10-31 12:13:59.270,5.0,received
54,2024-10-31 12:13:59.295,2024-10-31 12:13:59.300,5.0,received
55,2024-10-31 12:13:59.325,2024-10-31 12:13:59.330,5.0,received
56,2024-10-31 12:13:59.355,2024-10-31 12:13:59.360,5.0,received
57,2024-10-31 12:13:59.385,2024-10-31 12:13:59.390,5.0,received
58,2024-10-31 12:13:59.415,2024-10-31 12:13:59.420,5.0,received
59,2024-10-31 12:13:59.445,2024-10-31 12:13:59.450,5.0,received
60,2024-10-31 12:13:59.475,2024-10-31 12:13:59.480,5.0,received
61,2024-10-31 12:13:59.505,2024-10-31 12:13:59.511,6.0,received
62,2024-10-31 12:13:59.536,2024-10-31 12:13:59.541,5.0,received
63,2024-10-31 12:13:59.566,2024-10-31 12:13:59.571,5.0,received
64,2024-10-31 12:13:59.596,2024-10-31 12:13:59.601,5.0,received
65,2024-10-31 12:13:59.626,2024-10-31 12:13:59.631,5.0,received
66,2024-10-31 12:13:59.656,2024-10-31 12:13:59.661,5.0,received
67,2024-10-31 12:13:59.686,2024-10-31 12:13:59.691,5.0,received
68,2024-10-31 12:13:59.716,2024-10-31 12:13:59.722,6.0,received
69,2024-10-31 12:13:59.747,2024-10-31 12:13:59.752,5.0,received
70,2024-10-31 12:13:59.777,2024-10-31 12:13:59.782,5.0,received
71,2024-10-31 12:13:59.807,2024-10-31 12:13:59.812,5.0,received
72,2024-10-31 12:13:59.814,2024-10-31 12:13:59.822,8.0,received
73,2024-10-31 12:13:59.837,2024-10-31 12:13:59.842,5.0,received
74,2024-10-31 12:13:59.867,2024-10-31 12:13:59.872,5.0,received
75,2024-10-31 12:13:59.897,2024-10-31 12:13:59.902,5.0,received
76,2024-10-31 12:13:59.927,2024-10-31 12:13:59.932,5.0,received
77,2024-10-31 12:13:59.957,2024-10-31 12:13:59.962,5.0,received
78,2024-10-31 12:13:59.987,2024-10-31 12:13:59.992,5.0,received
79,2024-10-31 12:14:00.018,2024-10-31 12:14:00.023,5.0,received
80,2024-10-31 12:14:00.048,2024-10-31 12:14:00.053,5.0,received
81,2024-10-31 12:14:00.078,2024-10-31 12:14:00.083,5.0,received
82,2024-10-31 12:14:00.108,2024-10-31 12:14:00.113,5.0,received
83,2024-10-31 12:14:00.138,2024-10-31 12:14:00.143,5.0,received
84,2024-10-31 12:14:00.168,2024-10-31 12:14:00.173,5.0,received
85,2024-10-31 12:14:00.198,2024-10-31 12:14:00.203,5.0,received
86,2024-10-31 12:14:00.228,2024-10-31 12:14:00.233,5.0,received
87,2024-10-31 12:14:00.258,2024-10-31 12:14:00.263,5.0,received
88,2024-10-31 12:14:00.289,2024-10-31 12:14:00.294,5.0,received
89,2024-10-31 12:14:00.319,2024-10-31 12:14:00.325,6.0,received
90,2024-10-31 12:14:00.350,2024-10-31 12:14:00.355,5.0,received
91,2024-10-31 12:14:00.380,2024-10-31 12:14:00.385,5.0,received
92,2024-10-31 12:14:00.410,2024-10-31 12:14:00.415,5.0,received
93,2024-10-31 12:14:00.440,2024-10-31 12:14:00.445,5.0,received
