seq,timestamp_server,timestamp_robot,latency_ms,status
1,2024-11-07 23:38:16.711,2024-11-07 23:38:16.720,9.0,received
2,2024-11-07 23:38:16.738,2024-11-07 23:38:16.744,6.0,received
3,2024-11-07 23:38:16.768,2024-11-07 23:38:16.774,6.0,received
4,2024-11-07 23:38:16.798,2024-11-07 23:38:16.804,6.0,received
5,2024-11-07 23:38:16.829,2024-11-07 23:38:16.836,7.0,received
6,2024-11-07 23:38:16.859,2024-11-07 23:38:16.866,7.0,received
7,2024-11-07 23:38:16.889,2024-11-07 23:38:16.896,7.0,received
8,2024-11-07 23:38:16.919,2024-11-07 23:38:16.926,7.0,received
9,2024-11-07 23:38:16.949,2024-11-07 23:38:16.956,7.0,received
10,2024-11-07 23:38:16.979,2024-11-07 23:38:16.986,7.0,received
11,2024-11-07 23:38:17.010,2024-11-07 23:38:17.016,6.0,received
12,2024-11-07 23:38:17.039,2024-11-07 23:38:17.050,11.0,received
13,2024-11-07 23:38:17.069,2024-11-07 23:38:17.078,9.0,received
14,2024-11-07 23:38:17.100,2024-11-07 23:38:17.109,9.0,received
15,2024-11-07 23:38:17.130,2024-11-07 23:38:17.138,8.0,received
16,2024-11-07 23:38:17.160,2024-11-07 23:38:17.167,7.0,received
17,2024-11-07 23:38:17.190,2024-11-07 23:38:17.199,9.0,received
18,2024-11-07 23:38:17.220,2024-11-07 23:38:17.228,8.0,received
19,2024-11-07 23:38:17.250,2024-11-07 23:38:17.258,8.0,received
20,2024-11-07 23:38:17.280,2024-11-07 23:38:17.288,8.0,received
21,2024-11-07 23:38:17.310,2024-11-07 23:38:17.320,10.0,received
22,2024-11-07 23:38:17.341,2024-11-07 23:38:17.349,8.0,received
23,2024-11-07 23:38:17.371,2024-11-07 23:38:17.380,9.0,received
24,2024-11-07 23:38:17.401,2024-11-07 23:38:17.410,9.0,received
25,2024-11-07 23:38:17.431,2024-11-07 23:38:17.440,9.0,received
26,2024-11-07 23:38:17.461,2024-11-07 23:38:17.470,9.0,received
27,2024-11-07 23:38:17.491,2024-11-07 23:38:17.502,11.0,received
28,2024-11-07 23:38:17.521,2024-11-07 23:38:17.528,7.0,received
29,2024-11-07 23:38:17.552,2024-11-07 23:38:17.560,8.0,received
30,2024-11-07 23:38:17.582,2024-11-07 23:38:17.589,7.0,received
31,2024-11-07 23:38:17.612,2024-11-07 23:38:17.619,7.0,received
32,2024-11-07 23:38:17.642,2024-11-07 23:38:17.649,7.0,received
33,2024-11-07 23:38:17.672,2024-11-07 23:38:17.677,5.0,received
34,2024-11-07 23:38:17.702,2024-11-07 23:38:17.710,8.0,received
35,2024-11-07 23:38:17.732,2024-11-07 23:38:17.739,7.0,received
36,2024-11-07 23:38:17.762,2024-11-07 23:38:17.772,10.0,received
37,2024-11-07 23:38:17.792,2024-11-07 23:38:17.802,10.0,received
38,2024-11-07 23:38:17.822,2024-11-07 23:38:17.830,8.0,received
39,2024-11-07 23:38:17.853,2024-11-07 23:38:17.860,7.0,received
40,2024-11-07 23:38:17.883,2024-11-07 23:38:17.889,6.0,received
41,2024-11-07 23:38:17.913,2024-11-07 23:38:17.919,6.0,received
42,2024-11-07 23:38:17.944,2024-11-07 23:38:17.953,9.0,received
43,2024-11-07 23:38:17.973,2024-11-07 23:38:17.983,10.0,received
44,2024-11-07 23:38:18.004,2024-11-07 23:38:18.013,9.0,received
45,2024-11-07 23:38:18.034,2024-11-07 23:38:18.042,8.0,received
46,2024-11-07 23:38:18.064,2024-11-07 23:38:18.072,8.0,received
47,2024-11-07 23:38:18.094,2024-11-07 23:38:18.102,8.0,received
48,2024-11-07 23:38:18.124,2024-11-07 23:38:18.132,8.0,received
49,2024-11-07 23:38:18.155,2024-11-07 23:38:18.161,6.0,received
50,2024-11-07 23:38:18.185,2024-11-07 23:38:18.190,5.0,received
51,2024-11-07 23:38:18.215,2024-11-07 23:38:18.223,8.0,received
52,2024-11-07 23:38:18.245,2024-11-07 23:38:18.252,7.0,received
53,2024-11-07 23:38:18.275,2024-11-07 23:38:18.283,8.0,received
54,2024-11-07 23:38:18.305,2024-11-07 23:38:18.315,10.0,received
