seq,timestamp_server,timestamp_robot,latency_ms,status
1,2024-10-31 14:04:07.449,2024-10-31 14:04:07.454,5.0,received
2,2024-10-31 14:04:07.479,2024-10-31 14:04:07.484,5.0,received
3,2024-10-31 14:04:07.508,2024-10-31 14:04:07.514,6.0,received
4,2024-10-31 14:04:07.539,2024-10-31 14:04:07.544,5.0,received
5,2024-10-31 14:04:07.569,2024-10-31 14:04:07.574,5.0,received
6,2024-10-31 14:04:07.599,2024-10-31 14:04:07.604,5.0,received
7,2024-10-31 14:04:07.629,2024-10-31 14:04:07.634,5.0,received
8,2024-10-31 14:04:07.659,2024-10-31 14:04:07.664,5.0,received
9,2024-10-31 14:04:07.689,2024-10-31 14:04:07.694,5.0,received
10,2024-10-31 14:04:07.719,2024-10-31 14:04:07.724,5.0,received
11,2024-10-31 14:04:07.749,2024-10-31 14:04:07.754,5.0,received
12,2024-10-31 14:04:07.779,2024-10-31 14:04:07.784,5.0,received
13,2024-10-31 14:04:07.810,2024-10-31 14:04:07.814,4.0,received
14,2024-10-31 14:04:07.840,2024-10-31 14:04:07.844,4.0,received
15,2024-10-31 14:04:07.870,2024-10-31 14:04:07.874,4.0,received
16,2024-10-31 14:04:07.900,2024-10-31 14:04:07.904,4.0,received
17,2024-10-31 14:04:07.925,2024-10-31 14:04:07.929,4.0,received
18,2024-10-31 14:04:07.930,2024-10-31 14:04:07.939,9.0,received
19,2024-10-31 14:04:07.960,2024-10-31 14:04:07.964,4.0,received
20,2024-10-31 14:04:07.990,2024-10-31 14:04:07.995,5.0,received
21,2024-10-31 14:04:08.021,2024-10-31 14:04:08.026,5.0,received
22,2024-10-31 14:04:08.050,2024-10-31 14:04:08.055,5.0,received
23,2024-10-31 14:04:08.080,2024-10-31 14:04:08.085,5.0,received
24,2024-10-31 14:04:08.110,2024-10-31 14:04:08.115,5.0,received
25,2024-10-31 14:04:08.141,2024-10-31 14:04:08.145,4.0,received
26,2024-10-31 14:04:08.171,2024-10-31 14:04:08.176,5.0,received
27,2024-10-31 14:04:08.201,2024-10-31 14:04:08.205,4.0,received
28,2024-10-31 14:04:08.231,2024-10-31 14:04:08.236,5.0,received
29,2024-10-31 14:04:08.261,2024-10-31 14:04:08.265,4.0,received
30,2024-10-31 14:04:08.291,2024-10-31 14:04:08.295,4.0,received
31,2024-10-31 14:04:08.321,2024-10-31 14:04:08.326,5.0,received
32,2024-10-31 14:04:08.351,2024-10-31 14:04:08.355,4.0,received
