seq,timestamp_server,timestamp_robot,latency_ms,status
1,2025-03-20 20:56:23.563,2025-03-20 20:56:23.568,5.0,received
2,2025-03-20 20:56:23.594,2025-03-20 20:56:23.599,5.0,received
3,2025-03-20 20:56:23.623,2025-03-20 20:56:23.628,5.0,received
4,2025-03-20 20:56:23.654,2025-03-20 20:56:23.659,5.0,received
5,2025-03-20 20:56:23.684,2025-03-20 20:56:23.689,5.0,received
6,2025-03-20 20:56:23.714,2025-03-20 20:56:23.718,4.0,received
7,2025-03-20 20:56:23.744,2025-03-20 20:56:23.748,4.0,received
8,2025-03-20 20:56:23.774,2025-03-20 20:56:23.778,4.0,received
9,2025-03-20 20:56:23.804,2025-03-20 20:56:23.809,5.0,received
10,2025-03-20 20:56:23.835,2025-03-20 20:56:23.840,5.0,received
11,2025-03-20 20:56:23.865,2025-03-20 20:56:23.870,5.0,received
12,2025-03-20 20:56:23.894,2025-03-20 20:56:23.900,6.0,received
13,2025-03-20 20:56:23.925,2025-03-20 20:56:23.930,5.0,received
14,2025-03-20 20:56:23.955,2025-03-20 20:56:23.960,5.0,received
15,2025-03-20 20:56:23.985,2025-03-20 20:56:23.990,5.0,received
16,2025-03-20 20:56:24.015,2025-03-20 20:56:24.020,5.0,received
17,2025-03-20 20:56:24.046,2025-03-20 20:56:24.052,6.0,received
18,2025-03-20 20:56:24.076,2025-03-20 20:56:24.083,7.0,received
19,2025-03-20 20:56:24.106,2025-03-20 20:56:24.112,6.0,received
20,2025-03-20 20:56:24.136,2025-03-20 20:56:24.142,6.0,received
21,2025-03-20 20:56:24.166,2025-03-20 20:56:24.172,6.0,received
22,2025-03-20 20:56:24.196,2025-03-20 20:56:24.202,6.0,received
23,2025-03-20 20:56:24.227,2025-03-20 20:56:24.233,6.0,received
24,2025-03-20 20:56:24.256,2025-03-20 20:56:24.262,6.0,received
25,2025-03-20 20:56:24.287,2025-03-20 20:56:24.294,7.0,received
26,2025-03-20 20:56:24.317,2025-03-20 20:56:24.323,6.0,received
27,2025-03-20 20:56:24.347,2025-03-20 20:56:24.352,5.0,received
28,2025-03-20 20:56:24.377,2025-03-20 20:56:24.383,6.0,received
29,2025-03-20 20:56:24.407,2025-03-20 20:56:24.412,5.0,received
30,2025-03-20 20:56:24.437,2025-03-20 20:56:24.443,6.0,received
31,2025-03-20 20:56:24.468,2025-03-20 20:56:24.473,5.0,received
32,2025-03-20 20:56:24.498,2025-03-20 20:56:24.503,5.0,received
33,2025-03-20 20:56:24.528,2025-03-20 20:56:24.533,5.0,received
34,2025-03-20 20:56:24.558,2025-03-20 20:56:24.563,5.0,received
35,2025-03-20 20:56:24.588,2025-03-20 20:56:24.593,5.0,received
36,2025-03-20 20:56:24.618,2025-03-20 20:56:24.624,6.0,received
37,2025-03-20 20:56:24.649,2025-03-20 20:56:24.654,5.0,received
38,2025-03-20 20:56:24.679,2025-03-20 20:56:24.684,5.0,received
39,2025-03-20 20:56:24.709,2025-03-20 20:56:24.714,5.0,received
