seq,timestamp_server,timestamp_robot,latency_ms,status
1,2025-06-11 19:29:59.408,2025-06-11 19:29:59.415,7.0,received
2,2025-06-11 19:29:59.448,2025-06-11 19:29:59.453,5.0,received
3,2025-06-11 19:29:59.474,2025-06-11 19:29:59.479,5.0,received
4,2025-06-11 19:29:59.501,2025-06-11 19:29:59.506,5.0,received
5,2025-06-11 19:29:59.532,2025-06-11 19:29:59.537,5.0,received
6,2025-06-11 19:29:59.562,2025-06-11 19:29:59.568,6.0,received
7,2025-06-11 19:29:59.592,2025-06-11 19:29:59.598,6.0,received
8,2025-06-11 19:29:59.622,2025-06-11 19:29:59.628,6.0,received
9,2025-06-11 19:29:59.652,2025-06-11 19:29:59.657,5.0,received
10,2025-06-11 19:29:59.682,2025-06-11 19:29:59.688,6.0,received
11,2025-06-11 19:29:59.714,2025-06-11 19:29:59.720,6.0,received
12,2025-06-11 19:29:59.743,2025-06-11 19:29:59.749,6.0,received
13,2025-06-11 19:29:59.773,2025-06-11 19:29:59.779,6.0,received
14,2025-06-11 19:29:59.803,2025-06-11 19:29:59.809,6.0,received
15,2025-06-11 19:29:59.833,2025-06-11 19:29:59.839,6.0,received
16,2025-06-11 19:29:59.864,2025-06-11 19:29:59.870,6.0,received
17,2025-06-11 19:29:59.895,2025-06-11 19:29:59.901,6.0,received
18,2025-06-11 19:29:59.925,2025-06-11 19:29:59.931,6.0,received
19,2025-06-11 19:29:59.954,2025-06-11 19:29:59.960,6.0,received
20,2025-06-11 19:29:59.985,2025-06-11 19:29:59.991,6.0,received
21,2025-06-11 19:30:00.015,2025-06-11 19:30:00.021,6.0,received
22,2025-06-11 19:30:00.045,2025-06-11 19:30:00.051,6.0,received
23,2025-06-11 19:30:00.075,2025-06-11 19:30:00.080,5.0,received
24,2025-06-11 19:30:00.105,2025-06-11 19:30:00.111,6.0,received
25,2025-06-11 19:30:00.136,2025-06-11 19:30:00.142,6.0,received
26,2025-06-11 19:30:00.167,2025-06-11 19:30:00.175,8.0,received
27,2025-06-11 19:30:00.197,2025-06-11 19:30:00.203,6.0,received
28,2025-06-11 19:30:00.227,2025-06-11 19:30:00.233,6.0,received
29,2025-06-11 19:30:00.258,2025-06-11 19:30:00.263,5.0,received
30,2025-06-11 19:30:00.289,2025-06-11 19:30:00.295,6.0,received
31,2025-06-11 19:30:00.319,2025-06-11 19:30:00.325,6.0,received
32,2025-06-11 19:30:00.349,2025-06-11 19:30:00.355,6.0,received
33,2025-06-11 19:30:00.380,2025-06-11 19:30:00.386,6.0,received
34,2025-06-11 19:30:00.410,2025-06-11 19:30:00.418,8.0,received
35,2025-06-11 19:30:00.440,2025-06-11 19:30:00.446,6.0,received
36,2025-06-11 19:30:00.470,2025-06-11 19:30:00.476,6.0,received
37,2025-06-11 19:30:00.501,2025-06-11 19:30:00.506,5.0,received
38,2025-06-11 19:30:00.531,2025-06-11 19:30:00.537,6.0,received
39,2025-06-11 19:30:00.562,2025-06-11 19:30:00.567,5.0,received
40,2025-06-11 19:30:00.594,2025-06-11 19:30:00.600,6.0,received
41,2025-06-11 19:30:00.625,2025-06-11 19:30:00.631,6.0,received
42,2025-06-11 19:30:00.655,2025-06-11 19:30:00.664,9.0,received
43,2025-06-11 19:30:00.685,2025-06-11 19:30:00.691,6.0,received
44,2025-06-11 19:30:00.716,2025-06-11 19:30:00.723,7.0,received
45,2025-06-11 19:30:00.745,2025-06-11 19:30:00.752,7.0,received
46,2025-06-11 19:30:00.776,2025-06-11 19:30:00.782,6.0,received
47,2025-06-11 19:30:00.806,2025-06-11 19:30:00.812,6.0,received
48,2025-06-11 19:30:00.836,2025-06-11 19:30:00.842,6.0,received
49,2025-06-11 19:30:00.867,2025-06-11 19:30:00.873,6.0,received
50,2025-06-11 19:30:00.897,2025-06-11 19:30:00.905,8.0,received
51,2025-06-11 19:30:00.927,2025-06-11 19:30:00.933,6.0,received
52,2025-06-11 19:30:00.958,2025-06-11 19:30:00.965,7.0,received
53,2025-06-11 19:30:00.988,2025-06-11 19:30:00.994,6.0,received
54,2025-06-11 19:30:01.018,2025-06-11 19:30:01.024,6.0,received
55,2025-06-11 19:30:01.048,2025-06-11 19:30:01.054,6.0,received
56,2025-06-11 19:30:01.079,2025-06-11 19:30:01.085,6.0,received
57,2025-06-11 19:30:01.108,2025-06-11 19:30:01.114,6.0,received
58,2025-06-11 19:30:01.139,2025-06-11 19:30:01.145,6.0,received
59,2025-06-11 19:30:01.169,2025-06-11 19:30:01.175,6.0,received
60,2025-06-11 19:30:01.200,2025-06-11 19:30:01.206,6.0,received
61,2025-06-11 19:30:01.230,2025-06-11 19:30:01.236,6.0,received
62,2025-06-11 19:30:01.261,2025-06-11 19:30:01.267,6.0,received
63,2025-06-11 19:30:01.290,2025-06-11 19:30:01.296,6.0,received
64,2025-06-11 19:30:01.321,2025-06-11 19:30:01.327,6.0,received
65,2025-06-11 19:30:01.351,2025-06-11 19:30:01.355,4.0,received
66,2025-06-11 19:30:01.381,2025-06-11 19:30:01.387,6.0,received
67,2025-06-11 19:30:01.411,2025-06-11 19:30:01.417,6.0,received
68,2025-06-11 19:30:01.442,2025-06-11 19:30:01.448,6.0,received
69,2025-06-11 19:30:01.473,2025-06-11 19:30:01.479,6.0,received
70,2025-06-11 19:30:01.503,2025-06-11 19:30:01.509,6.0,received
71,2025-06-11 19:30:01.532,2025-06-11 19:30:01.538,6.0,received
72,2025-06-11 19:30:01.563,2025-06-11 19:30:01.570,7.0,received
73,2025-06-11 19:30:01.593,2025-06-11 19:30:01.599,6.0,received
74,2025-06-11 19:30:01.623,2025-06-11 19:30:01.629,6.0,received
75,2025-06-11 19:30:01.653,2025-06-11 19:30:01.659,6.0,received
76,2025-06-11 19:30:01.684,2025-06-11 19:30:01.690,6.0,received
77,2025-06-11 19:30:01.715,2025-06-11 19:30:01.721,6.0,received
78,2025-06-11 19:30:01.745,2025-06-11 19:30:01.751,6.0,received
79,2025-06-11 19:30:01.775,2025-06-11 19:30:01.780,5.0,received
80,2025-06-11 19:30:01.806,2025-06-11 19:30:01.812,6.0,received
81,2025-06-11 19:30:01.836,2025-06-11 19:30:01.843,7.0,received
82,2025-06-11 19:30:01.866,2025-06-11 19:30:01.872,6.0,received
83,2025-06-11 19:30:01.897,2025-06-11 19:30:01.902,5.0,received
84,2025-06-11 19:30:01.927,2025-06-11 19:30:01.933,6.0,received
85,2025-06-11 19:30:01.957,2025-06-11 19:30:01.963,6.0,received
86,2025-06-11 19:30:01.987,2025-06-11 19:30:01.993,6.0,received
87,2025-06-11 19:30:02.017,2025-06-11 19:30:02.024,7.0,received
88,2025-06-11 19:30:02.047,2025-06-11 19:30:02.054,7.0,received
89,2025-06-11 19:30:02.078,2025-06-11 19:30:02.083,5.0,received
90,2025-06-11 19:30:02.108,2025-06-11 19:30:02.113,5.0,received
91,2025-06-11 19:30:02.138,2025-06-11 19:30:02.143,5.0,received
92,2025-06-11 19:30:02.168,2025-06-11 19:30:02.173,5.0,received
93,2025-06-11 19:30:02.198,2025-06-11 19:30:02.204,6.0,received
94,2025-06-11 19:30:02.228,2025-06-11 19:30:02.234,6.0,received
95,2025-06-11 19:30:02.259,2025-06-11 19:30:02.265,6.0,received
96,2025-06-11 19:30:02.289,2025-06-11 19:30:02.295,6.0,received
97,2025-06-11 19:30:02.320,2025-06-11 19:30:02.326,6.0,received
98,2025-06-11 19:30:02.350,2025-06-11 19:30:02.356,6.0,received
99,2025-06-11 19:30:02.380,2025-06-11 19:30:02.386,6.0,received
100,2025-06-11 19:30:02.410,2025-06-11 19:30:02.417,7.0,received
101,2025-06-11 19:30:02.441,2025-06-11 19:30:02.447,6.0,received
102,2025-06-11 19:30:02.471,2025-06-11 19:30:02.477,6.0,received
103,2025-06-11 19:30:02.501,2025-06-11 19:30:02.507,6.0,received
104,2025-06-11 19:30:02.532,2025-06-11 19:30:02.537,5.0,received
105,2025-06-11 19:30:02.561,2025-06-11 19:30:02.570,9.0,received
106,2025-06-11 19:30:02.592,2025-06-11 19:30:02.598,6.0,received
107,2025-06-11 19:30:02.622,2025-06-11 19:30:02.628,6.0,received
108,2025-06-11 19:30:02.652,2025-06-11 19:30:02.658,6.0,received
109,2025-06-11 19:30:02.682,2025-06-11 19:30:02.688,6.0,received
110,2025-06-11 19:30:02.712,2025-06-11 19:30:02.718,6.0,received
111,2025-06-11 19:30:02.743,2025-06-11 19:30:02.747,4.0,received
112,2025-06-11 19:30:02.773,2025-06-11 19:30:02.779,6.0,received
113,2025-06-11 19:30:02.803,2025-06-11 19:30:02.807,4.0,received
114,2025-06-11 19:30:02.833,2025-06-11 19:30:02.837,4.0,received
115,2025-06-11 19:30:02.863,2025-06-11 19:30:02.868,5.0,received
116,2025-06-11 19:30:02.893,2025-06-11 19:30:02.899,6.0,received
117,2025-06-11 19:30:02.923,2025-06-11 19:30:02.929,6.0,received
118,2025-06-11 19:30:02.953,2025-06-11 19:30:02.958,5.0,received
