seq,timestamp_server,timestamp_robot,latency_ms,status
1,2024-10-31 18:06:15.393,2024-10-31 18:06:15.398,5.0,received
2,2024-10-31 18:06:15.424,2024-10-31 18:06:15.428,4.0,received
3,2024-10-31 18:06:15.454,2024-10-31 18:06:15.457,3.0,received
4,2024-10-31 18:06:15.484,2024-10-31 18:06:15.489,5.0,received
5,2024-10-31 18:06:15.514,2024-10-31 18:06:15.519,5.0,received
6,2024-10-31 18:06:15.544,2024-10-31 18:06:15.549,5.0,received
7,2024-10-31 18:06:15.574,2024-10-31 18:06:15.579,5.0,received
8,2024-10-31 18:06:15.579,2024-10-31 18:06:15.584,5.0,received
9,2024-10-31 18:06:15.604,2024-10-31 18:06:15.609,5.0,received
10,2024-10-31 18:06:15.634,2024-10-31 18:06:15.639,5.0,received
11,2024-10-31 18:06:15.664,2024-10-31 18:06:15.669,5.0,received
12,2024-10-31 18:06:15.694,2024-10-31 18:06:15.699,5.0,received
13,2024-10-31 18:06:15.725,2024-10-31 18:06:15.730,5.0,received
14,2024-10-31 18:06:15.755,2024-10-31 18:06:15.759,4.0,received
15,2024-10-31 18:06:15.785,2024-10-31 18:06:15.790,5.0,received
16,2024-10-31 18:06:15.815,2024-10-31 18:06:15.825,10.0,received
17,2024-10-31 18:06:15.845,2024-10-31 18:06:15.850,5.0,received
18,2024-10-31 18:06:15.875,2024-10-31 18:06:15.880,5.0,received
19,2024-10-31 18:06:15.905,2024-10-31 18:06:15.910,5.0,received
20,2024-10-31 18:06:15.935,2024-10-31 18:06:15.940,5.0,received
21,2024-10-31 18:06:15.966,2024-10-31 18:06:15.970,4.0,received
22,2024-10-31 18:06:15.996,2024-10-31 18:06:16.000,4.0,received
23,2024-10-31 18:06:16.026,2024-10-31 18:06:16.032,6.0,received
24,2024-10-31 18:06:16.056,2024-10-31 18:06:16.062,6.0,received
25,2024-10-31 18:06:16.086,2024-10-31 18:06:16.097,11.0,received
26,2024-10-31 18:06:16.116,2024-10-31 18:06:16.122,6.0,received
27,2024-10-31 18:06:16.146,2024-10-31 18:06:16.152,6.0,received
28,2024-10-31 18:06:16.176,2024-10-31 18:06:16.182,6.0,received
29,2024-10-31 18:06:16.207,2024-10-31 18:06:16.212,5.0,received
30,2024-10-31 18:06:16.236,2024-10-31 18:06:16.242,6.0,received
31,2024-10-31 18:06:16.267,2024-10-31 18:06:16.272,5.0,received
32,2024-10-31 18:06:16.297,2024-10-31 18:06:16.304,7.0,received
33,2024-10-31 18:06:16.327,2024-10-31 18:06:16.333,6.0,received
34,2024-10-31 18:06:16.357,2024-10-31 18:06:16.363,6.0,received
35,2024-10-31 18:06:16.387,2024-10-31 18:06:16.393,6.0,received
36,2024-10-31 18:06:16.417,2024-10-31 18:06:16.423,6.0,received
37,2024-10-31 18:06:16.447,2024-10-31 18:06:16.453,6.0,received
38,2024-10-31 18:06:16.477,2024-10-31 18:06:16.483,6.0,received
39,2024-10-31 18:06:16.508,2024-10-31 18:06:16.512,4.0,received
40,2024-10-31 18:06:16.538,2024-10-31 18:06:16.544,6.0,received
41,2024-10-31 18:06:16.568,2024-10-31 18:06:16.573,5.0,received
42,2024-10-31 18:06:16.580,2024-10-31 18:06:16.589,9.0,received
43,2024-10-31 18:06:16.598,2024-10-31 18:06:16.603,5.0,received
44,2024-10-31 18:06:16.628,2024-10-31 18:06:16.633,5.0,received
45,2024-10-31 18:06:16.658,2024-10-31 18:06:16.664,6.0,received
46,2024-10-31 18:06:16.688,2024-10-31 18:06:16.694,6.0,received
47,2024-10-31 18:06:16.718,2024-10-31 18:06:16.724,6.0,received
48,2024-10-31 18:06:16.748,2024-10-31 18:06:16.753,5.0,received
49,2024-10-31 18:06:16.778,2024-10-31 18:06:16.784,6.0,received
50,2024-10-31 18:06:16.808,2024-10-31 18:06:16.819,11.0,received
51,2024-10-31 18:06:16.839,2024-10-31 18:06:16.844,5.0,received
52,2024-10-31 18:06:16.869,2024-10-31 18:06:16.874,5.0,received
53,2024-10-31 18:06:16.899,2024-10-31 18:06:16.904,5.0,received
54,2024-10-31 18:06:16.929,2024-10-31 18:06:16.938,9.0,received
55,2024-10-31 18:06:16.959,2024-10-31 18:06:16.964,5.0,received
56,2024-10-31 18:06:16.989,2024-10-31 18:06:16.995,6.0,received
57,2024-10-31 18:06:17.019,2024-10-31 18:06:17.025,6.0,received
58,2024-10-31 18:06:17.049,2024-10-31 18:06:17.054,5.0,received
59,2024-10-31 18:06:17.079,2024-10-31 18:06:17.084,5.0,received
60,2024-10-31 18:06:17.109,2024-10-31 18:06:17.115,6.0,received
61,2024-10-31 18:06:17.140,2024-10-31 18:06:17.144,4.0,received
62,2024-10-31 18:06:17.170,2024-10-31 18:06:17.174,4.0,received
63,2024-10-31 18:06:17.200,2024-10-31 18:06:17.205,5.0,received
64,2024-10-31 18:06:17.230,2024-10-31 18:06:17.235,5.0,received
65,2024-10-31 18:06:17.260,2024-10-31 18:06:17.265,5.0,received
66,2024-10-31 18:06:17.290,2024-10-31 18:06:17.295,5.0,received
67,2024-10-31 18:06:17.320,2024-10-31 18:06:17.325,5.0,received
68,2024-10-31 18:06:17.350,2024-10-31 18:06:17.355,5.0,received
69,2024-10-31 18:06:17.380,2024-10-31 18:06:17.385,5.0,received
70,2024-10-31 18:06:17.410,2024-10-31 18:06:17.415,5.0,received
71,2024-10-31 18:06:17.440,2024-10-31 18:06:17.445,5.0,received
72,2024-10-31 18:06:17.471,2024-10-31 18:06:17.475,4.0,received
73,2024-10-31 18:06:17.501,2024-10-31 18:06:17.505,4.0,received
74,2024-10-31 18:06:17.531,2024-10-31 18:06:17.537,6.0,received
75,2024-10-31 18:06:17.561,2024-10-31 18:06:17.567,6.0,received
76,2024-10-31 18:06:17.580,2024-10-31 18:06:17.584,4.0,received
77,2024-10-31 18:06:17.591,2024-10-31 18:06:17.597,6.0,received
78,2024-10-31 18:06:17.621,2024-10-31 18:06:17.627,6.0,received
79,2024-10-31 18:06:17.651,2024-10-31 18:06:17.657,6.0,received
80,2024-10-31 18:06:17.681,2024-10-31 18:06:17.687,6.0,received
81,2024-10-31 18:06:17.711,2024-10-31 18:06:17.717,6.0,received
82,2024-10-31 18:06:17.741,2024-10-31 18:06:17.747,6.0,received
83,2024-10-31 18:06:17.772,2024-10-31 18:06:17.777,5.0,received
84,2024-10-31 18:06:17.802,2024-10-31 18:06:17.806,4.0,received
85,2024-10-31 18:06:17.832,2024-10-31 18:06:17.838,6.0,received
86,2024-10-31 18:06:17.862,2024-10-31 18:06:17.867,5.0,received
87,2024-10-31 18:06:17.892,2024-10-31 18:06:17.897,5.0,received
88,2024-10-31 18:06:17.923,2024-10-31 18:06:17.927,4.0,received
89,2024-10-31 18:06:17.953,2024-10-31 18:06:17.957,4.0,received
90,2024-10-31 18:06:17.983,2024-10-31 18:06:17.987,4.0,received
91,2024-10-31 18:06:18.013,2024-10-31 18:06:18.017,4.0,received
92,2024-10-31 18:06:18.043,2024-10-31 18:06:18.048,5.0,received
93,2024-10-31 18:06:18.073,2024-10-31 18:06:18.079,6.0,received
94,2024-10-31 18:06:18.103,2024-10-31 18:06:18.113,10.0,received
95,2024-10-31 18:06:18.133,2024-10-31 18:06:18.138,5.0,received
96,2024-10-31 18:06:18.163,2024-10-31 18:06:18.168,5.0,received
97,2024-10-31 18:06:18.193,2024-10-31 18:06:18.198,5.0,received
98,2024-10-31 18:06:18.223,2024-10-31 18:06:18.228,5.0,received
99,2024-10-31 18:06:18.253,2024-10-31 18:06:18.257,4.0,received
100,2024-10-31 18:06:18.284,2024-10-31 18:06:18.289,5.0,received
101,2024-10-31 18:06:18.314,2024-10-31 18:06:18.317,3.0,received
