seq,timestamp_server,timestamp_robot,latency_ms,status
1,2024-11-08 01:44:08.774,2024-11-08 01:44:08.780,6.0,received
2,2024-11-08 01:44:08.800,2024-11-08 01:44:08.809,9.0,received
3,2024-11-08 01:44:08.830,2024-11-08 01:44:08.836,6.0,received
4,2024-11-08 01:44:08.860,2024-11-08 01:44:08.867,7.0,received
5,2024-11-08 01:44:08.890,2024-11-08 01:44:08.898,8.0,received
6,2024-11-08 01:44:08.920,2024-11-08 01:44:08.927,7.0,received
7,2024-11-08 01:44:08.951,2024-11-08 01:44:08.958,7.0,received
8,2024-11-08 01:44:08.982,2024-11-08 01:44:08.988,6.0,received
9,2024-11-08 01:44:09.011,2024-11-08 01:44:09.016,5.0,received
10,2024-11-08 01:44:09.043,2024-11-08 01:44:09.049,6.0,received
11,2024-11-08 01:44:09.072,2024-11-08 01:44:09.078,6.0,received
12,2024-11-08 01:44:09.102,2024-11-08 01:44:09.113,11.0,received
13,2024-11-08 01:44:09.133,2024-11-08 01:44:09.142,9.0,received
14,2024-11-08 01:44:09.163,2024-11-08 01:44:09.173,10.0,received
15,2024-11-08 01:44:09.193,2024-11-08 01:44:09.201,8.0,received
16,2024-11-08 01:44:09.223,2024-11-08 01:44:09.229,6.0,received
17,2024-11-08 01:44:09.253,2024-11-08 01:44:09.260,7.0,received
18,2024-11-08 01:44:09.283,2024-11-08 01:44:09.292,9.0,received
19,2024-11-08 01:44:09.313,2024-11-08 01:44:09.320,7.0,received
20,2024-11-08 01:44:09.344,2024-11-08 01:44:09.350,6.0,received
21,2024-11-08 01:44:09.374,2024-11-08 01:44:09.381,7.0,received
22,2024-11-08 01:44:09.404,2024-11-08 01:44:09.411,7.0,received
23,2024-11-08 01:44:09.434,2024-11-08 01:44:09.442,8.0,received
24,2024-11-08 01:44:09.464,2024-11-08 01:44:09.472,8.0,received
25,2024-11-08 01:44:09.494,2024-11-08 01:44:09.503,9.0,received
26,2024-11-08 01:44:09.524,2024-11-08 01:44:09.534,10.0,received
27,2024-11-08 01:44:09.554,2024-11-08 01:44:09.562,8.0,received
28,2024-11-08 01:44:09.585,2024-11-08 01:44:09.591,6.0,received
29,2024-11-08 01:44:09.615,2024-11-08 01:44:09.624,9.0,received
30,2024-11-08 01:44:09.645,2024-11-08 01:44:09.652,7.0,received
31,2024-11-08 01:44:09.675,2024-11-08 01:44:09.685,10.0,received
32,2024-11-08 01:44:09.705,2024-11-08 01:44:09.714,9.0,received
33,2024-11-08 01:44:09.735,2024-11-08 01:44:09.746,11.0,received
34,2024-11-08 01:44:09.765,2024-11-08 01:44:09.773,8.0,received
35,2024-11-08 01:44:09.795,2024-11-08 01:44:09.804,9.0,received
36,2024-11-08 01:44:09.826,2024-11-08 01:44:09.838,12.0,received
37,2024-11-08 01:44:09.856,2024-11-08 01:44:09.866,10.0,received
38,2024-11-08 01:44:09.886,2024-11-08 01:44:09.893,7.0,received
39,2024-11-08 01:44:09.916,2024-11-08 01:44:09.924,8.0,received
40,2024-11-08 01:44:09.946,2024-11-08 01:44:09.955,9.0,received
41,2024-11-08 01:44:09.976,2024-11-08 01:44:09.985,9.0,received
42,2024-11-08 01:44:10.006,2024-11-08 01:44:10.014,8.0,received
43,2024-11-08 01:44:10.036,2024-11-08 01:44:10.046,10.0,received
