seq,timestamp_server,timestamp_robot,latency_ms,status
1,2024-10-31 19:24:53.527,2024-10-31 19:24:53.532,5.0,received
2,2024-10-31 19:24:53.556,2024-10-31 19:24:53.560,4.0,received
3,2024-10-31 19:24:53.586,2024-10-31 19:24:53.591,5.0,received
4,2024-10-31 19:24:53.617,2024-10-31 19:24:53.621,4.0,received
5,2024-10-31 19:24:53.647,2024-10-31 19:24:53.651,4.0,received
6,2024-10-31 19:24:53.677,2024-10-31 19:24:53.681,4.0,received
7,2024-10-31 19:24:53.707,2024-10-31 19:24:53.711,4.0,received
8,2024-10-31 19:24:53.737,2024-10-31 19:24:53.741,4.0,received
9,2024-10-31 19:24:53.767,2024-10-31 19:24:53.772,5.0,received
10,2024-10-31 19:24:53.797,2024-10-31 19:24:53.802,5.0,received
11,2024-10-31 19:24:53.827,2024-10-31 19:24:53.832,5.0,received
12,2024-10-31 19:24:53.857,2024-10-31 19:24:53.862,5.0,received
13,2024-10-31 19:24:53.888,2024-10-31 19:24:53.899,11.0,received
14,2024-10-31 19:24:53.918,2024-10-31 19:24:53.923,5.0,received
15,2024-10-31 19:24:53.941,2024-10-31 19:24:53.946,5.0,received
16,2024-10-31 19:24:53.948,2024-10-31 19:24:53.955,7.0,received
17,2024-10-31 19:24:53.978,2024-10-31 19:24:53.983,5.0,received
18,2024-10-31 19:24:54.008,2024-10-31 19:24:54.013,5.0,received
19,2024-10-31 19:24:54.039,2024-10-31 19:24:54.044,5.0,received
20,2024-10-31 19:24:54.068,2024-10-31 19:24:54.073,5.0,received
21,2024-10-31 19:24:54.098,2024-10-31 19:24:54.103,5.0,received
22,2024-10-31 19:24:54.129,2024-10-31 19:24:54.133,4.0,received
23,2024-10-31 19:24:54.159,2024-10-31 19:24:54.163,4.0,received
24,2024-10-31 19:24:54.189,2024-10-31 19:24:54.193,4.0,received
25,2024-10-31 19:24:54.219,2024-10-31 19:24:54.224,5.0,received
26,2024-10-31 19:24:54.249,2024-10-31 19:24:54.254,5.0,received
27,2024-10-31 19:24:54.279,2024-10-31 19:24:54.284,5.0,received
28,2024-10-31 19:24:54.309,2024-10-31 19:24:54.314,5.0,received
29,2024-10-31 19:24:54.339,2024-10-31 19:24:54.344,5.0,received
30,2024-10-31 19:24:54.369,2024-10-31 19:24:54.373,4.0,received
31,2024-10-31 19:24:54.399,2024-10-31 19:24:54.404,5.0,received
32,2024-10-31 19:24:54.429,2024-10-31 19:24:54.433,4.0,received
33,2024-10-31 19:24:54.459,2024-10-31 19:24:54.468,9.0,received
34,2024-10-31 19:24:54.489,2024-10-31 19:24:54.495,6.0,received
35,2024-10-31 19:24:54.519,2024-10-31 19:24:54.525,6.0,received
36,2024-10-31 19:24:54.550,2024-10-31 19:24:54.555,5.0,received
37,2024-10-31 19:24:54.580,2024-10-31 19:24:54.585,5.0,received
38,2024-10-31 19:24:54.610,2024-10-31 19:24:54.615,5.0,received
39,2024-10-31 19:24:54.640,2024-10-31 19:24:54.645,5.0,received
40,2024-10-31 19:24:54.670,2024-10-31 19:24:54.675,5.0,received
41,2024-10-31 19:24:54.700,2024-10-31 19:24:54.705,5.0,received
42,2024-10-31 19:24:54.731,2024-10-31 19:24:54.736,5.0,received
43,2024-10-31 19:24:54.761,2024-10-31 19:24:54.765,4.0,received
44,2024-10-31 19:24:54.791,2024-10-31 19:24:54.801,10.0,received
45,2024-10-31 19:24:54.821,2024-10-31 19:24:54.827,6.0,received
46,2024-10-31 19:24:54.852,2024-10-31 19:24:54.857,5.0,received
47,2024-10-31 19:24:54.882,2024-10-31 19:24:54.887,5.0,received
48,2024-10-31 19:24:54.912,2024-10-31 19:24:54.917,5.0,received
49,2024-10-31 19:24:54.941,2024-10-31 19:24:54.946,5.0,received
50,2024-10-31 19:24:54.941,2024-10-31 19:24:54.952,11.0,received
51,2024-10-31 19:24:54.971,2024-10-31 19:24:54.977,6.0,received
52,2024-10-31 19:24:55.002,2024-10-31 19:24:55.007,5.0,received
53,2024-10-31 19:24:55.032,2024-10-31 19:24:55.037,5.0,received
54,2024-10-31 19:24:55.062,2024-10-31 19:24:55.067,5.0,received
55,2024-10-31 19:24:55.092,2024-10-31 19:24:55.097,5.0,received
56,2024-10-31 19:24:55.122,2024-10-31 19:24:55.127,5.0,received
57,2024-10-31 19:24:55.152,2024-10-31 19:24:55.157,5.0,received
58,2024-10-31 19:24:55.183,2024-10-31 19:24:55.187,4.0,received
59,2024-10-31 19:24:55.212,2024-10-31 19:24:55.217,5.0,received
60,2024-10-31 19:24:55.243,2024-10-31 19:24:55.247,4.0,received
61,2024-10-31 19:24:55.272,2024-10-31 19:24:55.277,5.0,received
62,2024-10-31 19:24:55.303,2024-10-31 19:24:55.307,4.0,received
63,2024-10-31 19:24:55.333,2024-10-31 19:24:55.338,5.0,received
64,2024-10-31 19:24:55.363,2024-10-31 19:24:55.368,5.0,received
65,2024-10-31 19:24:55.393,2024-10-31 19:24:55.398,5.0,received
66,2024-10-31 19:24:55.423,2024-10-31 19:24:55.428,5.0,received
67,2024-10-31 19:24:55.453,2024-10-31 19:24:55.458,5.0,received
68,2024-10-31 19:24:55.483,2024-10-31 19:24:55.493,10.0,received
69,2024-10-31 19:24:55.513,2024-10-31 19:24:55.519,6.0,received
70,2024-10-31 19:24:55.544,2024-10-31 19:24:55.549,5.0,received
71,2024-10-31 19:24:55.574,2024-10-31 19:24:55.578,4.0,received
72,2024-10-31 19:24:55.604,2024-10-31 19:24:55.609,5.0,received
73,2024-10-31 19:24:55.634,2024-10-31 19:24:55.639,5.0,received
74,2024-10-31 19:24:55.664,2024-10-31 19:24:55.670,6.0,received
75,2024-10-31 19:24:55.693,2024-10-31 19:24:55.698,5.0,received
76,2024-10-31 19:24:55.723,2024-10-31 19:24:55.728,5.0,received
