ltl sce_good: ! (<> (((net_state==4)) && (((net_state==4)) U ([] ((net_state==3))))))
ltl sce_late: ! (<> (((net_state==4)) && (((net_state==4)) U ([] ((net_state==1))))))
ltl sce_loss: ! (<> (((net_state==4)) && (((net_state==4)) U ([] ((net_state==2))))))
ltl sce_good_then_late: ! (<> (((net_state==4)) && (((net_state==4)) U (((net_state==3)) && (((net_state==3)) U ([] ((net_state==1))))))))
ltl sce_good_then_loss: ! (<> (((net_state==4)) && (((net_state==4)) U (((net_state==3)) && (((net_state==3)) U ([] ((net_state==2))))))))
ltl sce_loss_then_good: ! (<> (((net_state==4)) && (((net_state==4)) U (((net_state==2)) && (((net_state==2)) U ([] ((net_state==3))))))))
ltl sce_late_then_good: ! (<> (((net_state==4)) && (((net_state==4)) U (((net_state==1)) && (((net_state==1)) U ([] ((net_state==3))))))))
ltl sce_good_then_late_then_good: ! (<> (((net_state==4)) && (((net_state==4)) U (((net_state==3)) && (((net_state==3)) U (((net_state==1)) && (((net_state==1)) U ([] ((net_state==3))))))))))
ltl sce_good_then_loss_then_good: ! (<> (((net_state==4)) && (((net_state==4)) U (((net_state==3)) && (((net_state==3)) U (((net_state==2)) && (((net_state==2)) U ([] ((net_state==3))))))))))
ltl sce_late_then_good_then_late: ! (<> (((net_state==4)) && (((net_state==4)) U (((net_state==1)) && (((net_state==1)) U (((net_state==3)) && (((net_state==3)) U ([] ((net_state==1))))))))))
ltl sce_loss_then_good_then_loss: ! (<> (((net_state==4)) && (((net_state==4)) U (((net_state==2)) && (((net_state==2)) U (((net_state==3)) && (((net_state==3)) U ([] ((net_state==2))))))))))
ltl sce_variable: ! (<> (((net_state==4)) && (((net_state==4)) U (((net_state==2)) && (((net_state==2)) U (((net_state==3)) && (((net_state==3)) U ([] ((net_state==1))))))))))
starting claim 8
Never claim moves to line 153	[((net_state==4))]
  2:	proc  2 (Receiver:1) Model_net.pml:115 (state 10)	[i = 0]
  2:	proc  2 (Receiver:1) Model_net.pml:119 (state 8)	[.(goto)]
  2:	proc  2 (Receiver:1) Model_net.pml:118 (state 7)	[DO]
  2:	proc  2 (Receiver:1) Model_net.pml:117 (state 3)	[rcpBuffer[i] = 5]
  2:	proc  2 (Receiver:1) Model_net.pml:116 (state 4)	[i = (i+1)]
  2:	proc  2 (Receiver:1) Model_net.pml:119 (state 8)	[.(goto)]
  2:	proc  2 (Receiver:1) Model_net.pml:118 (state 7)	[DO]
  2:	proc  2 (Receiver:1) Model_net.pml:117 (state 3)	[rcpBuffer[i] = 5]
  2:	proc  2 (Receiver:1) Model_net.pml:116 (state 4)	[i = (i+1)]
  2:	proc  2 (Receiver:1) Model_net.pml:119 (state 8)	[.(goto)]
  2:	proc  2 (Receiver:1) Model_net.pml:118 (state 7)	[DO]
  2:	proc  2 (Receiver:1) Model_net.pml:117 (state 3)	[rcpBuffer[i] = 5]
  2:	proc  2 (Receiver:1) Model_net.pml:116 (state 4)	[i = (i+1)]
  2:	proc  2 (Receiver:1) Model_net.pml:119 (state 8)	[.(goto)]
  2:	proc  2 (Receiver:1) Model_net.pml:118 (state 7)	[DO]
  2:	proc  2 (Receiver:1) Model_net.pml:117 (state 3)	[rcpBuffer[i] = 5]
  2:	proc  2 (Receiver:1) Model_net.pml:116 (state 4)	[i = (i+1)]
  2:	proc  2 (Receiver:1) Model_net.pml:119 (state 8)	[.(goto)]
  2:	proc  2 (Receiver:1) Model_net.pml:118 (state 7)	[DO]
  2:	proc  2 (Receiver:1) Model_net.pml:118 (state 6)	[goto :b5]
  2:	proc  2 (Receiver:1) Model_net.pml:118 (state 9)	[break]
Never claim moves to line 176	[((net_state==4))]
  4:	proc  2 (Receiver:1) Model_net.pml:125 (state 11)	[r_r = 0]
  4:	proc  2 (Receiver:1) Model_net.pml:126 (state 12)	[r_b = 0]
  6:	proc  0 (Source:1) Model_net.pml:48 (state 1)	[source!3]
  7:	proc  1 (Sender:1) Model_net.pml:67 (state 1)	[source?data]
  9:	proc  1 (Sender:1) Model_net.pml:69 (state 2)	[((timeBuffer[seqNum]==0))]
  9:	proc  1 (Sender:1) Model_net.pml:70 (state 3)	[timeBuffer[seqNum] = 1]
 10:	proc  1 (Sender:1) Model_net.pml:71 (state 4)	[sublink[0]!data,seqNum]
 11:	proc  1 (Sender:1) Model_net.pml:72 (state 5)	[sublink[1]!data,seqNum]
 12:	proc  1 (Sender:1) Model_net.pml:73 (state 6)	[sublink[2]!data,seqNum]
 13:	proc  1 (Sender:1) Model_net.pml:23 (state 7)	[time = 0]
 14:	proc  1 (Sender:1) Model_net.pml:24 (state 8)	[time = 0]
 15:	proc  1 (Sender:1) Model_net.pml:40 (state 32)	[else]
 16:	proc  1 (Sender:1) Model_net.pml:42 (state 34)	[.(goto)]
 18:	proc  1 (Sender:1) Model_net.pml:76 (state 38)	[seqNum = ((seqNum+1)%(3+1))]
 20:	proc  2 (Receiver:1) Model_net.pml:129 (state 13)	[sublink[0]?recvData,recvNum]
 20:	proc  2 (Receiver:1) Model_net.pml:129 (state 14)	[track_sublink = 1]
 20:	proc  2 (Receiver:1) Model_net.pml:134 (state 19)	[controlBuffer[recvNum] = (controlBuffer[recvNum]+1)]
 22:	proc  2 (Receiver:1) Model_net.pml:143 (state 27)	[recvTime = timeBuffer[recvNum]]
 24:	proc  2 (Receiver:1) Model_net.pml:145 (state 28)	[((recvTime<3))]
 26:	proc  2 (Receiver:1) Model_net.pml:151 (state 33)	[else]
 28:	proc  2 (Receiver:1) Model_net.pml:151 (state 34)	[(1)]
 30:	proc  2 (Receiver:1) Model_net.pml:156 (state 39)	[else]
 32:	proc  2 (Receiver:1) Model_net.pml:157 (state 40)	[rcpBuffer[recvNum] = recvData]
 34:	proc  2 (Receiver:1) Model_net.pml:159 (state 41)	[((((lastNum+1)%(3+1))==recvNum))]
 34:	proc  2 (Receiver:1) Model_net.pml:160 (state 42)	[lastNum = recvNum]
 36:	proc  2 (Receiver:1) Model_net.pml:166 (state 51)	[else]
 38:	proc  2 (Receiver:1) Model_net.pml:166 (state 52)	[(1)]
 38:	proc  2 (Receiver:1) Model_net.pml:168 (state 55)	[rcpBuffer[recvNum] = 1]
 40:	proc  2 (Receiver:1) Model_net.pml:173 (state 62)	[(track_sublink)]
 42:	proc  2 (Receiver:1) Model_net.pml:173 (state 63)	[net_state = 3]
Never claim moves to line 175	[((net_state==3))]
 44:	proc  2 (Receiver:1) Model_net.pml:103 (state 117)	[else]
Never claim moves to line 169	[((net_state==3))]
 46:	proc  2 (Receiver:1) Model_net.pml:192 (state 121)	[track_sublink = 0]
 48:	proc  2 (Receiver:1) Model_net.pml:125 (state 11)	[r_r = 0]
 48:	proc  2 (Receiver:1) Model_net.pml:126 (state 12)	[r_b = 0]
 49:	proc  2 (Receiver:1) Model_net.pml:130 (state 15)	[sublink[1]?recvData,recvNum]
 49:	proc  2 (Receiver:1) Model_net.pml:134 (state 19)	[controlBuffer[recvNum] = (controlBuffer[recvNum]+1)]
 51:	proc  2 (Receiver:1) Model_net.pml:140 (state 23)	[else]
 53:	proc  2 (Receiver:1) Model_net.pml:140 (state 24)	[(1)]
 55:	proc  2 (Receiver:1) Model_net.pml:103 (state 117)	[else]
 57:	proc  2 (Receiver:1) Model_net.pml:192 (state 121)	[track_sublink = 0]
 59:	proc  2 (Receiver:1) Model_net.pml:125 (state 11)	[r_r = 0]
 59:	proc  2 (Receiver:1) Model_net.pml:126 (state 12)	[r_b = 0]
 60:	proc  2 (Receiver:1) Model_net.pml:131 (state 16)	[sublink[2]?recvData,recvNum]
 60:	proc  2 (Receiver:1) Model_net.pml:134 (state 19)	[controlBuffer[recvNum] = (controlBuffer[recvNum]+1)]
 62:	proc  2 (Receiver:1) Model_net.pml:140 (state 23)	[else]
 64:	proc  2 (Receiver:1) Model_net.pml:140 (state 24)	[(1)]
 66:	proc  2 (Receiver:1) Model_net.pml:83 (state 89)	[((controlBuffer[recvNum]==3))]
 66:	proc  2 (Receiver:1) Model_net.pml:84 (state 90)	[controlBuffer[recvNum] = 0]
 68:	proc  2 (Receiver:1) Model_net.pml:86 (state 91)	[else]
 70:	proc  2 (Receiver:1) Model_net.pml:86 (state 92)	[(1)]
 70:	proc  2 (Receiver:1) Model_net.pml:101 (state 115)	[rcpBuffer[recvNum] = 5]
 72:	proc  2 (Receiver:1) Model_net.pml:102 (state 116)	[timeBuffer[recvNum] = 0]
 74:	proc  2 (Receiver:1) Model_net.pml:192 (state 121)	[track_sublink = 0]
 76:	proc  2 (Receiver:1) Model_net.pml:125 (state 11)	[r_r = 0]
 76:	proc  2 (Receiver:1) Model_net.pml:126 (state 12)	[r_b = 0]
 78:	proc  0 (Source:1) Model_net.pml:48 (state 1)	[source!3]
 79:	proc  1 (Sender:1) Model_net.pml:67 (state 1)	[source?data]
 81:	proc  1 (Sender:1) Model_net.pml:69 (state 2)	[((timeBuffer[seqNum]==0))]
 81:	proc  1 (Sender:1) Model_net.pml:70 (state 3)	[timeBuffer[seqNum] = 1]
 82:	proc  1 (Sender:1) Model_net.pml:71 (state 4)	[sublink[0]!data,seqNum]
 83:	proc  1 (Sender:1) Model_net.pml:72 (state 5)	[sublink[1]!data,seqNum]
 84:	proc  1 (Sender:1) Model_net.pml:73 (state 6)	[sublink[2]!data,seqNum]
 85:	proc  1 (Sender:1) Model_net.pml:23 (state 7)	[time = 0]
 86:	proc  1 (Sender:1) Model_net.pml:24 (state 8)	[time = 0]
 87:	proc  1 (Sender:1) Model_net.pml:40 (state 32)	[else]
 88:	proc  1 (Sender:1) Model_net.pml:42 (state 34)	[.(goto)]
 90:	proc  1 (Sender:1) Model_net.pml:76 (state 38)	[seqNum = ((seqNum+1)%(3+1))]
 92:	proc  2 (Receiver:1) Model_net.pml:129 (state 13)	[sublink[0]?recvData,recvNum]
 92:	proc  2 (Receiver:1) Model_net.pml:129 (state 14)	[track_sublink = 1]
 92:	proc  2 (Receiver:1) Model_net.pml:134 (state 19)	[controlBuffer[recvNum] = (controlBuffer[recvNum]+1)]
 94:	proc  2 (Receiver:1) Model_net.pml:143 (state 27)	[recvTime = timeBuffer[recvNum]]
 96:	proc  2 (Receiver:1) Model_net.pml:145 (state 28)	[((recvTime<3))]
 98:	proc  2 (Receiver:1) Model_net.pml:151 (state 33)	[else]
100:	proc  2 (Receiver:1) Model_net.pml:151 (state 34)	[(1)]
102:	proc  2 (Receiver:1) Model_net.pml:156 (state 39)	[else]
104:	proc  2 (Receiver:1) Model_net.pml:157 (state 40)	[rcpBuffer[recvNum] = recvData]
106:	proc  2 (Receiver:1) Model_net.pml:159 (state 41)	[((((lastNum+1)%(3+1))==recvNum))]
106:	proc  2 (Receiver:1) Model_net.pml:160 (state 42)	[lastNum = recvNum]
108:	proc  2 (Receiver:1) Model_net.pml:166 (state 51)	[else]
110:	proc  2 (Receiver:1) Model_net.pml:166 (state 52)	[(1)]
110:	proc  2 (Receiver:1) Model_net.pml:168 (state 55)	[rcpBuffer[recvNum] = 1]
112:	proc  2 (Receiver:1) Model_net.pml:173 (state 62)	[(track_sublink)]
114:	proc  2 (Receiver:1) Model_net.pml:173 (state 63)	[net_state = 3]
116:	proc  2 (Receiver:1) Model_net.pml:103 (state 117)	[else]
118:	proc  2 (Receiver:1) Model_net.pml:192 (state 121)	[track_sublink = 0]
120:	proc  2 (Receiver:1) Model_net.pml:125 (state 11)	[r_r = 0]
120:	proc  2 (Receiver:1) Model_net.pml:126 (state 12)	[r_b = 0]
121:	proc  2 (Receiver:1) Model_net.pml:130 (state 15)	[sublink[1]?recvData,recvNum]
121:	proc  2 (Receiver:1) Model_net.pml:134 (state 19)	[controlBuffer[recvNum] = (controlBuffer[recvNum]+1)]
123:	proc  2 (Receiver:1) Model_net.pml:140 (state 23)	[else]
125:	proc  2 (Receiver:1) Model_net.pml:140 (state 24)	[(1)]
127:	proc  2 (Receiver:1) Model_net.pml:103 (state 117)	[else]
129:	proc  2 (Receiver:1) Model_net.pml:192 (state 121)	[track_sublink = 0]
131:	proc  2 (Receiver:1) Model_net.pml:125 (state 11)	[r_r = 0]
131:	proc  2 (Receiver:1) Model_net.pml:126 (state 12)	[r_b = 0]
132:	proc  2 (Receiver:1) Model_net.pml:131 (state 16)	[sublink[2]?recvData,recvNum]
132:	proc  2 (Receiver:1) Model_net.pml:134 (state 19)	[controlBuffer[recvNum] = (controlBuffer[recvNum]+1)]
134:	proc  2 (Receiver:1) Model_net.pml:140 (state 23)	[else]
136:	proc  2 (Receiver:1) Model_net.pml:140 (state 24)	[(1)]
138:	proc  2 (Receiver:1) Model_net.pml:83 (state 89)	[((controlBuffer[recvNum]==3))]
138:	proc  2 (Receiver:1) Model_net.pml:84 (state 90)	[controlBuffer[recvNum] = 0]
140:	proc  2 (Receiver:1) Model_net.pml:86 (state 91)	[else]
142:	proc  2 (Receiver:1) Model_net.pml:86 (state 92)	[(1)]
142:	proc  2 (Receiver:1) Model_net.pml:101 (state 115)	[rcpBuffer[recvNum] = 5]
144:	proc  2 (Receiver:1) Model_net.pml:102 (state 116)	[timeBuffer[recvNum] = 0]
146:	proc  2 (Receiver:1) Model_net.pml:192 (state 121)	[track_sublink = 0]
148:	proc  2 (Receiver:1) Model_net.pml:125 (state 11)	[r_r = 0]
148:	proc  2 (Receiver:1) Model_net.pml:126 (state 12)	[r_b = 0]
150:	proc  0 (Source:1) Model_net.pml:48 (state 1)	[source!3]
151:	proc  1 (Sender:1) Model_net.pml:67 (state 1)	[source?data]
153:	proc  1 (Sender:1) Model_net.pml:69 (state 2)	[((timeBuffer[seqNum]==0))]
153:	proc  1 (Sender:1) Model_net.pml:70 (state 3)	[timeBuffer[seqNum] = 1]
