ltl sce_good: ! (<> (((net_state==4)) && (((net_state==4)) U ([] ((net_state==3))))))
ltl sce_late: ! (<> (((net_state==4)) && (((net_state==4)) U ([] ((net_state==1))))))
ltl sce_loss: ! (<> (((net_state==4)) && (((net_state==4)) U ([] ((net_state==2))))))
ltl sce_good_then_late: ! (<> (((net_state==4)) && (((net_state==4)) U (((net_state==3)) && (((net_state==3)) U ([] ((net_state==1))))))))
ltl sce_good_then_loss: ! (<> (((net_state==4)) && (((net_state==4)) U (((net_state==3)) && (((net_state==3)) U ([] ((net_state==2))))))))
ltl sce_loss_then_good: ! (<> (((net_state==4)) && (((net_state==4)) U (((net_state==2)) && (((net_state==2)) U ([] ((net_state==3))))))))
ltl sce_late_then_good: ! (<> (((net_state==4)) && (((net_state==4)) U (((net_state==1)) && (((net_state==1)) U ([] ((net_state==3))))))))
ltl sce_good_then_late_then_good: ! (<> (((net_state==4)) && (((net_state==4)) U (((net_state==3)) && (((net_state==3)) U (((net_state==1)) && (((net_state==1)) U ([] ((net_state==3))))))))))
ltl sce_good_then_loss_then_good: ! (<> (((net_state==4)) && (((net_state==4)) U (((net_state==3)) && (((net_state==3)) U (((net_state==2)) && (((net_state==2)) U ([] ((net_state==3))))))))))
ltl sce_late_then_good_then_late: ! (<> (((net_state==4)) && (((net_state==4)) U (((net_state==1)) && (((net_state==1)) U (((net_state==3)) && (((net_state==3)) U ([] ((net_state==1))))))))))
ltl sce_loss_then_good_then_loss: ! (<> (((net_state==4)) && (((net_state==4)) U (((net_state==2)) && (((net_state==2)) U (((net_state==3)) && (((net_state==3)) U ([] ((net_state==2))))))))))
ltl sce_variable: ! (<> (((net_state==4)) && (((net_state==4)) U (((net_state==2)) && (((net_state==2)) U (((net_state==3)) && (((net_state==3)) U ([] ((net_state==1))))))))))
starting claim 7
Never claim moves to line 128	[((net_state==4))]
  2:	proc  2 (Receiver:1) Model_net.pml:115 (state 10)	[i = 0]
  2:	proc  2 (Receiver:1) Model_net.pml:119 (state 8)	[.(goto)]
  2:	proc  2 (Receiver:1) Model_net.pml:118 (state 7)	[DO]
  2:	proc  2 (Receiver:1) Model_net.pml:117 (state 3)	[rcpBuffer[i] = 5]
  2:	proc  2 (Receiver:1) Model_net.pml:116 (state 4)	[i = (i+1)]
  2:	proc  2 (Receiver:1) Model_net.pml:119 (state 8)	[.(goto)]
  2:	proc  2 (Receiver:1) Model_net.pml:118 (state 7)	[DO]
  2:	proc  2 (Receiver:1) Model_net.pml:117 (state 3)	[rcpBuffer[i] = 5]
  2:	proc  2 (Receiver:1) Model_net.pml:116 (state 4)	[i = (i+1)]
  2:	proc  2 (Receiver:1) Model_net.pml:119 (state 8)	[.(goto)]
  2:	proc  2 (Receiver:1) Model_net.pml:118 (state 7)	[DO]
  2:	proc  2 (Receiver:1) Model_net.pml:117 (state 3)	[rcpBuffer[i] = 5]
  2:	proc  2 (Receiver:1) Model_net.pml:116 (state 4)	[i = (i+1)]
  2:	proc  2 (Receiver:1) Model_net.pml:119 (state 8)	[.(goto)]
  2:	proc  2 (Receiver:1) Model_net.pml:118 (state 7)	[DO]
  2:	proc  2 (Receiver:1) Model_net.pml:117 (state 3)	[rcpBuffer[i] = 5]
  2:	proc  2 (Receiver:1) Model_net.pml:116 (state 4)	[i = (i+1)]
  2:	proc  2 (Receiver:1) Model_net.pml:119 (state 8)	[.(goto)]
  2:	proc  2 (Receiver:1) Model_net.pml:118 (state 7)	[DO]
  2:	proc  2 (Receiver:1) Model_net.pml:118 (state 6)	[goto :b5]
  2:	proc  2 (Receiver:1) Model_net.pml:118 (state 9)	[break]
Never claim moves to line 144	[((net_state==4))]
  4:	proc  2 (Receiver:1) Model_net.pml:125 (state 11)	[r_r = 0]
  4:	proc  2 (Receiver:1) Model_net.pml:126 (state 12)	[r_b = 0]
  6:	proc  0 (Source:1) Model_net.pml:48 (state 1)	[source!3]
  7:	proc  1 (Sender:1) Model_net.pml:67 (state 1)	[source?data]
  9:	proc  1 (Sender:1) Model_net.pml:69 (state 2)	[((timeBuffer[seqNum]==0))]
  9:	proc  1 (Sender:1) Model_net.pml:70 (state 3)	[timeBuffer[seqNum] = 1]
 10:	proc  1 (Sender:1) Model_net.pml:71 (state 4)	[sublink[0]!data,seqNum]
 11:	proc  1 (Sender:1) Model_net.pml:72 (state 5)	[sublink[1]!data,seqNum]
 12:	proc  1 (Sender:1) Model_net.pml:73 (state 6)	[sublink[2]!data,seqNum]
 13:	proc  1 (Sender:1) Model_net.pml:23 (state 7)	[time = 0]
 14:	proc  1 (Sender:1) Model_net.pml:24 (state 8)	[time = 0]
 15:	proc  1 (Sender:1) Model_net.pml:40 (state 32)	[else]
 16:	proc  1 (Sender:1) Model_net.pml:42 (state 34)	[.(goto)]
 18:	proc  1 (Sender:1) Model_net.pml:76 (state 38)	[seqNum = ((seqNum+1)%(3+1))]
 20:	proc  2 (Receiver:1) Model_net.pml:129 (state 13)	[sublink[0]?recvData,recvNum]
 20:	proc  2 (Receiver:1) Model_net.pml:129 (state 14)	[track_sublink = 1]
 20:	proc  2 (Receiver:1) Model_net.pml:134 (state 19)	[controlBuffer[recvNum] = (controlBuffer[recvNum]+1)]
 22:	proc  0 (Source:1) Model_net.pml:48 (state 1)	[source!3]
 23:	proc  1 (Sender:1) Model_net.pml:67 (state 1)	[source?data]
 25:	proc  1 (Sender:1) Model_net.pml:69 (state 2)	[((timeBuffer[seqNum]==0))]
 25:	proc  1 (Sender:1) Model_net.pml:70 (state 3)	[timeBuffer[seqNum] = 1]
 26:	proc  1 (Sender:1) Model_net.pml:71 (state 4)	[sublink[0]!data,seqNum]
 27:	proc  1 (Sender:1) Model_net.pml:72 (state 5)	[sublink[1]!data,seqNum]
 28:	proc  1 (Sender:1) Model_net.pml:73 (state 6)	[sublink[2]!data,seqNum]
 29:	proc  1 (Sender:1) Model_net.pml:23 (state 7)	[time = 0]
 30:	proc  1 (Sender:1) Model_net.pml:24 (state 8)	[time = 0]
 31:	proc  1 (Sender:1) Model_net.pml:40 (state 32)	[else]
 32:	proc  1 (Sender:1) Model_net.pml:42 (state 34)	[.(goto)]
 34:	proc  1 (Sender:1) Model_net.pml:76 (state 38)	[seqNum = ((seqNum+1)%(3+1))]
 36:	proc  0 (Source:1) Model_net.pml:48 (state 1)	[source!3]
 37:	proc  1 (Sender:1) Model_net.pml:67 (state 1)	[source?data]
 39:	proc  1 (Sender:1) Model_net.pml:69 (state 2)	[((timeBuffer[seqNum]==0))]
 39:	proc  1 (Sender:1) Model_net.pml:70 (state 3)	[timeBuffer[seqNum] = 1]
 40:	proc  1 (Sender:1) Model_net.pml:71 (state 4)	[sublink[0]!data,seqNum]
 41:	proc  1 (Sender:1) Model_net.pml:72 (state 5)	[sublink[1]!data,seqNum]
 42:	proc  1 (Sender:1) Model_net.pml:73 (state 6)	[sublink[2]!data,seqNum]
 43:	proc  1 (Sender:1) Model_net.pml:23 (state 7)	[time = 0]
 44:	proc  1 (Sender:1) Model_net.pml:24 (state 8)	[time = 0]
 45:	proc  1 (Sender:1) Model_net.pml:40 (state 32)	[else]
 46:	proc  1 (Sender:1) Model_net.pml:42 (state 34)	[.(goto)]
 48:	proc  1 (Sender:1) Model_net.pml:76 (state 38)	[seqNum = ((seqNum+1)%(3+1))]
 50:	proc  0 (Source:1) Model_net.pml:48 (state 1)	[source!3]
 51:	proc  1 (Sender:1) Model_net.pml:67 (state 1)	[source?data]
 53:	proc  1 (Sender:1) Model_net.pml:69 (state 2)	[((timeBuffer[seqNum]==0))]
 53:	proc  1 (Sender:1) Model_net.pml:70 (state 3)	[timeBuffer[seqNum] = 1]
 54:	proc  1 (Sender:1) Model_net.pml:71 (state 4)	[sublink[0]!data,seqNum]
 55:	proc  1 (Sender:1) Model_net.pml:72 (state 5)	[sublink[1]!data,seqNum]
 56:	proc  1 (Sender:1) Model_net.pml:73 (state 6)	[sublink[2]!data,seqNum]
 57:	proc  1 (Sender:1) Model_net.pml:23 (state 7)	[time = 0]
 58:	proc  1 (Sender:1) Model_net.pml:26 (state 10)	[time = 2]
 59:	proc  1 (Sender:1) Model_net.pml:29 (state 13)	[((time>0))]
 59:	proc  1 (Sender:1) Model_net.pml:30 (state 14)	[x = 0]
 60:	proc  1 (Sender:1) Model_net.pml:30 (state 15)	[((x<=3))]
 61:	proc  1 (Sender:1) Model_net.pml:32 (state 16)	[(((timeBuffer[x]>0)&&(timeBuffer[x]<3)))]
 62:	proc  1 (Sender:1) Model_net.pml:35 (state 19)	[else]
 63:	proc  1 (Sender:1) Model_net.pml:35 (state 20)	[timeBuffer[x] = (timeBuffer[x]+time)]
 63:	proc  1 (Sender:1) Model_net.pml:30 (state 26)	[x = (x+1)]
 64:	proc  1 (Sender:1) Model_net.pml:30 (state 15)	[((x<=3))]
 65:	proc  1 (Sender:1) Model_net.pml:32 (state 16)	[(((timeBuffer[x]>0)&&(timeBuffer[x]<3)))]
 66:	proc  1 (Sender:1) Model_net.pml:35 (state 19)	[else]
 67:	proc  1 (Sender:1) Model_net.pml:35 (state 20)	[timeBuffer[x] = (timeBuffer[x]+time)]
 67:	proc  1 (Sender:1) Model_net.pml:30 (state 26)	[x = (x+1)]
 68:	proc  1 (Sender:1) Model_net.pml:30 (state 15)	[((x<=3))]
 69:	proc  1 (Sender:1) Model_net.pml:32 (state 16)	[(((timeBuffer[x]>0)&&(timeBuffer[x]<3)))]
 70:	proc  1 (Sender:1) Model_net.pml:35 (state 19)	[else]
 71:	proc  1 (Sender:1) Model_net.pml:35 (state 20)	[timeBuffer[x] = (timeBuffer[x]+time)]
 71:	proc  1 (Sender:1) Model_net.pml:30 (state 26)	[x = (x+1)]
 72:	proc  1 (Sender:1) Model_net.pml:30 (state 15)	[((x<=3))]
 73:	proc  1 (Sender:1) Model_net.pml:32 (state 16)	[(((timeBuffer[x]>0)&&(timeBuffer[x]<3)))]
 74:	proc  1 (Sender:1) Model_net.pml:35 (state 19)	[else]
 75:	proc  1 (Sender:1) Model_net.pml:35 (state 20)	[timeBuffer[x] = (timeBuffer[x]+time)]
 75:	proc  1 (Sender:1) Model_net.pml:30 (state 26)	[x = (x+1)]
 76:	proc  1 (Sender:1) Model_net.pml:39 (state 27)	[else]
 77:	proc  1 (Sender:1) Model_net.pml:39 (state 31)	[break]
 78:	proc  1 (Sender:1) Model_net.pml:42 (state 34)	[.(goto)]
 80:	proc  1 (Sender:1) Model_net.pml:76 (state 38)	[seqNum = ((seqNum+1)%(3+1))]
 82:	proc  2 (Receiver:1) Model_net.pml:143 (state 27)	[recvTime = timeBuffer[recvNum]]
 84:	proc  2 (Receiver:1) Model_net.pml:176 (state 68)	[else]
 86:	proc  2 (Receiver:1) Model_net.pml:182 (state 75)	[else]
 88:	proc  2 (Receiver:1) Model_net.pml:182 (state 76)	[(1)]
 90:	proc  2 (Receiver:1) Model_net.pml:185 (state 79)	[(track_sublink)]
 92:	proc  2 (Receiver:1) Model_net.pml:185 (state 80)	[net_state = 1]
Never claim moves to line 143	[((net_state==1))]
 94:	proc  2 (Receiver:1) Model_net.pml:103 (state 117)	[else]
Never claim moves to line 138	[((net_state==1))]
 96:	proc  2 (Receiver:1) Model_net.pml:192 (state 121)	[track_sublink = 0]
 98:	proc  2 (Receiver:1) Model_net.pml:125 (state 11)	[r_r = 0]
 98:	proc  2 (Receiver:1) Model_net.pml:126 (state 12)	[r_b = 0]
 99:	proc  2 (Receiver:1) Model_net.pml:129 (state 13)	[sublink[0]?recvData,recvNum]
 99:	proc  2 (Receiver:1) Model_net.pml:129 (state 14)	[track_sublink = 1]
 99:	proc  2 (Receiver:1) Model_net.pml:134 (state 19)	[controlBuffer[recvNum] = (controlBuffer[recvNum]+1)]
101:	proc  2 (Receiver:1) Model_net.pml:143 (state 27)	[recvTime = timeBuffer[recvNum]]
103:	proc  2 (Receiver:1) Model_net.pml:176 (state 68)	[else]
105:	proc  2 (Receiver:1) Model_net.pml:182 (state 75)	[else]
107:	proc  2 (Receiver:1) Model_net.pml:182 (state 76)	[(1)]
109:	proc  2 (Receiver:1) Model_net.pml:185 (state 79)	[(track_sublink)]
111:	proc  2 (Receiver:1) Model_net.pml:185 (state 80)	[net_state = 1]
113:	proc  2 (Receiver:1) Model_net.pml:103 (state 117)	[else]
115:	proc  2 (Receiver:1) Model_net.pml:192 (state 121)	[track_sublink = 0]
117:	proc  2 (Receiver:1) Model_net.pml:125 (state 11)	[r_r = 0]
117:	proc  2 (Receiver:1) Model_net.pml:126 (state 12)	[r_b = 0]
118:	proc  2 (Receiver:1) Model_net.pml:129 (state 13)	[sublink[0]?recvData,recvNum]
118:	proc  2 (Receiver:1) Model_net.pml:129 (state 14)	[track_sublink = 1]
118:	proc  2 (Receiver:1) Model_net.pml:134 (state 19)	[controlBuffer[recvNum] = (controlBuffer[recvNum]+1)]
120:	proc  2 (Receiver:1) Model_net.pml:143 (state 27)	[recvTime = timeBuffer[recvNum]]
122:	proc  2 (Receiver:1) Model_net.pml:176 (state 68)	[else]
124:	proc  2 (Receiver:1) Model_net.pml:182 (state 75)	[else]
126:	proc  2 (Receiver:1) Model_net.pml:182 (state 76)	[(1)]
128:	proc  2 (Receiver:1) Model_net.pml:185 (state 79)	[(track_sublink)]
130:	proc  2 (Receiver:1) Model_net.pml:185 (state 80)	[net_state = 1]
132:	proc  2 (Receiver:1) Model_net.pml:103 (state 117)	[else]
134:	proc  2 (Receiver:1) Model_net.pml:192 (state 121)	[track_sublink = 0]
136:	proc  2 (Receiver:1) Model_net.pml:125 (state 11)	[r_r = 0]
136:	proc  2 (Receiver:1) Model_net.pml:126 (state 12)	[r_b = 0]
